date,cases_PINAL
2020-11-18 00:00:00,20
2020-11-17 00:00:00,16
2020-11-16 00:00:00,103
2020-11-15 00:00:00,52
2020-11-14 00:00:00,115
2020-11-13 00:00:00,150
2020-11-12 00:00:00,234
2020-11-11 00:00:00,155
2020-11-10 00:00:00,134
2020-11-09 00:00:00,145
2020-11-08 00:00:00,99
2020-11-07 00:00:00,100
2020-11-06 00:00:00,119
2020-11-05 00:00:00,108
2020-11-04 00:00:00,133
2020-11-03 00:00:00,123
2020-11-02 00:00:00,117
2020-11-01 00:00:00,64
2020-10-31 00:00:00,81
2020-10-30 00:00:00,86
2020-10-29 00:00:00,81
2020-10-28 00:00:00,90
2020-10-27 00:00:00,75
2020-10-26 00:00:00,82
2020-10-25 00:00:00,47
2020-10-24 00:00:00,54
2020-10-23 00:00:00,53
2020-10-22 00:00:00,69
2020-10-21 00:00:00,54
2020-10-20 00:00:00,69
2020-10-19 00:00:00,63
2020-10-18 00:00:00,30
2020-10-17 00:00:00,32
2020-10-16 00:00:00,54
2020-10-15 00:00:00,62
2020-10-14 00:00:00,70
2020-10-13 00:00:00,60
2020-10-12 00:00:00,52
2020-10-11 00:00:00,36
2020-10-10 00:00:00,24
2020-10-09 00:00:00,69
2020-10-08 00:00:00,51
2020-10-07 00:00:00,31
2020-10-06 00:00:00,51
2020-10-05 00:00:00,31
2020-10-04 00:00:00,22
2020-10-03 00:00:00,28
2020-10-02 00:00:00,43
2020-10-01 00:00:00,36
2020-09-30 00:00:00,35
2020-09-29 00:00:00,29
2020-09-28 00:00:00,43
2020-09-27 00:00:00,17
2020-09-26 00:00:00,15
2020-09-25 00:00:00,41
2020-09-24 00:00:00,29
2020-09-23 00:00:00,34
2020-09-22 00:00:00,37
2020-09-21 00:00:00,36
2020-09-20 00:00:00,19
2020-09-19 00:00:00,28
2020-09-18 00:00:00,14
2020-09-17 00:00:00,32
2020-09-16 00:00:00,10
2020-09-15 00:00:00,14
2020-09-14 00:00:00,23
2020-09-13 00:00:00,12
2020-09-12 00:00:00,10
2020-09-11 00:00:00,20
2020-09-10 00:00:00,20
2020-09-09 00:00:00,26
2020-09-08 00:00:00,28
