date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2021-02-05 00:00:00,4,1,0.25,,,
2021-02-04 00:00:00,128,2,0.015625,,,
2021-02-03 00:00:00,12,0,0,,,
2021-02-02 00:00:00,13,0,0,1.0,1.0,1
2021-02-01 00:00:00,28,10,0.3571428571428572,,,
2021-01-31 00:00:00,5,0,0,,,
2021-01-30 00:00:00,8,2,0.25,,,
2021-01-29 00:00:00,16,2,0.125,2.0,0.0,0
2021-01-28 00:00:00,50,11,0.22,,,
2021-01-27 00:00:00,26,4,0.1538461538461539,1.0,0.0,0
2021-01-26 00:00:00,35,7,0.2,2.0,2.0,1
2021-01-25 00:00:00,34,4,0.1176470588235294,5.0,1.0,0.2
2021-01-24 00:00:00,1,0,0,,,
2021-01-23 00:00:00,9,2,0.2222222222222222,,,
2021-01-22 00:00:00,11,2,0.1818181818181818,6.0,3.0,0.5
2021-01-21 00:00:00,26,4,0.1538461538461539,4.0,0.0,0
2021-01-20 00:00:00,42,6,0.1428571428571429,5.0,2.0,0.4
2021-01-19 00:00:00,51,12,0.2352941176470588,,,
2021-01-18 00:00:00,7,1,0.1428571428571429,1.0,1.0,1
2021-01-17 00:00:00,8,2,0.25,,,
2021-01-16 00:00:00,12,5,0.4166666666666667,1.0,0.0,0
2021-01-15 00:00:00,18,5,0.2777777777777778,4.0,2.0,0.5
2021-01-14 00:00:00,37,10,0.2702702702702703,1.0,0.0,0
2021-01-13 00:00:00,60,12,0.2,5.0,0.0,0
2021-01-12 00:00:00,49,5,0.1020408163265306,4.0,0.0,0
2021-01-11 00:00:00,114,21,0.1842105263157895,,,
2021-01-10 00:00:00,11,3,0.2727272727272727,,,
2021-01-09 00:00:00,13,1,0.0769230769230769,,,
2021-01-08 00:00:00,30,6,0.2,2.0,0.0,0
2021-01-07 00:00:00,96,15,0.15625,2.0,0.0,0
2021-01-06 00:00:00,179,17,0.0949720670391061,2.0,0.0,0
2021-01-05 00:00:00,109,9,0.0825688073394496,2.0,2.0,1
2021-01-04 00:00:00,292,37,0.1267123287671233,1.0,1.0,1
2021-01-03 00:00:00,5,2,0.4,,,
2021-01-02 00:00:00,5,0,0,,,
2021-01-01 00:00:00,8,1,0.125,,,
2020-12-31 00:00:00,27,7,0.2592592592592593,1.0,0.0,0
2020-12-30 00:00:00,31,10,0.3225806451612903,,,
2020-12-29 00:00:00,37,14,0.3783783783783784,,,
2020-12-28 00:00:00,50,10,0.2,,,
2020-12-27 00:00:00,8,2,0.25,,,
2020-12-26 00:00:00,2,1,0.5,,,
2020-12-24 00:00:00,21,6,0.2857142857142857,,,
2020-12-23 00:00:00,43,13,0.3023255813953488,1.0,0.0,0
2020-12-22 00:00:00,27,5,0.1851851851851852,1.0,1.0,1
2020-12-21 00:00:00,40,8,0.2,3.0,1.0,0.3333333333333333
2020-12-20 00:00:00,2,0,0,,,
2020-12-19 00:00:00,4,0,0,,,
2020-12-18 00:00:00,9,0,0,3.0,0.0,0
2020-12-17 00:00:00,68,9,0.1323529411764706,,,
2020-12-16 00:00:00,29,5,0.1724137931034483,,,
2020-12-15 00:00:00,48,6,0.125,4.0,4.0,1
2020-12-14 00:00:00,37,4,0.1081081081081081,,,
2020-12-13 00:00:00,5,1,0.2,1.0,1.0,1
2020-12-12 00:00:00,10,2,0.2,,,
2020-12-11 00:00:00,22,1,0.0454545454545455,,,
2020-12-10 00:00:00,30,6,0.2,10.0,0.0,0
2020-12-09 00:00:00,43,2,0.0465116279069767,,,
2020-12-08 00:00:00,30,5,0.1666666666666667,,,
2020-12-07 00:00:00,31,5,0.1612903225806452,4.0,1.0,0.25
2020-12-06 00:00:00,6,2,0.3333333333333333,,,
2020-12-05 00:00:00,9,3,0.3333333333333333,1.0,0.0,0
2020-12-04 00:00:00,14,4,0.2857142857142857,2.0,0.0,0
2020-12-03 00:00:00,26,1,0.0384615384615385,1.0,0.0,0
2020-12-02 00:00:00,13,4,0.3076923076923077,1.0,1.0,1
2020-12-01 00:00:00,15,0,0,1.0,1.0,1
2020-11-30 00:00:00,19,3,0.1578947368421053,3.0,0.0,0
2020-11-29 00:00:00,6,0,0,1.0,0.0,0
2020-11-28 00:00:00,6,1,0.1666666666666667,,,
