date,La Paz_cume,La Paz
1/11/2021,30,
1/13/2021,70,40
1/14/2021,88,18
1/19/2021,111,23
1/20/2021,151,40
1/25/2021,212,61
1/26/2021,213,1
1/27/2021,400,187
1/28/2021,401,1
1/29/2021,444,43
1/30/2021,553,109
1/6/2021,576,23
1/7/2021,599,23
12/21/2020,1143,544
12/22/2020,1803,660
12/23/2020,1825,22
12/30/2020,1826,1
2/1/2021,1851,25
2/10/2021,1885,34
2/11/2021,2594,709
2/12/2021,2778,184
2/16/2021,2831,53
2/17/2021,2874,43
2/18/2021,2911,37
2/19/2021,3490,579
2/2/2021,3699,209
2/22/2021,3700,1
2/23/2021,3702,2
2/24/2021,3796,94
2/25/2021,4323,527
2/26/2021,4324,1
2/28/2021,4358,34
2/3/2021,4384,26
2/4/2021,4720,336
2/5/2021,5384,664
2/8/2021,5406,22
2/9/2021,5407,1
3/1/2021,5482,75
3/10/2021,5558,76
3/11/2021,6323,765
3/12/2021,7048,725
3/13/2021,7105,57
3/15/2021,7129,24
3/16/2021,7188,59
3/17/2021,7282,94
3/18/2021,7957,675
3/19/2021,8580,623
3/2/2021,8638,58
3/21/2021,8648,10
3/22/2021,8694,46
3/23/2021,8751,57
3/24/2021,9222,471
3/25/2021,9816,594
3/26/2021,9864,48
3/28/2021,9865,1
3/29/2021,9916,51
3/3/2021,9978,62
3/30/2021,10332,354
3/31/2021,10828,496
3/4/2021,10830,2
3/5/2021,10832,2
3/6/2021,10889,57
3/8/2021,11136,247
3/9/2021,11660,524
4/1/2021,11719,59
4/10/2021,11745,26
4/11/2021,11757,12
4/12/2021,11803,46
4/13/2021,11904,101
4/14/2021,12175,271
4/15/2021,12524,349
4/16/2021,12650,126
4/17/2021,12707,57
4/18/2021,12721,14
4/19/2021,12788,67
4/2/2021,12845,57
4/20/2021,13299,454
4/21/2021,13818,519
4/22/2021,13863,45
4/23/2021,13868,5
4/24/2021,13870,2
4/25/2021,13929,59
4/26/2021,14027,98
4/27/2021,14168,141
4/28/2021,14599,431
4/29/2021,14630,31
4/3/2021,14640,10
4/30/2021,14641,1
4/5/2021,14675,34
4/6/2021,14720,45
4/7/2021,15154,434
4/8/2021,15209,55
4/9/2021,15283,74
5/1/2021,15320,37
5/10/2021,15326,6
5/11/2021,15356,30
5/12/2021,15417,61
5/13/2021,15617,200
5/14/2021,15791,174
5/15/2021,15809,18
5/16/2021,15812,3
5/17/2021,15813,1
5/18/2021,15836,23
5/19/2021,15874,38
5/2/2021,15951,77
5/20/2021,15971,20
5/21/2021,15992,21
5/22/2021,16000,8
5/23/2021,16001,1
5/24/2021,16040,39
5/25/2021,16064,24
5/26/2021,16247,183
5/27/2021,16276,29
5/28/2021,16310,34
5/29/2021,16322,12
5/3/2021,16325,3
5/31/2021,16340,15
5/4/2021,16375,35
5/5/2021,16427,52
5/6/2021,16440,13
5/7/2021,16456,16
5/8/2021,16459,3
5/9/2021,16460,1
6/1/2021,16503,43
6/10/2021,16559,56
6/11/2021,16614,55
6/12/2021,16621,7
6/13/2021,16626,5
6/14/2021,16630,4
6/15/2021,16638,8
6/16/2021,16656,18
6/17/2021,16701,45
6/18/2021,16709,8
6/19/2021,16713,4
6/2/2021,16715,2
6/20/2021,16716,1
6/21/2021,16735,19
6/22/2021,16756,21
6/23/2021,16787,31
6/24/2021,16801,14
6/25/2021,16813,12
6/26/2021,16818,5
6/27/2021,16819,1
6/28/2021,16822,3
6/29/2021,16840,18
6/3/2021,16862,22
6/30/2021,16877,15
6/4/2021,16879,2
6/5/2021,16887,8
6/6/2021,16890,3
6/7/2021,16893,3
6/8/2021,16926,33
6/9/2021,16932,6
7/1/2021,16936,4
7/10/2021,16937,1
7/11/2021,16938,1
7/12/2021,16939,1
7/13/2021,16942,3
7/14/2021,16954,12
7/15/2021,16985,31
7/16/2021,17014,29
7/17/2021,17016,2
7/19/2021,17021,5
7/2/2021,17023,2
7/3/2021,17038,15
7/4/2021,17051,13
7/5/2021,17064,13
7/6/2021,17072,8
7/7/2021,17075,3
7/8/2021,17082,7
7/9/2021,17085,3
