Category,value
tests,10522095
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,1600953
20 - 44 years,4545660
45 - 54 years,1418665
55 - 64 years,1330124
65 years and older,1608117
Unknown,18576
positive,0.0970544364026365
