Age groups aggregated-[sqlproxy.1o2jlha17c7az61dq6nst0obs7qs].[Age Group1 (group)]-alias,vaccinated,total_pop
<20,522436,1842004
20-34,902797,1480898
35-44,606127,881451
45-54,618212,851820
55-64,703149,868629
65+,1252625,1264218
