Category,value
Apache,535
Cochise,438
Coconino,404
Gila,294
Graham,146
Greenlee,25
La Paz,105
Maricopa,"13,324"
Mohave,"1,123"
Navajo,725
Pima,"3,050"
Pinal,"1,259"
Santa Cruz,203
Yavapai,902
Yuma,954
Female,9717
Male,13757
20-44y,1273
45-54y,1822
55-64y,3691
65+,16651
<20y,50
"White, non-Hispanic",12147
Hispanic or Latino,6461
"American Indian or Alaska Native, non-Hispanic",1750
"Black or African American, non-Hispanic",719
"Asian or Pacific Islander, non-Hispanic",290
Other Race,655
Unknown,1465
