Category,value
Apache,513
Cochise,408
Coconino,390
Gila,280
Graham,136
Greenlee,22
La Paz,102
Maricopa,"12,895"
Mohave,"1,056"
Navajo,686
Pima,"2,928"
Pinal,"1,188"
Santa Cruz,196
Yavapai,826
Yuma,935
Female,9312
Male,13236
20-44y,1209
45-54y,1732
55-64y,3510
65+,16060
<20y,50
"White, non-Hispanic",11649
Hispanic or Latino,6258
"American Indian or Alaska Native, non-Hispanic",1711
"Black or African American, non-Hispanic",693
"Asian or Pacific Islander, non-Hispanic",281
Other Race,625
Unknown,1344
