date,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA
2021-12-03 00:00:00,1,0,0
2021-12-02 00:00:00,369,12,0.032520325203252
2021-12-01 00:00:00,191,35,0.1832460732984293
2021-11-30 00:00:00,183,34,0.185792349726776
2021-11-29 00:00:00,453,52,0.1147902869757175
2021-11-28 00:00:00,50,7,0.14
2021-11-27 00:00:00,43,7,0.1627906976744186
2021-11-26 00:00:00,200,29,0.145
2021-11-25 00:00:00,21,2,0.0952380952380952
2021-11-24 00:00:00,455,19,0.0417582417582418
2021-11-23 00:00:00,169,32,0.1893491124260355
2021-11-22 00:00:00,574,38,0.0662020905923345
2021-11-21 00:00:00,67,12,0.1791044776119403
2021-11-20 00:00:00,47,9,0.1914893617021277
2021-11-19 00:00:00,206,13,0.0631067961165049
2021-11-18 00:00:00,381,24,0.062992125984252
2021-11-17 00:00:00,269,33,0.1226765799256506
2021-11-16 00:00:00,182,18,0.0989010989010989
2021-11-15 00:00:00,473,45,0.0951374207188161
2021-11-14 00:00:00,52,4,0.0769230769230769
2021-11-13 00:00:00,41,5,0.1219512195121951
2021-11-12 00:00:00,147,33,0.2244897959183674
2021-11-11 00:00:00,449,21,0.0467706013363029
2021-11-10 00:00:00,248,42,0.1693548387096774
2021-11-09 00:00:00,386,31,0.0803108808290155
2021-11-08 00:00:00,452,55,0.1216814159292035
2021-11-07 00:00:00,77,7,0.0909090909090909
2021-11-06 00:00:00,50,11,0.22
2021-11-05 00:00:00,138,17,0.1231884057971015
2021-11-04 00:00:00,526,27,0.0513307984790875
2021-11-03 00:00:00,333,32,0.0960960960960961
2021-11-02 00:00:00,320,30,0.09375
2021-11-01 00:00:00,482,42,0.0871369294605809
2021-10-31 00:00:00,57,15,0.2631578947368421
2021-10-30 00:00:00,33,7,0.2121212121212121
2021-10-29 00:00:00,121,8,0.0661157024793389
2021-10-28 00:00:00,424,12,0.0283018867924528
2021-10-27 00:00:00,302,31,0.1026490066225166
2021-10-26 00:00:00,198,20,0.101010101010101
2021-10-25 00:00:00,539,35,0.0649350649350649
2021-10-24 00:00:00,54,2,0.037037037037037
2021-10-23 00:00:00,45,3,0.0666666666666667
2021-10-22 00:00:00,195,16,0.0820512820512821
2021-10-21 00:00:00,376,20,0.0531914893617021
2021-10-20 00:00:00,352,38,0.1079545454545455
2021-10-19 00:00:00,207,18,0.0869565217391304
2021-10-18 00:00:00,471,35,0.0743099787685775
2021-10-17 00:00:00,64,9,0.140625
2021-10-16 00:00:00,49,8,0.163265306122449
2021-10-15 00:00:00,243,13,0.0534979423868313
2021-10-14 00:00:00,436,20,0.0458715596330275
2021-10-13 00:00:00,303,13,0.0429042904290429
2021-10-12 00:00:00,262,20,0.0763358778625954
2021-10-11 00:00:00,419,24,0.0572792362768497
2021-10-10 00:00:00,115,8,0.0695652173913044
2021-10-09 00:00:00,46,6,0.1304347826086957
2021-10-08 00:00:00,304,26,0.0855263157894737
2021-10-07 00:00:00,414,11,0.0265700483091787
2021-10-06 00:00:00,282,26,0.0921985815602837
2021-10-05 00:00:00,291,17,0.0584192439862543
2021-10-04 00:00:00,543,20,0.0368324125230203
2021-10-03 00:00:00,49,1,0.0204081632653061
