date,La Paz_cume,La Paz
1/11/2021,30,
1/13/2021,70,40
1/14/2021,88,18
1/19/2021,111,23
1/20/2021,151,40
1/25/2021,212,61
1/26/2021,213,1
1/27/2021,400,187
1/28/2021,402,2
1/29/2021,445,43
1/30/2021,554,109
1/6/2021,577,23
1/7/2021,600,23
12/21/2020,1145,545
12/22/2020,1805,660
12/23/2020,1827,22
12/30/2020,1828,1
2/1/2021,1853,25
2/10/2021,1887,34
2/11/2021,2597,710
2/12/2021,2781,184
2/16/2021,2834,53
2/17/2021,2878,44
2/18/2021,2915,37
2/19/2021,3495,580
2/2/2021,3705,210
2/22/2021,3706,1
2/23/2021,3709,3
2/24/2021,3804,95
2/25/2021,4331,527
2/26/2021,4332,1
2/28/2021,4366,34
2/3/2021,4392,26
2/4/2021,4728,336
2/5/2021,5392,664
2/8/2021,5414,22
2/9/2021,5415,1
3/1/2021,5490,75
3/10/2021,5567,77
3/11/2021,6332,765
3/12/2021,7058,726
3/13/2021,7115,57
3/15/2021,7139,24
3/16/2021,7198,59
3/17/2021,7292,94
3/18/2021,7967,675
3/19/2021,8591,624
3/2/2021,8649,58
3/21/2021,8659,10
3/22/2021,8706,47
3/23/2021,8763,57
3/24/2021,9235,472
3/25/2021,9829,594
3/26/2021,9877,48
3/28/2021,9878,1
3/29/2021,9929,51
3/3/2021,9991,62
3/30/2021,10345,354
3/31/2021,10841,496
3/4/2021,10843,2
3/5/2021,10845,2
3/6/2021,10903,58
3/8/2021,11151,248
3/9/2021,11675,524
4/1/2021,11735,60
4/10/2021,11761,26
4/11/2021,11773,12
4/12/2021,11819,46
4/13/2021,11920,101
4/14/2021,12191,271
4/15/2021,12540,349
4/16/2021,12666,126
4/17/2021,12723,57
4/18/2021,12737,14
4/19/2021,12804,67
4/2/2021,12861,57
4/20/2021,13315,454
4/21/2021,13835,520
4/22/2021,13880,45
4/23/2021,13885,5
4/24/2021,13887,2
4/25/2021,13946,59
4/26/2021,14044,98
4/27/2021,14185,141
4/28/2021,14616,431
4/29/2021,14647,31
4/3/2021,14658,11
4/30/2021,14659,1
4/5/2021,14693,34
4/6/2021,14738,45
4/7/2021,15171,433
4/8/2021,15226,55
4/9/2021,15300,74
5/1/2021,15338,38
5/10/2021,15344,6
5/11/2021,15374,30
5/12/2021,15436,62
5/13/2021,15636,200
5/14/2021,15810,174
5/15/2021,15827,17
5/16/2021,15830,3
5/17/2021,15831,1
5/18/2021,15854,23
5/19/2021,15892,38
5/2/2021,15973,81
5/20/2021,15993,20
5/21/2021,16014,21
5/22/2021,16022,8
5/23/2021,16023,1
5/24/2021,16062,39
5/25/2021,16086,24
5/26/2021,16270,184
5/27/2021,16299,29
5/28/2021,16333,34
5/29/2021,16345,12
5/3/2021,16348,3
5/31/2021,16364,16
5/4/2021,16400,36
5/5/2021,16453,53
5/6/2021,16466,13
5/7/2021,16482,16
5/8/2021,16485,3
5/9/2021,16486,1
6/1/2021,16529,43
6/10/2021,16585,56
6/11/2021,16641,56
6/12/2021,16648,7
6/13/2021,16654,6
6/14/2021,16658,4
6/15/2021,16667,9
6/16/2021,16685,18
6/17/2021,16733,48
6/18/2021,16743,10
6/19/2021,16747,4
6/2/2021,16749,2
6/20/2021,16750,1
6/21/2021,16770,20
6/22/2021,16791,21
6/23/2021,16823,32
6/24/2021,16838,15
6/25/2021,16850,12
6/26/2021,16855,5
6/27/2021,16856,1
6/28/2021,16859,3
6/29/2021,16878,19
6/3/2021,16900,22
6/30/2021,16915,15
6/4/2021,16917,2
6/5/2021,16931,14
6/6/2021,16934,3
6/7/2021,16937,3
6/8/2021,16971,34
6/9/2021,16981,10
7/1/2021,16988,7
7/10/2021,16989,1
7/11/2021,16990,1
7/12/2021,16991,1
7/13/2021,16994,3
7/14/2021,17007,13
7/15/2021,17038,31
7/16/2021,17067,29
7/17/2021,17069,2
7/19/2021,17074,5
7/2/2021,17076,2
7/20/2021,17093,17
7/21/2021,17109,16
7/22/2021,17124,15
7/23/2021,17134,10
7/24/2021,17137,3
7/25/2021,17160,23
7/26/2021,17165,5
7/27/2021,17187,22
7/28/2021,17219,32
7/29/2021,17236,17
7/3/2021,17247,11
7/30/2021,17249,2
7/4/2021,17253,4
7/5/2021,17263,10
7/6/2021,17289,26
7/7/2021,17304,15
7/8/2021,17361,57
7/9/2021,17373,12
8/10/2021,17385,12
8/11/2021,17407,22
8/12/2021,17447,40
8/13/2021,17482,35
8/14/2021,17495,13
8/15/2021,17501,6
8/16/2021,17502,1
8/17/2021,17522,20
8/18/2021,17537,15
8/19/2021,17556,19
8/2/2021,17591,35
8/20/2021,17602,11
8/21/2021,17611,9
8/22/2021,17613,2
8/23/2021,17620,7
8/24/2021,17648,28
8/25/2021,17706,58
8/26/2021,17728,22
8/27/2021,17740,12
8/28/2021,17748,8
8/29/2021,17750,2
8/3/2021,17776,26
8/30/2021,17790,14
8/31/2021,17828,38
8/4/2021,17899,71
8/5/2021,17946,47
8/6/2021,17956,10
8/7/2021,17959,3
8/8/2021,17977,18
8/9/2021,17998,21
9/1/2021,18033,35
9/10/2021,18045,12
9/11/2021,18054,9
9/12/2021,18055,1
9/13/2021,18058,3
9/14/2021,18065,7
9/15/2021,18082,17
9/16/2021,18112,30
9/17/2021,18135,23
9/18/2021,18150,15
9/19/2021,18156,6
9/2/2021,18159,3
9/20/2021,18181,22
9/21/2021,18211,30
9/22/2021,18247,36
9/3/2021,18257,10
9/4/2021,18273,16
9/5/2021,18282,9
9/6/2021,18283,1
9/7/2021,18303,20
9/8/2021,18319,16
9/9/2021,18330,11
