date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,312,411,435,644,433,7
1/10/2021,566,699,800,1120,963,11
1/11/2021,575,707,809,1136,991,12
1/12/2021,594,731,839,1183,1081,12
1/13/2021,638,779,926,1275,1268,13
1/14/2021,671,824,981,1347,1383,15
1/15/2021,686,835,993,1367,1432,15
1/16/2021,707,867,1037,1414,1578,17
1/17/2021,709,869,1040,1419,1594,18
1/18/2021,716,872,1053,1439,1744,19
1/19/2021,750,926,1105,1515,1897,20
1/2/2021,332,444,458,676,444,7
1/20/2021,792,975,1170,1610,2175,20
1/21/2021,915,1131,1346,1851,2863,21
1/22/2021,1050,1265,1522,2104,3797,23
1/23/2021,1090,1321,1576,2211,4934,26
1/24/2021,1106,1338,1598,2289,6126,27
1/25/2021,1129,1362,1630,2367,6771,27
1/26/2021,1140,1374,1659,2413,7128,27
1/27/2021,1213,1427,1732,2597,8383,28
1/28/2021,1262,1498,1839,2798,9770,35
1/29/2021,1340,1557,1935,2972,11003,40
1/3/2021,332,446,458,677,446,7
1/30/2021,1389,1583,1992,3058,11637,41
1/31/2021,1427,1609,2042,3143,12338,43
1/4/2021,341,451,467,689,452,7
1/5/2021,348,459,482,708,474,7
1/6/2021,356,466,493,733,511,8
1/7/2021,439,565,635,870,710,9
1/8/2021,532,669,762,1079,916,11
1/9/2021,565,698,799,1120,960,11
10/1/2021,10904,7942,10397,19677,54307,4551
10/10/2021,11048,8012,10474,19755,54431,4594
10/11/2021,11064,8023,10477,19770,54460,4600
10/12/2021,11074,8026,10484,19777,54471,4610
10/13/2021,11089,8031,10491,19787,54483,4624
10/14/2021,11106,8044,10501,19804,54507,4627
10/15/2021,11126,8051,10509,19816,54527,4634
10/16/2021,11137,8056,10514,19822,54535,4644
10/17/2021,11151,8064,10523,19827,54541,4648
10/18/2021,11167,8071,10528,19835,54556,4653
10/19/2021,11187,8080,10533,19845,54567,4662
10/2/2021,10923,7948,10405,19685,54320,4557
10/20/2021,11204,8086,10538,19854,54594,4664
10/21/2021,11226,8095,10548,19870,54608,4670
10/22/2021,11243,8103,10561,19890,54653,4676
10/23/2021,11244,8105,10572,19899,54693,4678
10/24/2021,11249,8110,10576,19903,54712,4682
10/25/2021,11264,8117,10586,19915,54790,4687
10/26/2021,11270,8127,10595,19929,54878,4691
10/27/2021,11286,8131,10606,19945,54963,4694
10/28/2021,11310,8140,10615,19965,55050,4699
10/29/2021,11328,8152,10628,19973,55134,4705
10/3/2021,10931,7949,10406,19687,54323,4560
10/30/2021,11341,8154,10631,19979,55152,4706
10/31/2021,11345,8159,10632,19983,55169,4707
10/4/2021,10949,7958,10423,19699,54339,4563
10/5/2021,10970,7967,10432,19714,54365,4567
10/6/2021,10987,7978,10440,19722,54385,4569
10/7/2021,11001,7991,10449,19731,54397,4571
10/8/2021,11021,8000,10462,19746,54420,4589
10/9/2021,11036,8009,10470,19751,54427,4593
11/1/2021,11358,8169,10640,20000,55237,4713
11/10/2021,11511,8262,10743,20171,55809,4998
11/11/2021,11534,8272,10755,20206,55881,5072
11/12/2021,11556,8296,10770,20241,55984,5134
11/13/2021,11565,8311,10776,20252,56013,5143
11/14/2021,11575,8316,10786,20261,56039,5149
11/15/2021,11594,8330,10797,20287,56104,5175
11/16/2021,11613,8344,10811,20307,56182,5261
11/17/2021,11632,8359,10821,20330,56268,5350
11/18/2021,11659,8376,10839,20359,56377,5392
11/19/2021,11686,8395,10855,20391,56446,5409
11/2/2021,11377,8178,10651,20016,55289,4718
11/20/2021,11698,8404,10865,20410,56484,5425
11/21/2021,11709,8406,10876,20421,56515,5430
11/22/2021,11731,8419,10890,20456,56584,5478
11/23/2021,11752,8435,10916,20479,56654,5557
11/24/2021,11777,8445,10933,20506,56703,5584
11/25/2021,11777,8445,10933,20506,56703,5584
11/26/2021,11792,8460,10943,20516,56726,5597
11/27/2021,11806,8469,10954,20529,56757,5613
11/28/2021,11817,8478,10963,20542,56777,5620
11/29/2021,11823,8489,10976,20571,56841,5643
11/3/2021,11388,8190,10665,20035,55344,4726
11/30/2021,11840,8501,10991,20600,56885,5677
11/4/2021,11406,8199,10674,20052,55412,4751
11/5/2021,11425,8210,10688,20081,55499,4798
11/6/2021,11437,8219,10703,20096,55545,4811
11/7/2021,11448,8229,10707,20102,55570,4820
11/8/2021,11462,8241,10721,20134,55650,4867
11/9/2021,11492,8252,10730,20152,55743,4946
12/1/2020,,,,,1,
12/1/2021,11868,8516,11008,20629,56960,5699
12/10/2020,1,,,,1,
12/11/2020,1,,,,1,
12/12/2020,1,,,,2,
12/13/2020,1,,,,2,
12/14/2020,1,,,,2,
12/15/2020,1,,,,2,
12/16/2020,1,1,1,1,2,
12/17/2020,1,1,2,1,5,
12/18/2020,1,1,2,1,5,
12/19/2020,2,1,2,1,7,
12/2/2020,,,,,1,
12/2/2021,11891,8535,11031,20671,57032,5736
12/20/2020,2,1,2,4,7,
12/21/2020,2,3,2,5,7,
12/22/2020,34,73,101,120,57,
12/23/2020,109,164,181,267,105,1
12/24/2020,119,175,188,281,112,2
12/25/2020,123,178,192,283,115,2
12/26/2020,128,184,199,298,120,2
12/27/2020,131,187,201,303,121,2
12/28/2020,147,192,208,325,147,2
12/29/2020,183,237,265,397,238,5
12/3/2020,,,,,1,
12/3/2021,11920,8550,11053,20714,57095,5768
12/30/2020,287,391,404,591,393,7
12/31/2020,309,409,433,638,419,7
12/4/2020,,,,,1,
12/4/2021,11926,8553,11060,20719,57104,5774
12/5/2020,,,,,1,
12/6/2020,1,,,,1,
12/7/2020,1,,,,1,
12/8/2020,1,,,,1,
12/9/2020,1,,,,1,
2/1/2021,1482,1661,2105,3289,13850,48
2/10/2021,1808,1966,2502,4204,24732,59
2/11/2021,1846,2006,2553,4311,25931,60
2/12/2021,1887,2046,2607,4418,27099,62
2/13/2021,1932,2082,2650,4525,27951,66
2/14/2021,1965,2106,2689,4598,28729,67
2/15/2021,1988,2120,2714,4661,29309,67
2/16/2021,2022,2154,2750,4745,30239,69
2/17/2021,2040,2176,2766,4785,30628,69
2/18/2021,2046,2182,2773,4792,30776,69
2/19/2021,2058,2188,2798,4801,30869,69
2/2/2021,1548,1722,2177,3434,15424,50
2/20/2021,2062,2190,2802,4810,30923,69
2/21/2021,2069,2190,2804,4813,30972,70
2/22/2021,2074,2191,2818,4826,31026,70
2/23/2021,2107,2214,2853,4900,31506,72
2/24/2021,2171,2279,2927,5079,32729,73
2/25/2021,2231,2323,2989,5197,33401,73
2/26/2021,2267,2362,3027,5300,33759,74
