date,Maricopa_cume,Maricopa
2020-12-01 00:00:00,22,
2020-12-02 00:00:00,27,5
2020-12-03 00:00:00,31,4
2020-12-04 00:00:00,32,1
2020-12-08 00:00:00,33,1
2020-12-09 00:00:00,35,2
2020-12-10 00:00:00,40,5
2020-12-11 00:00:00,42,2
2020-12-12 00:00:00,44,2
2020-12-14 00:00:00,47,3
2020-12-15 00:00:00,54,7
2020-12-16 00:00:00,82,28
2020-12-17 00:00:00,1324,1242
2020-12-18 00:00:00,2975,1651
2020-12-19 00:00:00,4657,1682
2020-12-20 00:00:00,5620,963
2020-12-21 00:00:00,8863,3243
2020-12-22 00:00:00,13098,4235
2020-12-23 00:00:00,17908,4810
2020-12-24 00:00:00,19464,1556
2020-12-25 00:00:00,19465,1
2020-12-26 00:00:00,24572,5107
2020-12-27 00:00:00,26883,2311
2020-12-28 00:00:00,32047,5164
2020-12-29 00:00:00,40034,7987
2020-12-30 00:00:00,48859,8825
2020-12-31 00:00:00,52619,3760
2021-01-01 00:00:00,52866,247
2021-01-02 00:00:00,59046,6180
2021-01-03 00:00:00,61722,2676
2021-01-04 00:00:00,66293,4571
2021-01-05 00:00:00,70576,4283
2021-01-06 00:00:00,75576,5000
2021-01-07 00:00:00,80827,5251
2021-01-08 00:00:00,85355,4528
2021-01-09 00:00:00,89974,4619
2021-01-10 00:00:00,92670,2696
2021-01-11 00:00:00,101568,8898
2021-01-12 00:00:00,112261,10693
2021-01-13 00:00:00,123759,11498
2021-01-14 00:00:00,135141,11382
2021-01-15 00:00:00,144841,9700
2021-01-16 00:00:00,151185,6344
2021-01-17 00:00:00,153882,2697
2021-01-18 00:00:00,160632,6750
2021-01-19 00:00:00,172753,12121
2021-01-20 00:00:00,185913,13160
2021-01-21 00:00:00,200271,14358
2021-01-22 00:00:00,217411,17140
2021-01-23 00:00:00,231257,13846
2021-01-24 00:00:00,238406,7149
2021-01-25 00:00:00,249741,11335
2021-01-26 00:00:00,266539,16798
2021-01-27 00:00:00,282251,15712
2021-01-28 00:00:00,296424,14173
2021-01-29 00:00:00,313510,17086
2021-01-30 00:00:00,324794,11284
2021-01-31 00:00:00,328261,3467
2021-02-01 00:00:00,336383,8122
2021-02-02 00:00:00,350540,14157
2021-02-03 00:00:00,364602,14062
2021-02-04 00:00:00,381265,16663
2021-02-05 00:00:00,396117,14852
2021-02-06 00:00:00,410441,14324
2021-02-07 00:00:00,412843,2402
2021-02-08 00:00:00,423883,11040
2021-02-09 00:00:00,441724,17841
2021-02-10 00:00:00,458062,16338
2021-02-11 00:00:00,475078,17016
2021-02-12 00:00:00,501629,26551
2021-02-13 00:00:00,521237,19608
2021-02-14 00:00:00,525028,3791
2021-02-15 00:00:00,534149,9121
2021-02-16 00:00:00,552132,17983
2021-02-17 00:00:00,571469,19337
2021-02-18 00:00:00,591448,19979
2021-02-19 00:00:00,612049,20601
2021-02-20 00:00:00,628009,15960
2021-02-21 00:00:00,630910,2901
2021-02-22 00:00:00,640070,9160
2021-02-23 00:00:00,659339,19269
2021-02-24 00:00:00,680173,20834
2021-02-25 00:00:00,699871,19698
2021-02-26 00:00:00,726392,26521
2021-02-27 00:00:00,745505,19113
2021-02-28 00:00:00,749406,3901
2021-03-01 00:00:00,762913,13507
2021-03-02 00:00:00,779578,16665
2021-03-03 00:00:00,797688,18110
2021-03-04 00:00:00,816064,18376
2021-03-05 00:00:00,835543,19479
2021-03-06 00:00:00,849888,14345
2021-03-07 00:00:00,854563,4675
2021-03-08 00:00:00,870795,16232
2021-03-09 00:00:00,890079,19284
2021-03-10 00:00:00,912370,22291
2021-03-11 00:00:00,935555,23185
2021-03-12 00:00:00,964574,29019
2021-03-13 00:00:00,981501,16927
2021-03-14 00:00:00,988574,7073
2021-03-15 00:00:00,1005294,16720
2021-03-16 00:00:00,1024908,19614
2021-03-17 00:00:00,1047566,22658
2021-03-18 00:00:00,1069965,22399
2021-03-19 00:00:00,1090460,20495
2021-03-20 00:00:00,1108442,17982
2021-03-21 00:00:00,1117037,8595
2021-03-22 00:00:00,1133339,16302
2021-03-23 00:00:00,1151324,17985
2021-03-24 00:00:00,1172656,21332
2021-03-25 00:00:00,1195870,23214
2021-03-26 00:00:00,1217452,21582
2021-03-27 00:00:00,1233528,16076
2021-03-28 00:00:00,1241361,7833
2021-03-29 00:00:00,1260065,18704
2021-03-30 00:00:00,1280610,20545
2021-03-31 00:00:00,1305843,25233
2021-04-01 00:00:00,1331999,26156
2021-04-02 00:00:00,1354349,22350
2021-04-03 00:00:00,1366827,12478
2021-04-04 00:00:00,1373370,6543
2021-04-05 00:00:00,1396475,23105
2021-04-06 00:00:00,1422872,26397
2021-04-07 00:00:00,1453202,30330
2021-04-08 00:00:00,1484241,31039
2021-04-09 00:00:00,1510535,26294
2021-04-10 00:00:00,1527560,17025
2021-04-11 00:00:00,1537423,9863
2021-04-12 00:00:00,1557638,20215
2021-04-13 00:00:00,1576767,19129
2021-04-14 00:00:00,1597872,21105
2021-04-15 00:00:00,1619960,22088
2021-04-16 00:00:00,1639614,19654
2021-04-17 00:00:00,1652325,12711
2021-04-18 00:00:00,1659558,7233
2021-04-19 00:00:00,1674605,15047
2021-04-20 00:00:00,1681394,6789
