date,cases,cases_APACHE,cases_YUMA,cases_YAVAPAI,cases_SANTA_CRUZ,cases_PINAL,cases_PIMA,cases_NAVAJO,cases_MOHAVE,cases_MARICOPA,cases_LA_PAZ,cases_GREENLEE,cases_GRAHAM,cases_GILA,cases_COCONINO,cases_COCHISE
2021-02-19 00:00:00,11,,,1.0,,,4.0,1.0,,3.0,,,,,2.0,
2021-02-18 00:00:00,126,1.0,1.0,3.0,2.0,10.0,11.0,6.0,1.0,69.0,,2.0,2.0,4.0,9.0,5.0
2021-02-17 00:00:00,663,8.0,8.0,27.0,3.0,78.0,71.0,32.0,17.0,386.0,4.0,,3.0,2.0,18.0,6.0
2021-02-16 00:00:00,1589,10.0,28.0,19.0,10.0,152.0,175.0,23.0,46.0,1016.0,2.0,,8.0,7.0,37.0,55.0
2021-02-15 00:00:00,1626,8.0,30.0,25.0,8.0,107.0,192.0,17.0,45.0,1082.0,12.0,2.0,5.0,20.0,55.0,18.0
2021-02-14 00:00:00,739,7.0,9.0,15.0,4.0,39.0,89.0,19.0,19.0,506.0,1.0,,3.0,6.0,15.0,7.0
2021-02-13 00:00:00,1008,6.0,22.0,13.0,1.0,54.0,159.0,14.0,17.0,685.0,,1.0,,6.0,16.0,14.0
2021-02-12 00:00:00,1470,9.0,28.0,32.0,6.0,94.0,242.0,31.0,43.0,898.0,5.0,3.0,5.0,15.0,43.0,16.0
2021-02-11 00:00:00,1671,19.0,19.0,37.0,7.0,99.0,222.0,36.0,53.0,1072.0,6.0,1.0,13.0,18.0,54.0,15.0
2021-02-10 00:00:00,1971,26.0,35.0,45.0,7.0,126.0,308.0,41.0,60.0,1228.0,8.0,2.0,8.0,16.0,35.0,26.0
2021-02-09 00:00:00,1968,32.0,41.0,37.0,7.0,121.0,287.0,28.0,57.0,1263.0,7.0,,8.0,14.0,41.0,24.0
2021-02-08 00:00:00,2483,27.0,52.0,46.0,16.0,146.0,325.0,59.0,79.0,1609.0,17.0,4.0,4.0,22.0,60.0,17.0
2021-02-07 00:00:00,1137,28.0,14.0,13.0,4.0,63.0,144.0,15.0,39.0,787.0,2.0,1.0,2.0,7.0,14.0,4.0
2021-02-06 00:00:00,1500,23.0,23.0,33.0,3.0,84.0,173.0,21.0,39.0,1040.0,8.0,,3.0,8.0,21.0,21.0
2021-02-05 00:00:00,2251,29.0,68.0,24.0,5.0,121.0,351.0,43.0,42.0,1460.0,7.0,2.0,2.0,14.0,62.0,21.0
2021-02-04 00:00:00,2541,18.0,82.0,34.0,14.0,141.0,354.0,42.0,58.0,1650.0,9.0,2.0,21.0,23.0,62.0,31.0
2021-02-03 00:00:00,2981,22.0,205.0,52.0,10.0,154.0,330.0,63.0,80.0,1920.0,10.0,3.0,11.0,13.0,84.0,24.0
2021-02-02 00:00:00,3336,58.0,96.0,55.0,12.0,182.0,521.0,58.0,90.0,2113.0,4.0,,13.0,18.0,80.0,36.0
2021-02-01 00:00:00,3835,50.0,115.0,63.0,19.0,266.0,546.0,115.0,123.0,2333.0,19.0,4.0,14.0,30.0,101.0,37.0
2021-01-31 00:00:00,1925,27.0,33.0,26.0,6.0,140.0,231.0,22.0,36.0,1355.0,1.0,,2.0,11.0,19.0,16.0
2021-01-30 00:00:00,2545,16.0,50.0,40.0,5.0,153.0,338.0,26.0,54.0,1788.0,4.0,,7.0,9.0,29.0,26.0
2021-01-29 00:00:00,3507,38.0,92.0,70.0,11.0,222.0,481.0,53.0,101.0,2278.0,5.0,3.0,21.0,25.0,76.0,31.0
2021-01-28 00:00:00,4239,47.0,82.0,87.0,12.0,244.0,575.0,91.0,300.0,2598.0,21.0,5.0,15.0,53.0,74.0,35.0
2021-01-27 00:00:00,4974,25.0,111.0,67.0,24.0,267.0,649.0,86.0,385.0,3141.0,25.0,2.0,15.0,33.0,99.0,45.0
2021-01-26 00:00:00,4969,41.0,140.0,46.0,14.0,289.0,595.0,56.0,99.0,3501.0,9.0,,59.0,25.0,59.0,36.0
2021-01-25 00:00:00,5439,54.0,161.0,66.0,26.0,307.0,826.0,115.0,132.0,3396.0,12.0,4.0,180.0,43.0,76.0,41.0
2021-01-24 00:00:00,3006,22.0,29.0,53.0,4.0,177.0,334.0,16.0,63.0,2236.0,3.0,1.0,4.0,26.0,20.0,18.0
2021-01-23 00:00:00,3990,18.0,45.0,65.0,16.0,262.0,453.0,26.0,85.0,2897.0,8.0,1.0,3.0,34.0,38.0,39.0
2021-01-22 00:00:00,5719,52.0,156.0,115.0,41.0,390.0,860.0,70.0,139.0,3610.0,33.0,1.0,20.0,59.0,116.0,57.0
2021-01-21 00:00:00,6315,53.0,174.0,121.0,38.0,496.0,885.0,95.0,145.0,4023.0,15.0,6.0,20.0,52.0,110.0,82.0
2021-01-20 00:00:00,6787,54.0,142.0,128.0,49.0,865.0,908.0,82.0,165.0,4083.0,27.0,3.0,36.0,53.0,113.0,79.0
2021-01-19 00:00:00,7593,50.0,296.0,124.0,49.0,577.0,987.0,123.0,193.0,4850.0,27.0,2.0,35.0,51.0,145.0,84.0
2021-01-18 00:00:00,6183,54.0,131.0,122.0,15.0,401.0,641.0,88.0,208.0,4218.0,17.0,9.0,39.0,47.0,123.0,70.0
2021-01-17 00:00:00,4111,40.0,48.0,83.0,22.0,223.0,600.0,39.0,120.0,2827.0,7.0,3.0,15.0,17.0,34.0,33.0
2021-01-16 00:00:00,4527,29.0,61.0,73.0,14.0,303.0,710.0,25.0,114.0,3024.0,7.0,,17.0,45.0,59.0,46.0
2021-01-15 00:00:00,6989,79.0,263.0,185.0,37.0,451.0,967.0,112.0,206.0,4360.0,26.0,3.0,35.0,51.0,151.0,63.0
2021-01-14 00:00:00,7339,68.0,249.0,165.0,53.0,405.0,943.0,123.0,221.0,4774.0,28.0,9.0,32.0,56.0,150.0,63.0
2021-01-13 00:00:00,8064,69.0,289.0,153.0,47.0,400.0,1087.0,153.0,240.0,5005.0,30.0,2.0,271.0,45.0,199.0,74.0
2021-01-12 00:00:00,8472,87.0,257.0,204.0,68.0,501.0,1205.0,106.0,267.0,5384.0,26.0,1.0,40.0,51.0,201.0,74.0
2021-01-11 00:00:00,9779,103.0,491.0,221.0,65.0,568.0,1404.0,228.0,285.0,5873.0,42.0,8.0,58.0,75.0,251.0,107.0
2021-01-10 00:00:00,5152,21.0,82.0,89.0,21.0,248.0,768.0,41.0,142.0,3490.0,9.0,,85.0,25.0,48.0,83.0
2021-01-09 00:00:00,6356,22.0,106.0,95.0,21.0,331.0,825.0,75.0,170.0,4499.0,8.0,2.0,13.0,27.0,105.0,57.0
2021-01-08 00:00:00,8651,67.0,233.0,200.0,81.0,516.0,1244.0,115.0,245.0,5529.0,41.0,5.0,23.0,77.0,182.0,93.0
2021-01-07 00:00:00,9828,74.0,273.0,229.0,72.0,630.0,1272.0,171.0,236.0,6364.0,37.0,6.0,30.0,65.0,237.0,132.0
2021-01-06 00:00:00,10749,106.0,280.0,198.0,76.0,591.0,1409.0,169.0,269.0,6878.0,49.0,6.0,53.0,77.0,232.0,356.0
2021-01-05 00:00:00,11581,94.0,498.0,298.0,86.0,606.0,1666.0,179.0,330.0,7237.0,35.0,11.0,51.0,64.0,235.0,191.0
2021-01-04 00:00:00,12167,126.0,479.0,327.0,117.0,729.0,1722.0,195.0,371.0,7416.0,83.0,8.0,53.0,98.0,239.0,204.0
2021-01-03 00:00:00,6593,34.0,96.0,136.0,29.0,351.0,877.0,49.0,177.0,4638.0,10.0,4.0,8.0,36.0,59.0,89.0
2021-01-02 00:00:00,6874,33.0,110.0,154.0,24.0,417.0,947.0,76.0,246.0,4550.0,9.0,3.0,23.0,30.0,142.0,110.0
2021-01-01 00:00:00,4153,33.0,57.0,40.0,10.0,323.0,292.0,35.0,216.0,3016.0,7.0,3.0,16.0,43.0,34.0,28.0
2020-12-31 00:00:00,8862,75.0,206.0,257.0,68.0,508.0,1243.0,139.0,308.0,5681.0,51.0,5.0,33.0,54.0,91.0,142.0
2020-12-30 00:00:00,11014,120.0,383.0,193.0,107.0,741.0,1448.0,166.0,325.0,6769.0,51.0,5.0,301.0,57.0,214.0,134.0
2020-12-29 00:00:00,11211,86.0,419.0,259.0,101.0,677.0,1461.0,171.0,432.0,7074.0,58.0,8.0,91.0,44.0,198.0,132.0
2020-12-28 00:00:00,11652,140.0,548.0,316.0,114.0,679.0,1637.0,188.0,377.0,6908.0,71.0,7.0,180.0,89.0,225.0,173.0
2020-12-27 00:00:00,6518,44.0,110.0,131.0,34.0,352.0,833.0,58.0,264.0,4521.0,14.0,4.0,9.0,26.0,57.0,61.0
2020-12-26 00:00:00,4893,52.0,109.0,121.0,40.0,295.0,841.0,43.0,113.0,3102.0,8.0,4.0,6.0,58.0,50.0,51.0
2020-12-25 00:00:00,1338,20.0,39.0,25.0,10.0,89.0,158.0,27.0,30.0,877.0,2.0,3.0,6.0,17.0,21.0,14.0
2020-12-24 00:00:00,5209,56.0,156.0,146.0,47.0,266.0,624.0,67.0,234.0,3375.0,24.0,1.0,5.0,24.0,109.0,75.0
2020-12-23 00:00:00,8079,62.0,339.0,261.0,69.0,415.0,1021.0,96.0,271.0,5167.0,25.0,9.0,23.0,54.0,164.0,103.0
2020-12-22 00:00:00,8688,73.0,543.0,242.0,71.0,641.0,1320.0,134.0,317.0,4902.0,44.0,4.0,59.0,56.0,151.0,131.0
2020-12-21 00:00:00,9159,97.0,501.0,322.0,79.0,496.0,1426.0,120.0,313.0,5199.0,40.0,5.0,169.0,70.0,161.0,161.0
2020-12-20 00:00:00,4102,42.0,112.0,111.0,29.0,190.0,566.0,37.0,159.0,2730.0,5.0,1.0,3.0,24.0,40.0,53.0
2020-12-19 00:00:00,5453,29.0,91.0,123.0,29.0,312.0,1086.0,69.0,166.0,3388.0,5.0,,10.0,29.0,43.0,73.0
2020-12-18 00:00:00,7586,78.0,416.0,231.0,66.0,475.0,1283.0,121.0,259.0,4273.0,21.0,2.0,35.0,53.0,160.0,113.0
2020-12-17 00:00:00,8149,87.0,411.0,236.0,87.0,471.0,1370.0,93.0,246.0,4668.0,29.0,6.0,127.0,67.0,144.0,107.0
2020-12-16 00:00:00,7788,54.0,456.0,209.0,81.0,454.0,1348.0,146.0,241.0,4375.0,18.0,1.0,72.0,52.0,157.0,124.0
2020-12-15 00:00:00,6900,64.0,448.0,249.0,66.0,321.0,1208.0,120.0,244.0,3839.0,19.0,4.0,26.0,45.0,130.0,117.0
2020-12-14 00:00:00,9042,111.0,669.0,276.0,110.0,432.0,1435.0,163.0,304.0,5059.0,18.0,5.0,39.0,82.0,170.0,169.0
2020-12-13 00:00:00,3935,36.0,83.0,95.0,34.0,215.0,591.0,29.0,127.0,2609.0,4.0,2.0,7.0,32.0,28.0,43.0
2020-12-12 00:00:00,4812,28.0,116.0,100.0,27.0,223.0,754.0,75.0,137.0,3163.0,5.0,6.0,15.0,36.0,77.0,50.0
2020-12-11 00:00:00,7174,63.0,487.0,222.0,65.0,396.0,1327.0,107.0,209.0,3900.0,12.0,8.0,72.0,49.0,151.0,106.0
2020-12-10 00:00:00,7023,78.0,417.0,180.0,71.0,386.0,1289.0,93.0,200.0,3902.0,20.0,9.0,27.0,71.0,155.0,125.0
2020-12-09 00:00:00,7742,85.0,380.0,242.0,83.0,455.0,1257.0,150.0,187.0,4500.0,12.0,2.0,34.0,47.0,162.0,146.0
2020-12-08 00:00:00,8191,65.0,381.0,230.0,108.0,561.0,1134.0,123.0,205.0,4465.0,20.0,6.0,36.0,61.0,130.0,666.0
2020-12-07 00:00:00,8045,114.0,390.0,278.0,103.0,723.0,1249.0,168.0,221.0,4314.0,21.0,9.0,43.0,84.0,178.0,150.0
2020-12-06 00:00:00,2972,49.0,98.0,103.0,29.0,148.0,541.0,67.0,92.0,1739.0,3.0,2.0,4.0,20.0,31.0,46.0
2020-12-05 00:00:00,4211,31.0,190.0,90.0,33.0,197.0,715.0,34.0,120.0,2646.0,7.0,1.0,7.0,9.0,72.0,59.0
2020-12-04 00:00:00,5835,68.0,311.0,187.0,86.0,447.0,1075.0,85.0,168.0,3076.0,13.0,4.0,24.0,59.0,123.0,109.0
2020-12-03 00:00:00,7587,57.0,616.0,222.0,88.0,439.0,1059.0,109.0,186.0,4422.0,18.0,7.0,43.0,30.0,172.0,119.0
2020-12-02 00:00:00,7782,69.0,630.0,217.0,111.0,407.0,1009.0,156.0,236.0,4432.0,26.0,11.0,30.0,58.0,179.0,211.0
2020-12-01 00:00:00,7614,116.0,455.0,214.0,68.0,472.0,1084.0,156.0,228.0,4360.0,20.0,18.0,40.0,54.0,169.0,160.0
2020-11-30 00:00:00,8004,121.0,470.0,336.0,126.0,393.0,1113.0,251.0,231.0,4394.0,23.0,11.0,37.0,54.0,187.0,257.0
2020-11-29 00:00:00,3870,58.0,101.0,96.0,19.0,212.0,447.0,32.0,119.0,2636.0,,8.0,7.0,49.0,29.0,57.0
2020-11-28 00:00:00,3756,46.0,83.0,128.0,31.0,204.0,494.0,31.0,80.0,2494.0,5.0,7.0,20.0,48.0,23.0,62.0
2020-11-27 00:00:00,4008,90.0,207.0,142.0,25.0,216.0,494.0,74.0,116.0,2426.0,4.0,6.0,27.0,64.0,61.0,56.0
2020-11-26 00:00:00,1660,17.0,33.0,30.0,11.0,80.0,146.0,14.0,31.0,1261.0,5.0,4.0,4.0,5.0,9.0,10.0
2020-11-25 00:00:00,5199,90.0,342.0,192.0,111.0,271.0,680.0,100.0,115.0,3082.0,13.0,14.0,16.0,33.0,73.0,67.0
2020-11-24 00:00:00,5795,102.0,517.0,200.0,53.0,288.0,722.0,92.0,123.0,3371.0,8.0,10.0,79.0,34.0,105.0,91.0
2020-11-23 00:00:00,6021,114.0,342.0,246.0,66.0,326.0,967.0,117.0,179.0,3280.0,13.0,5.0,44.0,54.0,161.0,107.0
