date,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA
2021-07-12 00:00:00,124,10,0.0806451612903226
2021-07-11 00:00:00,32,2,0.0625
2021-07-10 00:00:00,32,1,0.03125
2021-07-09 00:00:00,78,11,0.141025641025641
2021-07-08 00:00:00,220,6,0.0272727272727273
2021-07-07 00:00:00,67,14,0.208955223880597
2021-07-06 00:00:00,133,9,0.0676691729323308
2021-07-05 00:00:00,29,2,0.0689655172413793
2021-07-04 00:00:00,40,1,0.025
2021-07-03 00:00:00,19,1,0.0526315789473684
2021-07-02 00:00:00,57,6,0.1052631578947368
2021-07-01 00:00:00,196,1,0.0051020408163265
2021-06-30 00:00:00,58,3,0.0517241379310345
2021-06-29 00:00:00,97,5,0.0515463917525773
2021-06-28 00:00:00,119,9,0.0756302521008403
2021-06-27 00:00:00,14,2,0.1428571428571429
2021-06-26 00:00:00,36,5,0.1388888888888889
2021-06-25 00:00:00,59,1,0.0169491525423729
2021-06-24 00:00:00,164,6,0.0365853658536585
2021-06-23 00:00:00,51,7,0.1372549019607843
2021-06-22 00:00:00,82,13,0.1585365853658537
2021-06-21 00:00:00,85,7,0.0823529411764706
2021-06-20 00:00:00,17,0,0
2021-06-19 00:00:00,16,1,0.0625
2021-06-18 00:00:00,40,1,0.025
2021-06-17 00:00:00,197,1,0.0050761421319797
2021-06-16 00:00:00,58,4,0.0689655172413793
2021-06-15 00:00:00,62,4,0.0645161290322581
2021-06-14 00:00:00,72,0,0
2021-06-13 00:00:00,27,3,0.1111111111111111
2021-06-12 00:00:00,18,1,0.0555555555555556
2021-06-11 00:00:00,76,0,0
2021-06-10 00:00:00,176,0,0
2021-06-09 00:00:00,47,2,0.0425531914893617
2021-06-08 00:00:00,47,2,0.0425531914893617
2021-06-07 00:00:00,65,2,0.0307692307692308
2021-06-06 00:00:00,38,1,0.0263157894736842
2021-06-05 00:00:00,16,0,0
2021-06-04 00:00:00,42,0,0
2021-06-03 00:00:00,170,0,0
2021-06-02 00:00:00,55,6,0.1090909090909091
2021-06-01 00:00:00,129,4,0.0310077519379845
2021-05-31 00:00:00,43,0,0
2021-05-30 00:00:00,35,0,0
2021-05-29 00:00:00,20,1,0.05
2021-05-28 00:00:00,134,2,0.0149253731343284
2021-05-27 00:00:00,159,1,0.0062893081761006
2021-05-26 00:00:00,91,1,0.010989010989011
2021-05-25 00:00:00,115,5,0.0434782608695652
2021-05-24 00:00:00,249,1,0.0040160642570281
2021-05-23 00:00:00,25,0,0
2021-05-22 00:00:00,31,2,0.0645161290322581
2021-05-21 00:00:00,67,2,0.0298507462686567
2021-05-20 00:00:00,146,1,0.0068493150684932
2021-05-19 00:00:00,55,1,0.0181818181818182
2021-05-18 00:00:00,102,2,0.0196078431372549
2021-05-17 00:00:00,255,4,0.0156862745098039
2021-05-16 00:00:00,25,1,0.04
2021-05-15 00:00:00,16,1,0.0625
2021-05-14 00:00:00,58,4,0.0689655172413793
2021-05-13 00:00:00,134,0,0
2021-05-12 00:00:00,57,2,0.0350877192982456
2021-05-11 00:00:00,97,2,0.0206185567010309
2021-05-10 00:00:00,283,1,0.0035335689045936
2021-05-09 00:00:00,28,0,0
2021-05-08 00:00:00,32,1,0.03125
2021-05-07 00:00:00,75,1,0.0133333333333333
2021-05-06 00:00:00,143,2,0.013986013986014
2021-05-05 00:00:00,69,0,0
2021-05-04 00:00:00,90,5,0.0555555555555556
2021-05-03 00:00:00,322,4,0.0124223602484472
2021-05-02 00:00:00,27,1,0.037037037037037
2021-05-01 00:00:00,37,3,0.0810810810810811
2021-04-30 00:00:00,71,4,0.0563380281690141
