date,Arizona_cume,Arizona
2020-12-01 00:00:00,28,
2020-12-02 00:00:00,36,8
2020-12-03 00:00:00,42,6
2020-12-04 00:00:00,45,3
2020-12-05 00:00:00,46,1
2020-12-07 00:00:00,50,4
2020-12-08 00:00:00,53,3
2020-12-09 00:00:00,56,3
2020-12-10 00:00:00,58,2
2020-12-11 00:00:00,65,7
2020-12-12 00:00:00,69,4
2020-12-13 00:00:00,72,3
2020-12-14 00:00:00,78,6
2020-12-15 00:00:00,109,31
2020-12-16 00:00:00,664,555
2020-12-17 00:00:00,3723,3059
2020-12-18 00:00:00,7280,3557
2020-12-19 00:00:00,9830,2550
2020-12-20 00:00:00,10840,1010
2020-12-21 00:00:00,16294,5454
2020-12-22 00:00:00,23974,7680
2020-12-23 00:00:00,33566,9592
2020-12-24 00:00:00,37341,3775
2020-12-25 00:00:00,37478,137
2020-12-26 00:00:00,43979,6501
2020-12-27 00:00:00,46614,2635
2020-12-28 00:00:00,55742,9128
2020-12-29 00:00:00,68450,12708
2020-12-30 00:00:00,83193,14743
2020-12-31 00:00:00,90938,7745
2021-01-01 00:00:00,91451,513
2021-01-02 00:00:00,98975,7524
2021-01-03 00:00:00,102152,3177
2021-01-04 00:00:00,110678,8526
2021-01-05 00:00:00,119428,8750
2021-01-06 00:00:00,131215,11787
2021-01-07 00:00:00,143651,12436
2021-01-08 00:00:00,155455,11804
2021-01-09 00:00:00,163348,7893
2021-01-10 00:00:00,166527,3179
2021-01-11 00:00:00,181971,15444
2021-01-12 00:00:00,204965,22994
2021-01-13 00:00:00,229884,24919
2021-01-14 00:00:00,254327,24443
2021-01-15 00:00:00,278904,24577
2021-01-16 00:00:00,294591,15687
2021-01-17 00:00:00,303867,9276
2021-01-18 00:00:00,322692,18825
2021-01-19 00:00:00,349150,26458
2021-01-20 00:00:00,380552,31402
2021-01-21 00:00:00,415306,34754
2021-01-22 00:00:00,452842,37536
2021-01-23 00:00:00,481354,28512
2021-01-24 00:00:00,497504,16150
2021-01-25 00:00:00,526319,28815
2021-01-26 00:00:00,562731,36412
2021-01-27 00:00:00,601993,39262
2021-01-28 00:00:00,641209,39216
2021-01-29 00:00:00,680677,39468
2021-01-30 00:00:00,706818,26141
2021-01-31 00:00:00,718350,11532
2021-02-01 00:00:00,747599,29249
2021-02-02 00:00:00,785607,38008
2021-02-03 00:00:00,828874,43267
2021-02-04 00:00:00,874761,45887
2021-02-05 00:00:00,918214,43453
2021-02-06 00:00:00,956117,37903
2021-02-07 00:00:00,972334,16217
2021-02-08 00:00:00,1010633,38299
2021-02-09 00:00:00,1054324,43691
2021-02-10 00:00:00,1104336,50012
2021-02-11 00:00:00,1154833,50497
2021-02-12 00:00:00,1215471,60638
2021-02-13 00:00:00,1260926,45455
2021-02-14 00:00:00,1278158,17232
2021-02-15 00:00:00,1309135,30977
2021-02-16 00:00:00,1353210,44075
2021-02-17 00:00:00,1399602,46392
2021-02-18 00:00:00,1443492,43890
2021-02-19 00:00:00,1485353,41861
2021-02-20 00:00:00,1520088,34735
2021-02-21 00:00:00,1534853,14765
2021-02-22 00:00:00,1562435,27582
2021-02-23 00:00:00,1606203,43768
2021-02-24 00:00:00,1662405,56202
2021-02-25 00:00:00,1722180,59775
2021-02-26 00:00:00,1788349,66169
2021-02-27 00:00:00,1839151,50802
2021-02-28 00:00:00,1864584,25433
2021-03-01 00:00:00,1909357,44773
2021-03-02 00:00:00,1958359,49002
2021-03-03 00:00:00,2016166,57807
2021-03-04 00:00:00,2073162,56996
2021-03-05 00:00:00,2130698,57536
2021-03-06 00:00:00,2174839,44141
2021-03-07 00:00:00,2200493,25654
2021-03-08 00:00:00,2250236,49743
2021-03-09 00:00:00,2306106,55870
2021-03-10 00:00:00,2371766,65660
2021-03-11 00:00:00,2440537,68771
2021-03-12 00:00:00,2511162,70625
2021-03-13 00:00:00,2561006,49844
2021-03-14 00:00:00,2588268,27262
2021-03-15 00:00:00,2634464,46196
2021-03-16 00:00:00,2687782,53318
2021-03-17 00:00:00,2748563,60781
2021-03-18 00:00:00,2809895,61332
2021-03-19 00:00:00,2866504,56609
2021-03-20 00:00:00,2909351,42847
2021-03-21 00:00:00,2936233,26882
2021-03-22 00:00:00,2973101,36868
2021-03-23 00:00:00,3014715,41614
2021-03-24 00:00:00,3068310,53595
2021-03-25 00:00:00,3123136,54826
2021-03-26 00:00:00,3164115,40979
