pcr_tests,pcr_pos_tests,pcr_positivity,date,ser_tests,ser_pos_tests,ser_positivity
,,,2021-04-06 00:00:00,1584,791,0.499368686868687
,,,2021-04-05 00:00:00,29293,1045,0.0356740518212542
,,,2021-04-05 00:00:00,1053,559,0.5308641975308642
,,,2021-04-04 00:00:00,6753,343,0.0507922404857101
,,,2021-04-04 00:00:00,255,116,0.4549019607843138
,,,2021-04-03 00:00:00,10236,590,0.0576397030089879
,,,2021-04-03 00:00:00,827,367,0.4437726723095526
,,,2021-04-02 00:00:00,19369,742,0.0383086375135526
,,,2021-04-02 00:00:00,1201,565,0.4704412989175688
,,,2021-04-01 00:00:00,25157,832,0.0330723059188298
,,,2021-04-01 00:00:00,1400,746,0.5328571428571428
,,,2021-03-31 00:00:00,26493,920,0.0347261540784358
,,,2021-03-31 00:00:00,1804,892,0.4944567627494458
,,,2021-03-30 00:00:00,29517,960,0.032523630450249
,,,2021-03-30 00:00:00,1648,813,0.4933252427184466
,,,2021-03-29 00:00:00,31968,886,0.0277152152152152
,,,2021-03-29 00:00:00,1204,623,0.5174418604651164
,,,2021-03-28 00:00:00,10213,487,0.0476843239009106
,,,2021-03-28 00:00:00,398,204,0.5125628140703518
,,,2021-03-27 00:00:00,10105,568,0.0562097971301336
,,,2021-03-27 00:00:00,930,503,0.5408602150537636
,,,2021-03-26 00:00:00,21162,820,0.0387487005008978
,,,2021-03-26 00:00:00,1405,701,0.498932384341637
,,,2021-03-25 00:00:00,25887,836,0.0322942017228725
,,,2021-03-25 00:00:00,2012,1016,0.5049701789264414
,,,2021-03-24 00:00:00,26809,827,0.0308478496027453
,,,2021-03-24 00:00:00,2282,1064,0.4662576687116564
,,,2021-03-23 00:00:00,29755,834,0.0280289027054277
,,,2021-03-23 00:00:00,2237,1047,0.4680375502905678
,,,2021-03-22 00:00:00,34284,918,0.0267763388169409
,,,2021-03-22 00:00:00,1210,528,0.4363636363636364
,,,2021-03-21 00:00:00,10359,495,0.0477845351867941
,,,2021-03-21 00:00:00,541,234,0.4325323475046211
,,,2021-03-20 00:00:00,10863,579,0.0533001933167633
,,,2021-03-20 00:00:00,1066,496,0.4652908067542214
,,,2021-03-19 00:00:00,21276,725,0.0340759541267155
,,,2021-03-19 00:00:00,1468,677,0.4611716621253406
,,,2021-03-18 00:00:00,25853,768,0.0297064170502456
,,,2021-03-18 00:00:00,1479,759,0.513184584178499
,,,2021-03-17 00:00:00,26043,820,0.0314863878969397
,,,2021-03-17 00:00:00,1586,791,0.4987389659520808
,,,2021-03-16 00:00:00,28929,836,0.0288983373085831
,,,2021-03-16 00:00:00,1770,870,0.4915254237288136
,,,2021-03-15 00:00:00,33333,961,0.028830288302883
,,,2021-03-15 00:00:00,1073,513,0.478098788443616
,,,2021-03-14 00:00:00,10480,498,0.0475190839694657
,,,2021-03-14 00:00:00,353,159,0.4504249291784704
,,,2021-03-13 00:00:00,11058,565,0.0510942304214144
,,,2021-03-13 00:00:00,775,351,0.4529032258064516
,,,2021-03-12 00:00:00,23583,864,0.0366365602340669
,,,2021-03-12 00:00:00,1378,640,0.4644412191582004
,,,2021-03-11 00:00:00,29667,912,0.0307412276266559
,,,2021-03-11 00:00:00,1233,621,0.5036496350364964
,,,2021-03-10 00:00:00,30482,1031,0.0338232399448855
,,,2021-03-10 00:00:00,1877,842,0.4485881726158764
,,,2021-03-09 00:00:00,32753,967,0.0295240130675053
,,,2021-03-09 00:00:00,1724,808,0.468677494199536
,,,2021-03-08 00:00:00,39093,1207,0.0308750927275983
,,,2021-03-08 00:00:00,1068,485,0.454119850187266
,,,2021-03-07 00:00:00,11890,622,0.0523128679562658
,,,2021-03-07 00:00:00,320,146,0.45625
,,,2021-03-06 00:00:00,13123,753,0.0573801722167187
,,,2021-03-06 00:00:00,669,308,0.460388639760837
,,,2021-03-05 00:00:00,28304,1137,0.0401710005652911
,,,2021-03-05 00:00:00,1350,654,0.4844444444444446
,,,2021-03-04 00:00:00,34668,1112,0.0320756893965617
,,,2021-03-04 00:00:00,1454,658,0.452544704264099
,,,2021-03-03 00:00:00,33831,1248,0.0368892435931542
,,,2021-03-03 00:00:00,1548,728,0.4702842377260982
,,,2021-03-02 00:00:00,36982,1287,0.0348007138607971
,,,2021-03-02 00:00:00,1658,775,0.4674306393244874
,,,2021-03-01 00:00:00,40695,1416,0.0347954294139329
,,,2021-03-01 00:00:00,1150,540,0.4695652173913044
,,,2021-02-28 00:00:00,12251,782,0.063831523957228
,,,2021-02-28 00:00:00,353,154,0.4362606232294618
,,,2021-02-27 00:00:00,13468,990,0.0735075735075735
,,,2021-02-27 00:00:00,798,364,0.456140350877193
,,,2021-02-26 00:00:00,28128,1365,0.048528156996587
,,,2021-02-26 00:00:00,1355,651,0.4804428044280444
,,,2021-02-25 00:00:00,34675,1387,0.04
,,,2021-02-25 00:00:00,1882,881,0.4681190223166844
,,,2021-02-24 00:00:00,32345,1524,0.0471170196320915
,,,2021-02-24 00:00:00,1891,888,0.4695928080380752
,,,2021-02-23 00:00:00,36992,1484,0.0401167820069204
,,,2021-02-23 00:00:00,2058,982,0.4771622934888242
,,,2021-02-22 00:00:00,44907,1872,0.0416861513795177
,,,2021-02-22 00:00:00,1454,657,0.4518569463548832
,,,2021-02-21 00:00:00,13484,1060,0.0786116879264313
,,,2021-02-21 00:00:00,521,234,0.4491362763915547
,,,2021-02-20 00:00:00,15124,1328,0.0878074583443533
,,,2021-02-20 00:00:00,924,404,0.4372294372294373
,,,2021-02-19 00:00:00,30938,1861,0.0601525631908979
,,,2021-02-19 00:00:00,1544,672,0.4352331606217617
,,,2021-02-18 00:00:00,38830,2074,0.0534123100695339
,,,2021-02-18 00:00:00,1720,756,0.4395348837209303
,,,2021-02-17 00:00:00,35469,2306,0.0650145197214469
,,,2021-02-17 00:00:00,2153,923,0.428704133766837
,,,2021-02-16 00:00:00,39641,2305,0.0581468681415706
,,,2021-02-16 00:00:00,1843,823,0.4465545306565383
,,,2021-02-15 00:00:00,38774,2292,0.0591117759323258
,,,2021-02-15 00:00:00,1329,556,0.418359668924003
,,,2021-02-14 00:00:00,12495,1004,0.0803521408563425
,,,2021-02-14 00:00:00,429,159,0.3706293706293706
,,,2021-02-13 00:00:00,15952,1419,0.0889543630892678
,,,2021-02-13 00:00:00,827,352,0.4256348246674728
,,,2021-02-12 00:00:00,32091,2064,0.0643170982518463
,,,2021-02-12 00:00:00,1820,817,0.4489010989010989
,,,2021-02-11 00:00:00,40881,2174,0.0531787382891808
,,,2021-02-11 00:00:00,2133,837,0.3924050632911392
,,,2021-02-10 00:00:00,41814,2588,0.0618931458363228
,,,2021-02-10 00:00:00,1467,723,0.4928425357873212
,,,2021-02-09 00:00:00,41539,2482,0.0597510773008498
,,,2021-02-09 00:00:00,1788,741,0.4144295302013423
,,,2021-02-08 00:00:00,50734,3041,0.0599400796310167
,,,2021-02-08 00:00:00,1557,655,0.4206807964033398
,,,2021-02-07 00:00:00,15589,1538,0.0986593110526654
,,,2021-02-07 00:00:00,337,128,0.3798219584569733
,,,2021-02-06 00:00:00,19733,2207,0.1118431054578625
,,,2021-02-06 00:00:00,698,249,0.3567335243553009
,,,2021-02-05 00:00:00,37392,2996,0.0801240907145914
,,,2021-02-05 00:00:00,1602,657,0.4101123595505618
,,,2021-02-04 00:00:00,44716,3345,0.0748054387691207
,,,2021-02-04 00:00:00,1818,758,0.416941694169417
,,,2021-02-03 00:00:00,43846,3740,0.0852985449071751
,,,2021-02-03 00:00:00,2141,833,0.389070527790752
,,,2021-02-02 00:00:00,46941,4008,0.0853837796382693
,,,2021-02-02 00:00:00,1860,761,0.4091397849462366
,,,2021-02-01 00:00:00,53135,4761,0.0896019572786299
,,,2021-02-01 00:00:00,1578,681,0.4315589353612168
,,,2021-01-31 00:00:00,19061,2474,0.1297938198415613
,,,2021-01-31 00:00:00,359,132,0.3676880222841226
,,,2021-01-30 00:00:00,24143,3534,0.1463778320838338
,,,2021-01-30 00:00:00,755,274,0.3629139072847682
,,,2021-01-29 00:00:00,42310,4706,0.1112266603639801
,,,2021-01-29 00:00:00,1665,726,0.436036036036036
,,,2021-01-28 00:00:00,49973,5338,0.1068176815480359
,,,2021-01-28 00:00:00,1724,682,0.3955916473317866
,,,2021-01-27 00:00:00,52157,6129,0.1175105930172364
,,,2021-01-27 00:00:00,2222,891,0.400990099009901
,,,2021-01-26 00:00:00,50353,5959,0.1183444879153179
,,,2021-01-26 00:00:00,1938,806,0.4158926728586172
,,,2021-01-25 00:00:00,55763,6305,0.113067804816814
,,,2021-01-25 00:00:00,1509,612,0.4055666003976144
,,,2021-01-24 00:00:00,22582,3765,0.1667257107430697
,,,2021-01-24 00:00:00,505,176,0.3485148514851485
,,,2021-01-23 00:00:00,28297,5043,0.1782167720959819
,,,2021-01-23 00:00:00,852,305,0.357981220657277
,,,2021-01-22 00:00:00,50151,6949,0.1385615441367072
,,,2021-01-22 00:00:00,1740,673,0.3867816091954023
