date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,291,382,440,499,362,7
1/1/2022,8764,6761,9253,18033,44615,3938
1/10/2021,438,551,649,748,841,11
1/11/2021,455,565,680,786,940,11
1/12/2021,475,588,709,834,1105,11
1/13/2021,493,619,748,882,1275,12
1/14/2021,527,648,798,950,1478,13
1/15/2021,551,693,835,1018,1712,14
1/16/2021,562,710,851,1056,1982,15
1/17/2021,563,713,851,1058,2007,15
1/18/2021,581,732,878,1094,2246,15
1/19/2021,599,750,909,1145,2430,16
1/2/2021,297,392,449,510,375,7
1/2/2022,8777,6767,9258,18048,44623,3945
1/20/2021,632,778,934,1211,2707,16
1/21/2021,649,802,961,1253,2884,16
1/22/2021,677,825,989,1299,3128,16
1/23/2021,690,835,998,1317,3733,16
1/24/2021,690,841,1007,1323,4260,16
1/25/2021,696,848,1018,1344,4518,17
1/26/2021,711,856,1026,1370,4877,17
1/27/2021,735,875,1053,1420,5293,17
1/28/2021,753,899,1085,1467,5824,17
1/29/2021,768,908,1099,1496,6207,17
1/3/2021,299,393,458,517,382,7
1/3/2022,8793,6776,9273,18079,44659,3963
1/30/2021,773,913,1111,1515,6510,17
1/31/2021,776,914,1118,1527,6985,17
1/4/2021,317,422,490,562,448,8
1/4/2022,8804,6782,9280,18094,44668,3970
1/5/2021,332,445,512,590,493,8
1/6/2021,370,479,552,653,567,9
1/7/2021,396,507,596,688,683,11
1/8/2021,427,540,635,729,790,11
1/9/2021,433,549,644,742,808,11
10/1/2021,7435,5999,8296,16493,41212,2871
10/10/2021,7559,6062,8370,16584,41328,2914
10/11/2021,7570,6073,8380,16599,41344,2919
10/12/2021,7590,6084,8392,16610,41361,2924
10/13/2021,7601,6095,8403,16618,41384,2929
10/14/2021,7616,6098,8417,16630,41411,2937
10/15/2021,7648,6117,8434,16640,41433,2952
10/16/2021,7660,6127,8444,16642,41438,2960
10/17/2021,7667,6128,8446,16646,41442,2963
10/18/2021,7697,6136,8461,16660,41458,2964
10/19/2021,7713,6150,8469,16675,41482,2977
10/2/2021,7444,6010,8304,16502,41228,2872
10/20/2021,7721,6159,8478,16682,41500,2979
10/21/2021,7742,6166,8487,16693,41515,2983
10/22/2021,7761,6185,8513,16705,41560,2991
10/23/2021,7770,6190,8519,16713,41607,2994
10/24/2021,7773,6192,8519,16719,41619,3000
10/25/2021,7785,6198,8531,16742,41703,3000
10/26/2021,7801,6205,8537,16754,41765,3004
10/27/2021,7811,6211,8553,16775,41838,3009
10/28/2021,7826,6216,8562,16802,41910,3014
10/29/2021,7843,6224,8570,16832,41960,3022
10/3/2021,7450,6012,8304,16502,41231,2873
10/30/2021,7851,6227,8579,16843,41986,3025
10/31/2021,7857,6228,8587,16847,41995,3025
10/4/2021,7468,6016,8317,16516,41247,2877
10/5/2021,7487,6027,8324,16530,41268,2884
10/6/2021,7510,6037,8327,16548,41285,2886
10/7/2021,7532,6044,8339,16562,41300,2888
10/8/2021,7549,6055,8355,16577,41320,2909
10/9/2021,7558,6060,8363,16583,41326,2913
11/1/2021,7861,6231,8592,16864,42047,3033
11/10/2021,7962,6293,8668,16993,42479,3185
11/11/2021,7986,6307,8690,17014,42559,3207
11/12/2021,8010,6320,8711,17050,42598,3233
11/13/2021,8024,6325,8718,17064,42621,3249
11/14/2021,8031,6329,8722,17069,42644,3255
11/15/2021,8051,6333,8742,17088,42717,3267
11/16/2021,8075,6343,8759,17100,42766,3283
11/17/2021,8100,6358,8774,17130,42827,3296
11/18/2021,8130,6375,8787,17158,42890,3313
11/19/2021,8160,6397,8814,17190,42949,3360
11/2/2021,7870,6236,8603,16878,42094,3034
11/20/2021,8171,6401,8821,17207,42979,3395
11/21/2021,8183,6411,8828,17224,43007,3414
11/22/2021,8212,6422,8838,17252,43057,3424
11/23/2021,8234,6425,8860,17282,43098,3444
11/24/2021,8244,6434,8870,17300,43122,3458
11/25/2021,8244,6435,8870,17300,43122,3458
11/26/2021,8268,6442,8881,17322,43149,3475
11/27/2021,8273,6453,8892,17336,43169,3484
11/28/2021,8282,6459,8896,17350,43185,3492
11/29/2021,8311,6481,8908,17375,43236,3500
11/3/2021,7887,6241,8607,16890,42138,3037
11/30/2021,8336,6493,8919,17396,43289,3512
11/4/2021,7898,6252,8615,16903,42207,3045
11/5/2021,7911,6258,8626,16916,42267,3059
11/6/2021,7918,6267,8635,16930,42292,3125
11/7/2021,7921,6268,8638,16935,42301,3142
11/8/2021,7933,6282,8646,16946,42377,3152
11/9/2021,7953,6287,8658,16972,42430,3163
12/1/2020,,,,,1,
12/1/2021,8367,6509,8937,17421,43348,3525
12/10/2020,,,,,1,
12/10/2021,8501,6599,9052,17656,43830,3650
12/11/2020,,,,,1,
12/11/2021,8510,6612,9060,17674,43875,3657
12/12/2020,,,,1,1,
12/12/2021,8517,6616,9066,17676,43910,3672
12/13/2020,,,,1,1,
12/13/2021,8529,6623,9079,17694,43964,3676
12/14/2020,,,,1,1,
12/14/2021,8538,6628,9085,17704,44018,3681
12/15/2020,,,,1,1,
12/15/2021,8548,6630,9093,17729,44084,3689
12/16/2020,,,1,2,1,
12/16/2021,8560,6634,9102,17745,44137,3708
12/17/2020,,,1,2,1,
12/17/2021,8571,6642,9118,17772,44191,3729
12/18/2020,,1,1,3,1,
12/18/2021,8580,6644,9125,17784,44211,3742
12/19/2020,,1,1,3,1,
12/19/2021,8587,6652,9132,17792,44227,3749
12/2/2020,,,,,1,
12/2/2021,8384,6524,8953,17453,43399,3538
12/20/2020,,1,1,3,1,
12/20/2021,8614,6658,9155,17828,44297,3756
12/21/2020,1,1,5,7,4,
12/21/2021,8635,6669,9164,17863,44363,3779
12/22/2020,5,12,24,25,13,
12/22/2021,8648,6683,9176,17892,44410,3794
12/23/2020,32,53,77,80,47,
12/23/2021,8661,6696,9190,17910,44453,3820
12/24/2020,64,88,106,102,63,
12/24/2021,8667,6699,9195,17919,44467,3822
12/25/2020,64,88,106,102,63,
12/25/2021,8667,6699,9195,17919,44467,3822
12/26/2020,92,129,140,145,81,1
12/26/2021,8672,6703,9201,17927,44474,3830
12/27/2020,97,139,154,155,102,2
12/27/2021,8689,6712,9215,17959,44508,3851
12/28/2020,142,195,213,220,144,3
12/28/2021,8701,6729,9227,17980,44548,3875
12/29/2020,200,267,309,314,203,4
12/29/2021,8723,6742,9237,18000,44588,3887
12/3/2020,,,,,1,
12/3/2021,8404,6536,8973,17487,43457,3561
12/30/2020,244,328,377,411,269,6
12/30/2021,8748,6755,9244,18020,44604,3914
12/31/2020,288,379,430,487,321,6
12/31/2021,8763,6759,9253,18029,44614,3937
12/4/2020,,,,,1,
12/4/2021,8416,6539,8981,17510,43478,3569
12/5/2020,,,,,1,
12/5/2021,8420,6544,8986,17518,43507,3577
12/6/2020,,,,,1,
12/6/2021,8432,6557,8997,17544,43593,3580
12/7/2020,,,,,1,
12/7/2021,8449,6565,9011,17566,43655,3584
12/8/2020,,,,,1,
12/8/2021,8461,6574,9024,17593,43709,3591
12/9/2020,,,,,1,
12/9/2021,8488,6585,9038,17624,43772,3613
2/1/2021,793,934,1137,1580,7402,18
2/10/2021,892,1035,1257,1809,10643,24
2/11/2021,895,1040,1270,1824,10870,25
2/12/2021,920,1069,1293,1866,11245,27
2/13/2021,921,1079,1298,1883,11470,27
2/14/2021,922,1080,1298,1890,11496,27
2/15/2021,932,1087,1313,1902,11635,28
2/16/2021,937,1092,1322,1923,11887,28
2/17/2021,950,1097,1328,1937,12151,28
2/18/2021,958,1110,1336,1950,12315,28
2/19/2021,961,1113,1338,1956,12401,28
2/2/2021,802,948,1156,1601,7810,18
2/20/2021,961,1113,1339,1961,12424,28
2/21/2021,961,1113,1339,1961,12447,28
2/22/2021,965,1114,1343,1969,12536,28
2/23/2021,967,1114,1344,1975,12612,28
2/24/2021,969,1119,1355,1996,12876,28
2/25/2021,974,1123,1367,2015,13196,28
2/26/2021,977,1129,1379,2034,13512,28
2/27/2021,985,1144,1389,2046,13727,28
2/28/2021,990,1147,1398,2058,14040,28
2/3/2021,834,969,1186,1656,8580,21
2/4/2021,846,983,1205,1690,9002,21
2/5/2021,860,995,1221,1712,9358,22
2/6/2021,865,997,1223,1716,9562,22
2/7/2021,865,1005,1226,1727,9669,22
2/8/2021,865,1008,1229,1742,9830,23
2/9/2021,875,1021,1244,1763,9966,23
3/1/2021,999,1154,1411,2072,14454,29
3/10/2021,1146,1313,1633,2998,19761,32
3/11/2021,1158,1325,1647,3185,20622,32
3/12/2021,1182,1345,1668,3325,21376,33
3/13/2021,1191,1362,1687,3468,21726,34
3/14/2021,1195,1371,1694,3527,21997,34
3/15/2021,1209,1381,1706,3639,22420,35
3/16/2021,1220,1385,1721,3760,23011,35
3/17/2021,1241,1400,1763,3953,24214,35
3/18/2021,1261,1422,1797,4101,24961,35
3/19/2021,1285,1443,1820,4344,25589,36
3/2/2021,1008,1164,1418,2085,14931,29
3/20/2021,1312,1470,1859,4618,26238,36
3/21/2021,1319,1473,1874,4771,26433,37
3/22/2021,1339,1497,1903,5108,26975,39
3/23/2021,1369,1519,1950,5463,27459,40
3/24/2021,1389,1546,2000,5962,28003,42
3/25/2021,1414,1581,2053,6383,28499,43
3/26/2021,1506,1670,2221,6744,28941,56
3/27/2021,1577,1725,2336,6998,29164,67
3/28/2021,1632,1763,2405,7117,29376,72
3/29/2021,1736,1850,2577,7471,29744,95
3/3/2021,1033,1181,1459,2170,15751,31
3/30/2021,1829,1936,2744,7783,30113,97
3/31/2021,1955,2047,2939,8114,30649,106
3/4/2021,1042,1189,1473,2220,16429,31
3/5/2021,1082,1240,1525,2389,17120,31
3/6/2021,1104,1279,1580,2494,17534,31
3/7/2021,1109,1279,1585,2580,17792,31
3/8/2021,1112,1287,1591,2706,18204,31
3/9/2021,1117,1297,1602,2832,18834,32
4/1/2021,2052,2131,3091,8400,31064,116
4/10/2021,2698,2649,3905,9938,33146,206
4/11/2021,2718,2672,3942,10020,33252,222
4/12/2021,2914,2864,4193,10326,33592,239
4/13/2021,2961,2907,4273,10450,33760,256
4/14/2021,3031,2941,4356,10569,33919,271
4/15/2021,3213,3105,4490,10702,34068,278
4/16/2021,3268,3149,4562,10812,34203,297
4/17/2021,3296,3179,4598,10861,34284,307
4/18/2021,3307,3188,4613,10884,34315,312
4/19/2021,3359,3213,4646,10982,34451,317
4/2/2021,2134,2219,3198,8601,31357,128
4/20/2021,3389,3254,4685,11071,34598,321
4/21/2021,3430,3295,4724,11163,34732,327
4/22/2021,3492,3336,4791,11288,34876,332
4/23/2021,3569,3379,4841,11401,34993,352
4/24/2021,3597,3408,4881,11443,35057,359
4/25/2021,3610,3413,4889,11460,35076,359
4/26/2021,3653,3440,4935,11526,35163,368
4/27/2021,3696,3462,4984,11602,35283,372
4/28/2021,3731,3478,5024,11686,35397,378
4/29/2021,3773,3507,5058,11769,35524,384
4/3/2021,2197,2260,3257,8715,31474,134
4/30/2021,3806,3546,5100,11870,35664,397
4/4/2021,2227,2276,3290,8759,31503,138
4/5/2021,2291,2333,3396,8955,31758,140
4/6/2021,2370,2372,3502,9156,32056,153
4/7/2021,2497,2475,3620,9394,32398,164
4/8/2021,2566,2541,3737,9589,32684,175
4/9/2021,2653,2619,3860,9811,33009,199
5/1/2021,3831,3564,5127,11916,35700,404
5/10/2021,4059,3744,5402,12365,36359,442
5/11/2021,4081,3773,5424,12422,36437,447
5/12/2021,4106,3795,5447,12462,36515,451
5/13/2021,4142,3817,5480,12515,36582,461
5/14/2021,4180,3844,5528,12574,36673,481
5/15/2021,4215,3865,5555,12632,36730,520
5/16/2021,4228,3873,5571,12649,36751,538
5/17/2021,4295,3951,5652,12753,36846,567
5/18/2021,4344,3979,5701,12811,36952,584
5/19/2021,4389,4003,5736,12872,37033,627
5/2/2021,3836,3572,5142,11926,35712,404
5/20/2021,4444,4043,5774,12939,37109,669
5/21/2021,4487,4061,5809,13004,37174,732
5/22/2021,4523,4075,5840,13037,37201,764
5/23/2021,4543,4082,5851,13058,37210,773
5/24/2021,4577,4095,5883,13112,37263,810
5/25/2021,4615,4110,5913,13158,37336,837
5/26/2021,4642,4130,5936,13205,37398,845
5/27/2021,4666,4140,5959,13246,37444,859
5/28/2021,4693,4163,5989,13292,37499,888
5/29/2021,4704,4172,6002,13311,37513,900
5/3/2021,3868,3594,5172,11989,35789,408
5/30/2021,4708,4180,6008,13319,37516,905
5/31/2021,4721,4185,6008,13330,37523,907
5/4/2021,3895,3620,5208,12055,35897,412
5/5/2021,3929,3638,5244,12111,36012,418
5/6/2021,3963,3671,5292,12186,36120,422
5/7/2021,3990,3697,5336,12251,36194,427
5/8/2021,4022,3718,5359,12308,36260,436
5/9/2021,4028,3723,5374,12319,36271,437
6/1/2021,4751,4206,6039,13370,37586,925
6/10/2021,4927,4318,6193,13625,37885,1137
6/11/2021,4943,4336,6218,13662,37928,1159
6/12/2021,4961,4341,6233,13682,37942,1170
6/13/2021,4966,4346,6238,13691,37949,1175
6/14/2021,4986,4354,6254,13723,37976,1186
6/15/2021,5016,4364,6263,13742,38006,1209
6/16/2021,5034,4375,6275,13772,38036,1226
6/17/2021,5050,4385,6293,13798,38060,1234
6/18/2021,5084,4399,6311,13824,38093,1254
6/19/2021,5098,4404,6319,13840,38102,1269
6/2/2021,4770,4218,6065,13406,37618,952
6/20/2021,5104,4409,6326,13845,38105,1274
6/21/2021,5125,4413,6336,13872,38139,1284
6/22/2021,5141,4423,6350,13901,38171,1292
6/23/2021,5167,4434,6369,13920,38201,1303
6/24/2021,5188,4448,6384,13941,38241,1315
6/25/2021,5216,4468,6413,13973,38276,1327
6/26/2021,5234,4479,6421,13994,38290,1341
6/27/2021,5239,4484,6427,14001,38299,1350
6/28/2021,5256,4497,6445,14018,38325,1371
6/29/2021,5277,4506,6460,14048,38346,1383
6/3/2021,4787,4228,6082,13437,37658,960
6/30/2021,5293,4515,6474,14077,38383,1409
6/4/2021,4808,4246,6102,13473,37706,973
6/5/2021,4821,4256,6113,13488,37729,984
6/6/2021,4830,4257,6118,13497,37733,991
6/7/2021,4868,4272,6137,13533,37773,1023
