date,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee
1/1/2021,15,18,26,21,36,
1/1/2022,838,723,659,694,1035,471
1/10/2021,23,23,38,34,88,1
1/11/2021,23,23,38,34,88,1
1/12/2021,26,29,43,40,105,1
1/13/2021,29,35,44,43,133,1
1/14/2021,37,42,58,67,143,1
1/15/2021,40,43,62,69,148,1
1/16/2021,40,43,62,69,149,1
1/17/2021,40,43,62,69,149,1
1/18/2021,43,44,63,73,156,1
1/19/2021,47,45,65,73,173,1
1/2/2021,15,18,26,21,36,
1/2/2022,838,723,659,694,1035,471
1/20/2021,48,48,67,76,190,1
1/21/2021,65,66,99,103,330,1
1/22/2021,78,88,121,131,420,1
1/23/2021,124,144,156,196,569,1
1/24/2021,126,145,158,198,569,1
1/25/2021,135,157,169,205,573,1
1/26/2021,136,157,169,205,574,1
1/27/2021,153,169,179,221,587,1
1/28/2021,203,209,223,274,626,5
1/29/2021,228,235,244,296,644,5
1/3/2021,15,18,26,21,36,
1/3/2022,838,723,659,695,1035,473
1/30/2021,228,236,244,296,645,5
1/31/2021,228,236,244,296,645,5
1/4/2021,15,18,26,21,36,1
1/4/2022,841,723,659,696,1035,474
1/5/2021,19,18,28,22,51,1
1/6/2021,20,19,30,26,58,1
1/7/2021,22,22,35,32,80,1
1/8/2021,23,23,38,34,88,1
1/9/2021,23,23,38,34,88,1
10/1/2021,752,679,625,676,1012,278
10/10/2021,764,684,625,678,1014,281
10/11/2021,766,684,625,678,1014,281
10/12/2021,768,685,625,678,1014,281
10/13/2021,770,686,625,678,1014,281
10/14/2021,774,687,626,678,1014,282
10/15/2021,777,688,626,678,1014,284
10/16/2021,778,688,626,678,1014,284
10/17/2021,778,688,626,678,1014,284
10/18/2021,780,689,629,678,1015,284
10/19/2021,780,690,629,679,1015,284
10/2/2021,752,679,625,676,1013,278
10/20/2021,781,690,629,681,1015,284
10/21/2021,782,690,630,681,1015,284
10/22/2021,784,691,632,681,1015,284
10/23/2021,784,691,632,681,1015,284
10/24/2021,784,691,632,681,1015,284
10/25/2021,786,691,632,681,1015,284
10/26/2021,786,691,632,681,1015,286
10/27/2021,787,691,633,681,1015,286
10/28/2021,788,691,634,681,1015,288
10/29/2021,788,692,635,681,1015,289
10/3/2021,752,679,625,676,1013,278
10/30/2021,788,692,635,681,1015,289
10/31/2021,788,692,635,681,1015,289
10/4/2021,754,680,625,676,1013,280
