date,Greenlee_cume,Greenlee
2021-10-22,7799,16
2021-10-25,7822,23
2021-10-26,7852,30
2021-10-27,7877,25
2021-10-28,7897,20
2021-10-29,7920,23
2021-10-31,7921,1
2021-11-01,7945,24
2021-11-02,7969,24
2021-11-03,7993,24
2021-11-04,8194,201
2021-11-05,8235,41
2021-11-06,8238,3
2021-11-07,8239,1
2021-11-08,8303,64
2021-11-09,8322,19
2021-11-10,8331,9
2021-11-11,8348,17
2021-11-12,8445,97
2021-11-13,8452,7
2021-11-15,8477,25
2021-11-16,8606,129
2021-11-17,8639,33
2021-11-18,8647,8
2021-11-19,8684,37
2021-11-20,8685,1
2021-11-21,8686,1
2021-11-22,8746,60
2021-11-23,8762,16
2021-11-24,8779,17
2021-11-26,8781,2
2021-11-27,8863,82
2021-11-28,8866,3
2021-11-29,8869,3
2021-11-30,8902,33
2021-12-01,8943,41
2021-12-02,9016,73
2021-12-03,9115,99
2021-12-04,9117,2
2021-12-05,9124,7
2021-12-06,9145,21
2021-12-07,9165,20
2021-12-08,9187,22
2021-12-09,9239,52
2021-12-10,9275,36
2021-12-13,9297,22
2021-12-14,9311,14
2021-12-15,9323,12
2021-12-16,9407,84
2021-12-17,9433,26
2021-12-18,9434,1
2021-12-19,9436,2
2021-12-20,9463,27
2021-12-21,9478,15
2021-12-22,9491,13
2021-12-23,9504,13
2021-12-26,9505,1
2021-12-27,9525,20
2021-12-28,9554,29
2021-12-29,9573,19
2021-12-30,9600,27
2021-12-31,9603,3
2022-01-01,9608,5
2022-01-02,9609,1
2022-01-03,9630,21
2022-01-04,9649,19
