date,Graham_cume,Graham
2020-12-17,80,
2020-12-18,147,67
2020-12-20,148,1
2020-12-21,196,48
2020-12-22,242,46
2020-12-23,373,131
2020-12-24,434,61
2020-12-26,444,10
2020-12-27,447,3
2020-12-28,602,155
2020-12-29,755,153
2020-12-30,874,119
2020-12-31,960,86
2021-01-01,971,11
2021-01-02,974,3
2021-01-04,1116,142
2021-01-05,1231,115
2021-01-06,1353,122
2021-01-07,1595,242
2021-01-08,1866,271
2021-01-09,1868,2
2021-01-11,2005,137
2021-01-12,2172,167
2021-01-13,2383,211
2021-01-14,2679,296
2021-01-15,3294,615
2021-01-16,3353,59
2021-01-17,3356,3
2021-01-18,3505,149
2021-01-19,3801,296
2021-01-20,4089,288
2021-01-21,4350,261
2021-01-22,4632,282
2021-01-23,4876,244
2021-01-24,4879,3
2021-01-25,5061,182
2021-01-26,5237,176
2021-01-27,5522,285
2021-01-28,5823,301
2021-01-29,6234,411
2021-01-30,6335,101
2021-01-31,6336,1
2021-02-01,6527,191
2021-02-02,6730,203
2021-02-03,7000,270
2021-02-04,7276,276
2021-02-05,7625,349
2021-02-06,7891,266
2021-02-07,7892,1
2021-02-08,8106,214
2021-02-09,8321,215
2021-02-10,8592,271
2021-02-11,8998,406
2021-02-12,9733,735
2021-02-13,9957,224
2021-02-14,9958,1
2021-02-15,10133,175
2021-02-16,10341,208
2021-02-17,10574,233
2021-02-18,10985,411
2021-02-19,11343,358
2021-02-20,11672,329
2021-02-21,11673,1
2021-02-22,11831,158
2021-02-23,12070,239
2021-02-24,12408,338
2021-02-25,12755,347
2021-02-26,13074,319
2021-02-27,13112,38
2021-02-28,13125,13
2021-03-01,13346,221
2021-03-02,13614,268
2021-03-03,13946,332
2021-03-04,14223,277
2021-03-05,14438,215
2021-03-06,14706,268
2021-03-07,14709,3
2021-03-08,14888,179
2021-03-09,15135,247
2021-03-10,15483,348
2021-03-11,15813,330
2021-03-12,16258,445
2021-03-13,16527,269
2021-03-14,16530,3
2021-03-15,16791,261
2021-03-16,16982,191
2021-03-17,17284,302
2021-03-18,17548,264
2021-03-19,17746,198
2021-03-20,17766,20
2021-03-21,17771,5
2021-03-22,17968,197
2021-03-23,18237,269
2021-03-24,18552,315
2021-03-25,18823,271
2021-03-26,19077,254
2021-03-27,19198,121
2021-03-28,19202,4
2021-03-29,19436,234
2021-03-30,19640,204
2021-03-31,20006,366
2021-04-01,20318,312
2021-04-02,20441,123
2021-04-03,20462,21
2021-04-04,20472,10
2021-04-05,20640,168
2021-04-06,20880,240
2021-04-07,21270,390
2021-04-08,21605,335
2021-04-09,21751,146
2021-04-10,21891,140
2021-04-11,21899,8
2021-04-12,22012,113
2021-04-13,22174,162
2021-04-14,22441,267
2021-04-15,22612,171
2021-04-16,22800,188
2021-04-17,22828,28
2021-04-18,22831,3
2021-04-19,22946,115
2021-04-20,23151,205
2021-04-21,23407,256
2021-04-22,23648,241
2021-04-23,23832,184
2021-04-24,23945,113
2021-04-25,23950,5
2021-04-26,24114,164
2021-04-27,24281,167
2021-04-28,24483,202
2021-04-29,24723,240
2021-04-30,24796,73
2021-05-01,24824,28
2021-05-02,24829,5
2021-05-03,24900,71
2021-05-04,25029,129
2021-05-05,25261,232
2021-05-06,25474,213
2021-05-07,25551,77
2021-05-08,25602,51
2021-05-09,25603,1
2021-05-10,25648,45
2021-05-11,25725,77
2021-05-12,25888,163
2021-05-13,26044,156
2021-05-14,26164,120
2021-05-15,26186,22
2021-05-16,26192,6
2021-05-17,26283,91
2021-05-18,26373,90
2021-05-19,26533,160
2021-05-20,26682,149
2021-05-21,26792,110
2021-05-22,26855,63
2021-05-23,26859,4
2021-05-24,26926,67
2021-05-25,27009,83
2021-05-26,27075,66
2021-05-27,27168,93
2021-05-28,27255,87
2021-05-29,27264,9
2021-05-30,27268,4
2021-05-31,27276,8
2021-06-01,27359,83
2021-06-02,27441,82
2021-06-03,27514,73
2021-06-04,27605,91
2021-06-05,27622,17
2021-06-06,27632,10
2021-06-07,27668,36
2021-06-08,27723,55
2021-06-09,27758,35
2021-06-10,27892,134
2021-06-11,27935,43
2021-06-12,27970,35
2021-06-13,27973,3
2021-06-14,28052,79
2021-06-15,28107,55
2021-06-16,28154,47
2021-06-17,28215,61
2021-06-18,28290,75
2021-06-19,28308,18
2021-06-20,28315,7
2021-06-21,28357,42
2021-06-22,28403,46
2021-06-23,28435,32
2021-06-24,28482,47
2021-06-25,28548,66
2021-06-26,28562,14
2021-06-27,28564,2
2021-06-28,28623,59
2021-06-29,28673,50
2021-06-30,28747,74
2021-07-01,28796,49
2021-07-02,28838,42
2021-07-03,28861,23
2021-07-05,28889,28
2021-07-06,28924,35
2021-07-07,28981,57
2021-07-08,29059,78
2021-07-09,29116,57
2021-07-10,29141,25
2021-07-11,29147,6
2021-07-12,29193,46
2021-07-13,29238,45
2021-07-14,29298,60
2021-07-15,29360,62
2021-07-16,29422,62
2021-07-17,29438,16
2021-07-18,29446,8
2021-07-19,29515,69
2021-07-20,29585,70
2021-07-21,29662,77
2021-07-22,29767,105
2021-07-23,29883,116
2021-07-24,29928,45
2021-07-25,29934,6
2021-07-26,30063,129
2021-07-27,30164,101
2021-07-28,30251,87
2021-07-29,30349,98
2021-07-30,30447,98
2021-07-31,30487,40
2021-08-01,30500,13
2021-08-02,30574,74
2021-08-03,30631,57
2021-08-04,30768,137
2021-08-05,30871,103
2021-08-06,30978,107
2021-08-07,31004,26
2021-08-08,31015,11
2021-08-09,31109,94
2021-08-10,31171,62
2021-08-11,31271,100
2021-08-12,31418,147
2021-08-13,31577,159
2021-08-14,31600,23
2021-08-15,31610,10
2021-08-16,31717,107
2021-08-17,31850,133
2021-08-18,31973,123
2021-08-19,32154,181
2021-08-20,32375,221
2021-08-21,32572,197
2021-08-22,32587,15
2021-08-23,32778,191
2021-08-24,32923,145
2021-08-25,33109,186
2021-08-26,33320,211
2021-08-27,33565,245
2021-08-28,33610,45
2021-08-29,33673,63
2021-08-30,33848,175
2021-08-31,33954,106
2021-09-01,34067,113
2021-09-02,34202,135
2021-09-03,34367,165
2021-09-04,34402,35
2021-09-05,34411,9
2021-09-06,34425,14
2021-09-07,34504,79
2021-09-08,34614,110
2021-09-09,34758,144
2021-09-10,34925,167
2021-09-11,34989,64
2021-09-12,35008,19
2021-09-13,35105,97
2021-09-14,35211,106
2021-09-15,35296,85
2021-09-16,35415,119
2021-09-17,35557,142
2021-09-18,35626,69
2021-09-19,35632,6
2021-09-20,35727,95
2021-09-21,35787,60
2021-09-22,35889,102
2021-09-23,36036,147
2021-09-24,36139,103
2021-09-25,36165,26
2021-09-26,36170,5
2021-09-27,36228,58
2021-09-28,36284,56
2021-09-29,36370,86
2021-09-30,36492,122
2021-10-01,36573,81
2021-10-02,36594,21
2021-10-03,36602,8
2021-10-04,36651,49
2021-10-05,36710,59
2021-10-06,36760,50
2021-10-07,36852,92
2021-10-08,36922,70
2021-10-09,36952,30
2021-10-10,36965,13
2021-10-11,37023,58
2021-10-12,37085,62
2021-10-13,37150,65
2021-10-14,37230,80
2021-10-15,37301,71
2021-10-16,37340,39
2021-10-17,37346,6
2021-10-18,37388,42
2021-10-19,37424,36
2021-10-20,37471,47
2021-10-21,37554,83
2021-10-22,37629,75
2021-10-23,37671,42
2021-10-24,37683,12
2021-10-25,37753,70
2021-10-26,37828,75
2021-10-27,37899,71
2021-10-28,38070,171
2021-10-29,38180,110
2021-10-30,38308,128
2021-10-31,38320,12
2021-11-01,38445,125
2021-11-02,38521,76
2021-11-03,38649,128
2021-11-04,38822,173
2021-11-05,38986,164
2021-11-06,39012,26
2021-11-07,39027,15
2021-11-08,39159,132
2021-11-09,39273,114
2021-11-10,39364,91
2021-11-11,39470,106
2021-11-12,39606,136
2021-11-13,39708,102
2021-11-14,39715,7
2021-11-15,39848,133
2021-11-16,39946,98
2021-11-17,40051,105
2021-11-18,40303,252
2021-11-19,40493,190
2021-11-20,40532,39
2021-11-21,40560,28
2021-11-22,40741,181
2021-11-23,40825,84
2021-11-24,40916,91
2021-11-26,40972,56
2021-11-27,40996,24
2021-11-28,41005,9
2021-11-29,41151,146
2021-11-30,41344,193
2021-12-01,41526,182
2021-12-02,41755,229
2021-12-03,42045,290
2021-12-04,42153,108
2021-12-05,42168,15
2021-12-06,42345,177
2021-12-07,42470,125
2021-12-08,42543,73
2021-12-09,42747,204
2021-12-10,42932,185
2021-12-11,42959,27
2021-12-12,42979,20
2021-12-13,43126,147
2021-12-14,43227,101
2021-12-15,43303,76
2021-12-16,43563,260
2021-12-17,43727,164
2021-12-18,43754,27
2021-12-19,43781,27
2021-12-20,43968,187
2021-12-21,44083,115
2021-12-22,44234,151
2021-12-23,44301,67
2021-12-24,44329,28
2021-12-25,44331,2
2021-12-26,44345,14
2021-12-27,44527,182
2021-12-28,44687,160
2021-12-29,44801,114
2021-12-30,44953,152
2021-12-31,45058,105
2022-01-01,45062,4
2022-01-02,45066,4
2022-01-03,45282,216
2022-01-04,45305,23
