Category,value
Apache,545
Cochise,476
Coconino,420
Gila,314
Graham,159
Greenlee,27
La Paz,110
Maricopa,"13,849"
Mohave,"1,196"
Navajo,759
Pima,"3,210"
Pinal,"1,333"
Santa Cruz,206
Yavapai,979
Yuma,987
Female,10168
Male,14388
20-44y,1343
45-54y,1919
55-64y,3889
65+,17365
<20y,54
"White, non-Hispanic",12732
Hispanic or Latino,6688
"American Indian or Alaska Native, non-Hispanic",1789
"Black or African American, non-Hispanic",746
"Asian or Pacific Islander, non-Hispanic",303
Other Race,681
Unknown,1631
