date,pcr_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2020-05-30 00:00:00,52,0.2692307692307692,8.0,0
2020-05-29 00:00:00,81,0.1728395061728395,11.0,0
2020-05-28 00:00:00,83,0.2891566265060241,21.0,0
2020-05-27 00:00:00,108,0.3055555555555556,17.0,0
2020-05-26 00:00:00,96,0.3541666666666667,24.0,0
2020-05-25 00:00:00,27,0.5185185185185186,4.0,0
2020-05-24 00:00:00,31,0.2903225806451613,2.0,0
2020-05-23 00:00:00,36,0.4722222222222222,1.0,0
2020-05-22 00:00:00,51,0.2745098039215687,17.0,0
2020-05-21 00:00:00,65,0.1692307692307693,29.0,0.0344827586206897
2020-05-20 00:00:00,91,0.4395604395604396,46.0,0
2020-05-19 00:00:00,83,0.1927710843373494,51.0,0
2020-05-18 00:00:00,56,0.3392857142857143,62.0,0.0161290322580645
2020-05-17 00:00:00,14,0.0714285714285714,1.0,0
2020-05-16 00:00:00,48,0.2083333333333334,3.0,0
2020-05-15 00:00:00,27,0.4814814814814816,5.0,0
2020-05-14 00:00:00,50,0.1,8.0,0
2020-05-13 00:00:00,25,0.16,4.0,0.25
2020-05-12 00:00:00,18,0.1666666666666667,3.0,0
2020-05-11 00:00:00,26,0.3461538461538462,12.0,0
2020-05-10 00:00:00,2,0,1.0,0
2020-05-09 00:00:00,11,0.3636363636363637,2.0,0
2020-05-08 00:00:00,30,0,2.0,0
2020-05-07 00:00:00,40,0.15,4.0,0
2020-05-06 00:00:00,27,0.037037037037037,2.0,0
2020-05-05 00:00:00,10,0.2,2.0,0
2020-05-04 00:00:00,8,0,,
2020-05-03 00:00:00,3,0,2.0,0
2020-05-02 00:00:00,13,0.0769230769230769,6.0,0.1666666666666667
2020-05-01 00:00:00,10,0,4.0,0
2020-04-30 00:00:00,13,0.0769230769230769,,
2020-04-29 00:00:00,6,0,1.0,0
2020-04-28 00:00:00,7,0.1428571428571429,3.0,0
2020-04-27 00:00:00,6,0.1666666666666667,1.0,0
2020-04-25 00:00:00,2,0,,
2020-04-24 00:00:00,7,0,,
2020-04-23 00:00:00,13,0,,
2020-04-22 00:00:00,8,0,,
2020-04-21 00:00:00,19,0.1052631578947368,,
2020-04-20 00:00:00,16,0.1875,,
2020-04-19 00:00:00,1,0,,
2020-04-18 00:00:00,2,0,,
2020-04-17 00:00:00,8,0.25,,
2020-04-16 00:00:00,2,0.5,,
2020-04-15 00:00:00,9,0.4444444444444444,,
2020-04-14 00:00:00,3,0.3333333333333333,,
2020-04-13 00:00:00,10,0.3,,
2020-04-12 00:00:00,1,0,,
2020-04-10 00:00:00,3,0,,
2020-04-09 00:00:00,6,0,,
2020-04-08 00:00:00,5,0.2,,
2020-04-07 00:00:00,7,0.1428571428571429,,
2020-04-06 00:00:00,7,0.1428571428571429,,
2020-04-04 00:00:00,6,0.1666666666666667,,
2020-04-03 00:00:00,2,0,,
2020-04-02 00:00:00,8,0,,
2020-04-01 00:00:00,8,0.125,,
2020-03-31 00:00:00,5,0,,
2020-03-30 00:00:00,8,0,,
2020-03-28 00:00:00,3,0,,
2020-03-27 00:00:00,1,0,,
2020-03-26 00:00:00,5,0,,
2020-03-25 00:00:00,10,0,,
2020-03-24 00:00:00,8,0,,
2020-03-23 00:00:00,6,0,,
2020-03-22 00:00:00,1,0,,
2020-03-21 00:00:00,5,0.2,,
2020-03-20 00:00:00,5,0,,
2020-03-19 00:00:00,4,0,,
2020-03-18 00:00:00,3,0,,
2020-03-17 00:00:00,7,0,,
2020-03-16 00:00:00,1,0,,
2020-03-13 00:00:00,1,0,,
2020-03-12 00:00:00,2,0,,
2020-03-11 00:00:00,1,0,,
