date,icu_covid,icu_non_covid,icu_empty
2021-05-19,1315,1331,1347
2021-05-18,1315,1331,1347
2021-05-17,1315,1331,1347
2021-05-16,1315,1331,1347
2021-05-15,1315,1331,1347
2021-05-14,1315,1331,1347
2021-05-13,1315,1331,1347
2021-05-12,1315,1331,1347
2021-05-11,1315,1331,1347
2021-05-10,1315,1331,1347
2021-05-09,1315,1331,1347
2021-05-08,1315,1331,1347
2021-05-07,1315,1331,1347
2021-05-06,1315,1331,1347
2021-05-05,1315,1331,1347
2021-05-04,1315,1331,1347
2021-05-03,1315,1331,1347
2021-05-02,1315,1331,1347
2021-05-01,1315,1331,1347
2021-04-30,1315,1331,1347
2021-04-29,1315,1331,1347
2021-04-28,1315,1331,1347
2021-04-27,1315,1331,1347
2021-04-26,1315,1331,1347
2021-04-25,1315,1331,1347
2021-04-24,1315,1331,1347
2021-04-23,1315,1331,1347
2021-04-22,1315,1331,1347
2021-04-21,1315,1331,1347
2021-04-20,1315,1331,1347
2021-04-19,1315,1331,1347
2021-04-18,1315,1331,1347
2021-04-17,1315,1331,1347
2021-04-16,1315,1331,1347
2021-04-15,1315,1331,1347
2021-04-14,1315,1331,1347
2021-04-13,1315,1331,1347
2021-04-12,1315,1331,1347
2021-04-11,1315,1331,1347
2021-04-10,1315,1331,1347
2021-04-09,1315,1331,1347
2021-04-08,1315,1331,1347
2021-04-07,1315,1331,1347
2021-04-06,1315,1331,1347
2021-04-05,1315,1331,1347
2021-04-04,1315,1331,1347
2021-04-03,1315,1331,1347
2021-04-02,1315,1331,1347
2021-04-01,1315,1331,1347
2021-03-31,1315,1331,1347
2021-03-30,1315,1331,1347
2021-03-28,1315,1331,1347
2021-03-27,1315,1331,1347
2021-03-26,1315,1331,1347
2021-03-25,1315,1331,1347
2021-03-24,1315,1331,1347
2021-03-23,1315,1331,1347
2021-03-22,1315,1331,1347
2021-03-21,1315,1331,1347
2021-03-20,1315,1331,1347
2021-03-19,1315,1331,1347
2021-03-18,1315,1331,1347
2021-03-17,1315,1331,1347
2021-03-16,1315,1331,1347
2021-03-15,1315,1331,1347
2021-03-14,1315,1331,1347
2021-03-13,1315,1331,1347
2021-03-12,1315,1331,1347
2021-03-11,1315,1331,1347
2021-03-10,1315,1331,1347
2021-03-09,1315,1331,1347
2021-03-08,1315,1331,1347
2021-03-07,1315,1331,1347
2021-03-06,1315,1331,1347
2021-03-05,1315,1331,1347
2021-03-04,1315,1331,1347
2021-03-03,1315,1331,1347
2021-03-02,1315,1331,1347
2021-03-01,1315,1331,1347
