date,pcr_tests_APACHE,pcr_positivity_APACHE,ser_tests_APACHE,ser_positivity_APACHE
2020-05-24 00:00:00,31,0.4193548387096775,,
2020-05-23 00:00:00,27,0.1481481481481482,3.0,0
2020-05-22 00:00:00,95,0.1578947368421053,11.0,0
2020-05-21 00:00:00,84,0.2023809523809524,23.0,0
2020-05-20 00:00:00,104,0.1730769230769231,26.0,0
2020-05-19 00:00:00,81,0.1234567901234568,14.0,0.1428571428571429
2020-05-18 00:00:00,56,0.0714285714285714,10.0,0
2020-05-17 00:00:00,16,0.0625,3.0,0
2020-05-16 00:00:00,46,0.108695652173913,2.0,0
2020-05-15 00:00:00,183,0.0491803278688525,4.0,0
2020-05-14 00:00:00,105,0.1619047619047619,1.0,0
2020-05-13 00:00:00,80,0.1,3.0,0
2020-05-12 00:00:00,101,0.0891089108910891,4.0,0
2020-05-11 00:00:00,103,0.1747572815533981,,
2020-05-10 00:00:00,19,0.1578947368421053,,
2020-05-09 00:00:00,53,0.0566037735849057,1.0,0
2020-05-08 00:00:00,116,0.1637931034482759,1.0,0
2020-05-07 00:00:00,64,0.0625,2.0,0
2020-05-06 00:00:00,76,0.1842105263157895,4.0,0
2020-05-05 00:00:00,117,0.1367521367521368,1.0,1
2020-05-04 00:00:00,73,0.136986301369863,2.0,0
2020-05-03 00:00:00,29,0.1379310344827586,,
2020-05-02 00:00:00,32,0.0625,,
2020-05-01 00:00:00,93,0.2150537634408602,,
2020-04-30 00:00:00,62,0.2419354838709678,2.0,0
2020-04-29 00:00:00,76,0.2368421052631579,,
2020-04-28 00:00:00,99,0.2121212121212121,,
2020-04-27 00:00:00,123,0.2682926829268293,1.0,0
2020-04-26 00:00:00,47,0.2978723404255319,,
2020-04-25 00:00:00,27,0.1111111111111111,,
2020-04-24 00:00:00,87,0.2183908045977012,,
2020-04-23 00:00:00,102,0.1274509803921569,,
2020-04-22 00:00:00,79,0.3417721518987342,,
2020-04-21 00:00:00,72,0.125,,
2020-04-20 00:00:00,115,0.208695652173913,,
2020-04-19 00:00:00,27,0.4444444444444444,,
2020-04-18 00:00:00,16,0.25,,
2020-04-17 00:00:00,147,0.1496598639455782,,
2020-04-16 00:00:00,82,0.1707317073170732,,
2020-04-15 00:00:00,123,0.2195121951219512,,
2020-04-14 00:00:00,62,0.2741935483870968,,
2020-04-13 00:00:00,74,0.1891891891891892,,
2020-04-12 00:00:00,27,0.3333333333333333,,
2020-04-11 00:00:00,22,0.2727272727272727,,
2020-04-10 00:00:00,49,0.2857142857142857,,
2020-04-09 00:00:00,40,0.175,,
2020-04-08 00:00:00,82,0.1341463414634147,,
2020-04-07 00:00:00,66,0.0909090909090909,,
2020-04-06 00:00:00,53,0.169811320754717,,
2020-04-05 00:00:00,18,0,,
2020-04-04 00:00:00,24,0.2916666666666667,,
2020-04-03 00:00:00,44,0.0454545454545455,,
2020-04-02 00:00:00,24,0.0833333333333333,,
2020-04-01 00:00:00,35,0.0571428571428571,,
2020-03-31 00:00:00,30,0,,
2020-03-30 00:00:00,35,0,,
2020-03-29 00:00:00,15,0.0666666666666667,,
2020-03-28 00:00:00,19,0.0526315789473684,,
2020-03-27 00:00:00,28,0.0714285714285714,,
2020-03-26 00:00:00,25,0.04,,
2020-03-25 00:00:00,40,0.05,,
2020-03-24 00:00:00,24,0,,
2020-03-23 00:00:00,39,0.0512820512820513,,
2020-03-22 00:00:00,24,0,,
2020-03-21 00:00:00,16,0.0625,,
2020-03-20 00:00:00,88,0.0227272727272727,,
2020-03-19 00:00:00,56,0,,
2020-03-18 00:00:00,20,0.05,,
2020-03-17 00:00:00,17,0.1176470588235294,,
2020-03-16 00:00:00,5,0,,
2020-03-15 00:00:00,1,0,,
2020-03-14 00:00:00,2,0,,
2020-03-13 00:00:00,5,0,,
2020-03-12 00:00:00,4,0,,
2020-03-10 00:00:00,2,0,,
2020-02-23 00:00:00,1,0,,
