Category,value
tests,10431950
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,1584803
20 - 44 years,4507095
45 - 54 years,1406646
55 - 64 years,1319536
65 years and older,1595337
Unknown,18533
positive,0.0970974745852885
