Category,value
Apache,571
Cochise,511
Coconino,441
Gila,341
Graham,164
Greenlee,30
La Paz,117
Maricopa,"14,832"
Mohave,"1,286"
Navajo,815
Pima,"3,467"
Pinal,"1,448"
Santa Cruz,212
Yavapai,"1,074"
Yuma,"1,060"
Female,10912
Male,15444
20-44y,1465
45-54y,2088
55-64y,4213
65+,18544
<20y,59
"White, non-Hispanic",13917
Hispanic or Latino,7085
"American Indian or Alaska Native, non-Hispanic",1863
"Black or African American, non-Hispanic",814
"Asian or Pacific Islander, non-Hispanic",312
Other Race,721
Unknown,1657
