date,Apache_cume,Apache
1/1/2021,1,
1/11/2021,3,2
1/12/2021,5,2
1/13/2021,7,2
1/14/2021,51,44
1/15/2021,52,1
1/16/2021,54,2
1/18/2021,105,51
1/19/2021,162,57
1/20/2021,233,71
1/21/2021,239,6
1/22/2021,240,1
1/23/2021,249,9
1/25/2021,307,58
1/26/2021,432,125
1/27/2021,659,227
1/28/2021,710,51
1/29/2021,720,10
1/30/2021,809,89
1/31/2021,1004,195
1/4/2021,1160,156
1/5/2021,1523,363
1/6/2021,1604,81
1/7/2021,1625,21
1/8/2021,1695,70
1/9/2021,1792,97
12/17/2020,2006,214
12/21/2020,2351,345
12/22/2020,2432,81
12/23/2020,2462,30
12/24/2020,2565,103
12/26/2020,2707,142
12/28/2020,2940,233
12/29/2020,3380,440
12/30/2020,3492,112
12/31/2020,3493,1
12/8/2020,3499,6
2/1/2021,3683,184
2/10/2021,3859,176
2/11/2021,4239,380
2/12/2021,4717,478
2/13/2021,4820,103
2/15/2021,4861,41
2/16/2021,4862,1
2/17/2021,5044,182
2/18/2021,5284,240
2/19/2021,5775,491
2/2/2021,6456,681
2/20/2021,6629,173
2/21/2021,6697,68
2/22/2021,6788,91
2/23/2021,6979,191
2/24/2021,7256,277
2/25/2021,7597,341
2/26/2021,7664,67
2/27/2021,7697,33
2/28/2021,7706,9
2/3/2021,7889,183
2/4/2021,8051,162
2/5/2021,8215,164
2/6/2021,8835,620
2/7/2021,8953,118
2/8/2021,8978,25
2/9/2021,8990,12
3/1/2021,9309,319
3/10/2021,9460,151
3/11/2021,9953,493
3/12/2021,10225,272
3/13/2021,10309,84
3/14/2021,10331,22
3/15/2021,10341,10
3/16/2021,10522,181
3/17/2021,10779,257
3/18/2021,11308,529
3/19/2021,11584,276
3/2/2021,11724,140
3/20/2021,11788,64
3/21/2021,11804,16
3/22/2021,11942,138
3/23/2021,12249,307
3/24/2021,12352,103
3/25/2021,12451,99
3/26/2021,12501,50
3/27/2021,12518,17
3/28/2021,12549,31
3/29/2021,12660,111
3/3/2021,12794,134
3/30/2021,13134,340
3/31/2021,13310,176
3/4/2021,13353,43
3/5/2021,13367,14
3/6/2021,13401,34
3/7/2021,13499,98
3/8/2021,13637,138
3/9/2021,13761,124
4/1/2021,13921,160
4/10/2021,14028,107
4/11/2021,14060,32
4/12/2021,14070,10
4/13/2021,14192,122
4/14/2021,14363,171
4/15/2021,14505,142
4/16/2021,14628,123
4/17/2021,14715,87
4/18/2021,14907,192
4/19/2021,14932,25
4/2/2021,15045,113
4/20/2021,15159,114
4/21/2021,15251,92
4/22/2021,15344,93
4/23/2021,15400,56
4/24/2021,15413,13
4/25/2021,15435,22
4/26/2021,15511,76
4/27/2021,15595,84
4/28/2021,15672,77
4/29/2021,15752,80
4/3/2021,15804,52
4/30/2021,15837,33
4/4/2021,15849,12
4/5/2021,15906,57
4/6/2021,15993,87
4/7/2021,16076,83
4/8/2021,16171,95
4/9/2021,16209,38
5/1/2021,16235,26
5/10/2021,16245,10
5/11/2021,16295,50
5/12/2021,16390,95
5/13/2021,16439,49
5/14/2021,16483,44
5/15/2021,16530,47
5/16/2021,16562,32
5/17/2021,16571,9
5/18/2021,16619,48
5/19/2021,16699,80
5/2/2021,16771,72
5/20/2021,16903,132
5/21/2021,17090,187
5/22/2021,17506,416
5/23/2021,17517,11
5/24/2021,17763,246
5/25/2021,17992,229
5/26/2021,18151,159
5/27/2021,18277,126
5/28/2021,18347,70
5/29/2021,18399,52
5/3/2021,18404,5
5/30/2021,18500,96
5/4/2021,18622,122
5/5/2021,18726,104
5/6/2021,18808,82
5/7/2021,18872,64
5/8/2021,18901,29
5/9/2021,18915,14
6/1/2021,18989,74
6/10/2021,19075,86
6/11/2021,19156,81
6/12/2021,19340,184
6/13/2021,19684,344
6/14/2021,19693,9
6/15/2021,19948,255
6/16/2021,20241,293
6/17/2021,20451,210
6/18/2021,20537,86
6/19/2021,20634,97
6/2/2021,20660,26
6/20/2021,20664,4
6/21/2021,20776,112
6/22/2021,20894,118
6/23/2021,21011,117
6/24/2021,21090,79
6/25/2021,21146,56
6/26/2021,21184,38
6/27/2021,21194,10
6/28/2021,21273,79
6/29/2021,21366,93
6/3/2021,21455,89
6/30/2021,21518,63
6/4/2021,21584,66
6/5/2021,21624,40
6/6/2021,21635,11
6/7/2021,21719,84
6/8/2021,21817,98
6/9/2021,21917,100
7/1/2021,21974,57
7/10/2021,22040,66
7/11/2021,22063,23
7/12/2021,22083,20
7/13/2021,22174,91
7/14/2021,22239,65
7/15/2021,22303,64
7/16/2021,22346,43
7/17/2021,22359,13
7/18/2021,22370,11
7/19/2021,22446,76
7/2/2021,22507,61
7/20/2021,22578,71
7/21/2021,22629,51
7/22/2021,22702,73
7/23/2021,22723,21
7/24/2021,22732,9
7/25/2021,22770,38
7/26/2021,22827,57
7/27/2021,22886,59
7/28/2021,22943,57
7/29/2021,23038,95
7/3/2021,23063,25
7/30/2021,23079,16
7/31/2021,23148,69
7/5/2021,23242,94
7/6/2021,23344,102
7/7/2021,23431,87
7/8/2021,23508,77
7/9/2021,23537,29
8/1/2021,23553,16
8/2/2021,23646,93
8/3/2021,23658,12
