date,deaths
10/10/21,2
10/09/21,1
10/08/21,4
10/07/21,3
10/06/21,7
10/05/21,7
10/04/21,18
10/03/21,35
10/02/21,21
10/01/21,24
09/30/21,15
09/29/21,40
09/28/21,38
09/27/21,33
09/26/21,28
09/25/21,29
09/24/21,34
09/23/21,36
09/22/21,39
09/21/21,41
09/20/21,38
09/19/21,50
09/18/21,34
09/17/21,37
09/16/21,37
09/15/21,36
09/14/21,39
09/13/21,43
09/12/21,39
09/11/21,45
09/10/21,39
09/09/21,48
09/08/21,37
09/07/21,39
09/06/21,34
09/05/21,44
09/04/21,44
09/03/21,41
09/02/21,40
09/01/21,48
08/31/21,27
08/30/21,49
08/29/21,32
08/28/21,34
08/27/21,34
08/26/21,29
08/25/21,21
08/24/21,43
08/23/21,28
08/22/21,33
08/21/21,31
08/20/21,41
08/19/21,31
08/18/21,22
08/17/21,23
08/16/21,22
08/15/21,21
08/14/21,28
08/13/21,35
08/12/21,23
08/11/21,24
08/10/21,25
08/09/21,24
08/08/21,15
08/07/21,10
08/06/21,29
08/05/21,23
08/04/21,20
08/03/21,15
08/02/21,13
08/01/21,26
07/31/21,28
07/30/21,25
07/29/21,14
07/28/21,14
07/27/21,18
07/26/21,13
07/25/21,11
07/24/21,14
07/23/21,11
07/22/21,12
07/21/21,7
07/20/21,16
07/19/21,9
07/18/21,12
07/17/21,7
07/16/21,12
07/15/21,8
07/14/21,6
07/13/21,6
07/12/21,12
07/11/21,8
07/10/21,7
07/09/21,2
07/08/21,13
07/07/21,10
07/06/21,3
07/05/21,10
07/04/21,3
07/03/21,8
07/02/21,5
07/01/21,5
06/30/21,3
06/29/21,10
06/28/21,7
06/27/21,15
06/26/21,9
06/25/21,12
06/24/21,6
06/23/21,8
06/22/21,3
06/21/21,7
06/20/21,3
06/19/21,7
06/18/21,6
06/17/21,7
06/16/21,9
06/15/21,5
06/14/21,5
06/13/21,8
06/12/21,8
06/11/21,7
06/10/21,2
06/09/21,6
06/08/21,7
06/07/21,2
06/06/21,4
06/05/21,4
06/04/21,2
06/03/21,8
06/02/21,3
06/01/21,11
05/31/21,6
05/30/21,9
05/29/21,12
05/28/21,6
05/27/21,9
05/26/21,6
05/25/21,5
05/24/21,4
05/23/21,9
05/22/21,6
05/21/21,8
05/20/21,6
05/19/21,12
05/18/21,9
05/17/21,9
05/16/21,13
05/15/21,6
05/14/21,7
05/13/21,12
05/12/21,12
05/11/21,12
05/10/21,10
05/09/21,6
05/08/21,13
05/07/21,6
05/06/21,10
05/05/21,7
05/04/21,9
05/03/21,14
05/02/21,14
05/01/21,7
04/30/21,5
04/29/21,6
04/28/21,9
04/27/21,11
04/26/21,7
04/25/21,11
04/24/21,2
04/23/21,10
04/22/21,8
04/21/21,5
04/20/21,7
04/19/21,13
04/18/21,4
04/17/21,11
04/16/21,7
04/15/21,6
04/14/21,10
04/13/21,18
04/12/21,13
04/11/21,10
04/10/21,16
04/09/21,14
04/08/21,15
04/07/21,6
04/06/21,13
04/05/21,7
04/04/21,9
04/03/21,8
04/02/21,12
04/01/21,6
03/31/21,8
03/30/21,9
03/29/21,11
03/28/21,10
03/27/21,12
03/26/21,13
03/25/21,16
03/24/21,7
03/23/21,12
03/22/21,10
03/21/21,12
03/20/21,19
03/19/21,15
03/18/21,27
03/17/21,18
03/16/21,24
03/15/21,21
03/14/21,22
03/13/21,26
03/12/21,22
03/11/21,21
03/10/21,20
03/09/21,26
03/08/21,24
03/07/21,30
03/06/21,28
03/05/21,26
03/04/21,33
03/03/21,36
03/02/21,34
03/01/21,33
02/28/21,29
02/27/21,35
02/26/21,41
02/25/21,37
02/24/21,39
02/23/21,34
02/22/21,37
02/21/21,42
02/20/21,41
02/19/21,53
02/18/21,55
02/17/21,45
02/16/21,56
02/15/21,61
02/14/21,68
02/13/21,65
02/12/21,75
02/11/21,72
02/10/21,78
02/09/21,93
02/08/21,84
02/07/21,99
02/06/21,91
02/05/21,83
02/04/21,94
02/03/21,120
02/02/21,117
02/01/21,101
01/31/21,115
01/30/21,127
01/29/21,102
01/28/21,120
01/27/21,125
01/26/21,134
01/25/21,112
01/24/21,129
01/23/21,144
01/22/21,132
01/21/21,135
01/20/21,144
01/19/21,144
01/18/21,177
01/17/21,159
01/16/21,136
01/15/21,151
01/14/21,157
01/13/21,172
01/12/21,147
01/11/21,153
01/10/21,153
01/09/21,159
01/08/21,147
01/07/21,144
01/06/21,128
01/05/21,158
01/04/21,141
01/03/21,144
01/02/21,138
01/01/21,131
12/31/20,145
12/30/20,126
12/29/20,121
12/28/20,130
12/27/20,129
12/26/20,117
12/25/20,105
12/24/20,117
12/23/20,121
12/22/20,131
12/21/20,125
12/20/20,122
12/19/20,125
12/18/20,130
12/17/20,134
12/16/20,100
12/15/20,94
12/14/20,116
12/13/20,80
12/12/20,85
12/11/20,93
12/10/20,114
12/09/20,98
12/08/20,83
12/07/20,90
12/06/20,69
12/05/20,92
12/04/20,74
12/03/20,62
12/02/20,56
12/01/20,62
11/30/20,52
11/29/20,60
11/28/20,50
11/27/20,43
11/26/20,43
11/25/20,48
11/24/20,58
11/23/20,45
11/22/20,44
11/21/20,41
11/20/20,32
11/19/20,31
11/18/20,23
11/17/20,42
11/16/20,31
11/15/20,29
11/14/20,26
11/13/20,19
11/12/20,22
11/11/20,22
11/10/20,19
11/09/20,16
11/08/20,19
11/07/20,20
11/06/20,22
11/05/20,23
11/04/20,22
11/03/20,20
11/02/20,19
11/01/20,16
10/31/20,13
10/30/20,20
10/29/20,16
10/28/20,12
10/27/20,16
10/26/20,13
10/25/20,9
10/24/20,13
10/23/20,14
10/22/20,6
10/21/20,8
10/20/20,16
10/19/20,8
10/18/20,8
10/17/20,9
10/16/20,10
10/15/20,9
10/14/20,10
10/13/20,6
10/12/20,11
10/11/20,5
10/10/20,11
10/09/20,9
10/08/20,12
10/07/20,8
10/06/20,13
10/05/20,7
10/04/20,9
10/03/20,11
10/02/20,5
10/01/20,4
09/30/20,6
09/29/20,5
09/28/20,7
09/27/20,9
09/26/20,4
09/25/20,13
09/24/20,9
09/23/20,12
09/22/20,16
09/21/20,14
09/20/20,9
09/19/20,8
09/18/20,7
09/17/20,10
09/16/20,14
09/15/20,11
09/14/20,18
09/13/20,10
09/12/20,14
09/11/20,12
09/10/20,14
09/09/20,12
09/08/20,14
09/07/20,8
09/06/20,10
09/05/20,16
09/04/20,26
09/03/20,15
09/02/20,13
09/01/20,18
08/31/20,22
08/30/20,11
08/29/20,19
08/28/20,25
08/27/20,25
08/26/20,29
08/25/20,20
08/24/20,23
08/23/20,17
08/22/20,21
08/21/20,35
08/20/20,23
08/19/20,17
08/18/20,32
08/17/20,30
08/16/20,36
08/15/20,30
08/14/20,32
08/13/20,49
08/12/20,42
08/11/20,44
08/10/20,47
08/09/20,33
08/08/20,37
08/07/20,52
08/06/20,54
08/05/20,53
08/04/20,57
08/03/20,35
08/02/20,60
08/01/20,62
07/31/20,50
07/30/20,66
07/29/20,56
07/28/20,76
07/27/20,71
07/26/20,56
07/25/20,66
07/24/20,69
07/23/20,80
07/22/20,76
07/21/20,71
07/20/20,77
07/19/20,80
07/18/20,76
07/17/20,104
07/16/20,99
07/15/20,97
07/14/20,79
07/13/20,81
07/12/20,66
07/11/20,68
07/10/20,85
07/09/20,86
07/08/20,87
07/07/20,85
07/06/20,89
07/05/20,71
07/04/20,77
07/03/20,68
07/02/20,67
07/01/20,63
06/30/20,65
06/29/20,55
06/28/20,49
06/27/20,53
06/26/20,42
06/25/20,56
06/24/20,36
06/23/20,45
06/22/20,21
06/21/20,36
06/20/20,33
06/19/20,43
06/18/20,26
06/17/20,28
06/16/20,33
06/15/20,34
06/14/20,35
06/13/20,34
06/12/20,34
06/11/20,26
06/10/20,22
06/09/20,26
06/08/20,23
06/07/20,29
06/06/20,27
06/05/20,21
06/04/20,15
06/03/20,28
06/02/20,23
06/01/20,11
05/31/20,25
05/30/20,17
05/29/20,17
05/28/20,31
05/27/20,20
05/26/20,22
05/25/20,18
05/24/20,15
05/23/20,22
05/22/20,18
05/21/20,15
05/20/20,12
05/19/20,18
05/18/20,14
05/17/20,20
05/16/20,23
05/15/20,20
05/14/20,21
05/13/20,24
05/12/20,14
05/11/20,15
05/10/20,19
05/09/20,10
05/08/20,24
05/07/20,26
05/06/20,20
05/05/20,22
05/04/20,18
05/03/20,25
05/02/20,13
05/01/20,17
04/30/20,28
04/29/20,18
04/28/20,14
04/27/20,21
04/26/20,14
04/25/20,14
04/24/20,12
04/23/20,23
04/22/20,14
04/21/20,13
04/20/20,24
04/19/20,21
04/18/20,15
04/17/20,15
04/16/20,16
04/15/20,14
04/14/20,18
04/13/20,14
04/12/20,18
04/11/20,21
04/10/20,15
04/09/20,13
04/08/20,10
04/07/20,15
04/06/20,12
04/05/20,11
04/04/20,8
04/03/20,11
04/02/20,6
04/01/20,10
03/31/20,13
03/30/20,7
03/29/20,6
03/28/20,6
03/27/20,7
03/26/20,7
03/25/20,4
03/24/20,2
03/23/20,5
03/22/20,1
03/21/20,1
03/20/20,2
03/19/20,2
03/17/20,1
