date,Yuma_cume,Yuma
2020-12-01 00:00:00,1,
2020-12-03 00:00:00,2,1
2020-12-04 00:00:00,3,1
2020-12-10 00:00:00,4,1
2020-12-12 00:00:00,6,2
2020-12-16 00:00:00,12,6
2020-12-17 00:00:00,37,25
2020-12-19 00:00:00,38,1
2020-12-20 00:00:00,40,2
2020-12-21 00:00:00,216,176
2020-12-22 00:00:00,913,697
2020-12-23 00:00:00,1668,755
2020-12-24 00:00:00,1906,238
2020-12-26 00:00:00,2010,104
2020-12-27 00:00:00,2011,1
2020-12-28 00:00:00,2439,428
2020-12-29 00:00:00,2798,359
2020-12-30 00:00:00,3230,432
2020-12-31 00:00:00,3323,93
2021-01-01 00:00:00,3338,15
2021-01-02 00:00:00,3339,1
2021-01-03 00:00:00,3340,1
2021-01-04 00:00:00,3556,216
2021-01-05 00:00:00,3885,329
2021-01-06 00:00:00,4362,477
2021-01-07 00:00:00,4590,228
2021-01-08 00:00:00,4909,319
2021-01-09 00:00:00,4922,13
2021-01-10 00:00:00,4936,14
2021-01-11 00:00:00,5613,677
2021-01-12 00:00:00,6290,677
2021-01-13 00:00:00,7035,745
2021-01-14 00:00:00,7219,184
2021-01-15 00:00:00,7408,189
2021-01-16 00:00:00,7409,1
2021-01-17 00:00:00,7410,1
2021-01-18 00:00:00,7447,37
2021-01-19 00:00:00,7835,388
2021-01-20 00:00:00,8403,568
2021-01-21 00:00:00,10182,1779
2021-01-22 00:00:00,11759,1577
2021-01-23 00:00:00,11901,142
2021-01-24 00:00:00,11914,13
2021-01-25 00:00:00,12342,428
2021-01-26 00:00:00,13193,851
2021-01-27 00:00:00,14591,1398
2021-01-28 00:00:00,16656,2065
2021-01-29 00:00:00,18722,2066
2021-01-30 00:00:00,19925,1203
2021-01-31 00:00:00,19938,13
2021-02-01 00:00:00,20794,856
2021-02-02 00:00:00,21860,1066
2021-02-03 00:00:00,23361,1501
2021-02-04 00:00:00,24366,1005
2021-02-05 00:00:00,25068,702
2021-02-06 00:00:00,25107,39
2021-02-07 00:00:00,25129,22
2021-02-08 00:00:00,25408,279
2021-02-09 00:00:00,26245,837
2021-02-10 00:00:00,28595,2350
2021-02-11 00:00:00,31064,2469
2021-02-12 00:00:00,32944,1880
2021-02-13 00:00:00,33810,866
2021-02-14 00:00:00,33813,3
2021-02-15 00:00:00,33921,108
2021-02-16 00:00:00,34176,255
2021-02-17 00:00:00,34494,318
2021-02-18 00:00:00,35111,617
2021-02-19 00:00:00,35958,847
2021-02-20 00:00:00,36330,372
2021-02-21 00:00:00,36337,7
2021-02-22 00:00:00,36371,34
2021-02-23 00:00:00,37571,1200
2021-02-24 00:00:00,40199,2628
2021-02-25 00:00:00,43345,3146
2021-02-26 00:00:00,46075,2730
2021-02-27 00:00:00,46915,840
2021-02-28 00:00:00,47261,346
2021-03-01 00:00:00,49130,1869
2021-03-02 00:00:00,50488,1358
2021-03-03 00:00:00,51752,1264
2021-03-04 00:00:00,54623,2871
2021-03-05 00:00:00,58245,3622
2021-03-06 00:00:00,58472,227
2021-03-07 00:00:00,58647,175
2021-03-08 00:00:00,59667,1020
2021-03-09 00:00:00,61838,2171
2021-03-10 00:00:00,63794,1956
2021-03-11 00:00:00,67207,3413
2021-03-12 00:00:00,70394,3187
2021-03-13 00:00:00,72021,1627
2021-03-14 00:00:00,72201,180
2021-03-15 00:00:00,73043,842
2021-03-16 00:00:00,74503,1460
2021-03-17 00:00:00,76597,2094
2021-03-18 00:00:00,80539,3942
2021-03-19 00:00:00,83699,3160
2021-03-20 00:00:00,84929,1230
2021-03-21 00:00:00,85135,206
2021-03-22 00:00:00,85675,540
2021-03-23 00:00:00,87181,1506
2021-03-24 00:00:00,89531,2350
2021-03-25 00:00:00,91853,2322
2021-03-26 00:00:00,94093,2240
2021-03-27 00:00:00,94695,602
2021-03-28 00:00:00,94944,249
2021-03-29 00:00:00,95529,585
2021-03-30 00:00:00,98350,2821
2021-03-31 00:00:00,101360,3010
2021-04-01 00:00:00,104257,2897
2021-04-02 00:00:00,106160,1903
2021-04-03 00:00:00,106920,760
2021-04-04 00:00:00,107612,692
2021-04-05 00:00:00,109035,1423
2021-04-06 00:00:00,111253,2218
2021-04-07 00:00:00,113693,2440
2021-04-08 00:00:00,116558,2865
2021-04-09 00:00:00,118593,2035
2021-04-10 00:00:00,119137,544
2021-04-11 00:00:00,119352,215
2021-04-12 00:00:00,119996,644
2021-04-13 00:00:00,121033,1037
2021-04-14 00:00:00,123683,2650
2021-04-15 00:00:00,126707,3024
2021-04-16 00:00:00,129815,3108
2021-04-17 00:00:00,130568,753
2021-04-18 00:00:00,131140,572
2021-04-19 00:00:00,132711,1571
2021-04-20 00:00:00,134646,1935
2021-04-21 00:00:00,136150,1504
2021-04-22 00:00:00,137505,1355
2021-04-23 00:00:00,139411,1906
2021-04-24 00:00:00,139731,320
2021-04-25 00:00:00,139920,189
2021-04-26 00:00:00,140422,502
2021-04-27 00:00:00,143540,3118
2021-04-28 00:00:00,145418,1878
2021-04-29 00:00:00,147202,1784
2021-04-30 00:00:00,148685,1483
2021-05-01 00:00:00,148860,175
2021-05-02 00:00:00,149039,179
2021-05-03 00:00:00,149904,865
2021-05-04 00:00:00,151466,1562
2021-05-05 00:00:00,152629,1163
2021-05-06 00:00:00,154132,1503
2021-05-07 00:00:00,155289,1157
2021-05-08 00:00:00,155505,216
2021-05-09 00:00:00,155631,126
2021-05-10 00:00:00,156138,507
2021-05-11 00:00:00,156811,673
2021-05-12 00:00:00,158192,1381
2021-05-13 00:00:00,159313,1121
2021-05-14 00:00:00,160461,1148
2021-05-15 00:00:00,161160,699
2021-05-16 00:00:00,161325,165
2021-05-17 00:00:00,162258,933
2021-05-18 00:00:00,163097,839
2021-05-19 00:00:00,163719,622
2021-05-20 00:00:00,164344,625
2021-05-21 00:00:00,165004,660
2021-05-22 00:00:00,165255,251
2021-05-23 00:00:00,165429,174
2021-05-24 00:00:00,165913,484
2021-05-25 00:00:00,166765,852
2021-05-26 00:00:00,167430,665
2021-05-27 00:00:00,168342,912
2021-05-28 00:00:00,169174,832
2021-05-29 00:00:00,169406,232
2021-05-30 00:00:00,169559,153
2021-05-31 00:00:00,169686,127
2021-06-01 00:00:00,170418,732
2021-06-02 00:00:00,171159,741
2021-06-03 00:00:00,171814,655
2021-06-04 00:00:00,172478,664
2021-06-05 00:00:00,173002,524
2021-06-06 00:00:00,173136,134
2021-06-07 00:00:00,173713,577
2021-06-08 00:00:00,174394,681
2021-06-09 00:00:00,175178,784
2021-06-10 00:00:00,175931,753
2021-06-11 00:00:00,176664,733
2021-06-12 00:00:00,176802,138
2021-06-13 00:00:00,176857,55
2021-06-14 00:00:00,177438,581
2021-06-15 00:00:00,178098,660
2021-06-16 00:00:00,178576,478
2021-06-17 00:00:00,179089,513
2021-06-18 00:00:00,179496,407
2021-06-19 00:00:00,179565,69
