date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,647,991,932,751,510,5
1/10/2021,1195,1726,1719,1465,2259,15
1/11/2021,1245,1810,1805,1529,2437,19
1/12/2021,1336,1927,1924,1629,2718,20
1/13/2021,1447,2069,2072,1805,3124,23
1/14/2021,1547,2257,2228,1953,3646,24
1/15/2021,1670,2413,2404,2090,4019,26
1/16/2021,1731,2504,2502,2181,4636,29
1/17/2021,1750,2536,2545,2216,4690,29
1/18/2021,1815,2651,2613,2308,4908,30
1/19/2021,1887,2729,2696,2392,5412,33
1/2/2021,730,1110,1057,858,588,6
1/20/2021,1963,2858,2804,2515,6180,38
1/21/2021,2059,2992,2974,2684,6927,42
1/22/2021,2209,3161,3160,2870,7681,45
1/23/2021,2295,3326,3323,3025,8273,48
1/24/2021,2332,3360,3383,3055,8434,50
1/25/2021,2413,3428,3475,3178,9029,53
1/26/2021,2489,3514,3567,3294,9599,54
1/27/2021,2603,3639,3730,3481,10322,56
1/28/2021,2679,3757,3849,3633,11332,57
1/29/2021,2791,3882,3985,3824,12329,66
1/3/2021,759,1155,1102,881,610,6
1/30/2021,2862,3974,4120,3981,13110,69
1/31/2021,2898,3997,4152,4012,13261,71
1/4/2021,825,1254,1194,968,838,7
1/5/2021,921,1364,1281,1064,1069,8
1/6/2021,1035,1491,1412,1186,1333,10
1/7/2021,1097,1583,1524,1286,1669,12
1/8/2021,1151,1667,1659,1418,2102,14
1/9/2021,1184,1711,1704,1454,2238,15
12/1/2020,,,1,,1,
12/10/2020,,,1,,2,
12/11/2020,,,1,,2,
12/12/2020,,,1,,2,
12/13/2020,,,1,,2,
12/14/2020,,,1,,2,
12/15/2020,,,1,,2,
12/16/2020,1,1,4,,2,
12/17/2020,9,13,15,4,4,
12/18/2020,19,22,23,9,5,
12/19/2020,23,31,29,14,8,
12/2/2020,,,1,,1,
12/20/2020,23,36,30,18,9,
12/21/2020,49,83,74,35,21,1
12/22/2020,108,155,130,81,36,1
12/23/2020,168,247,236,157,69,2
12/24/2020,185,266,253,171,71,2
12/25/2020,185,266,253,171,71,2
12/26/2020,242,363,330,228,94,3
12/27/2020,258,392,346,239,96,3
12/28/2020,321,506,476,335,132,3
12/29/2020,429,673,636,474,184,4
12/3/2020,,,1,,1,
12/30/2020,565,894,825,653,310,4
12/31/2020,644,987,928,746,483,5
12/4/2020,,,1,,1,
12/5/2020,,,1,,1,
12/6/2020,,,1,,1,
12/7/2020,,,1,,1,
12/8/2020,,,1,,1,
12/9/2020,,,1,,2,
2/1/2021,2977,4101,4245,4117,14091,77
2/10/2021,3698,4898,5156,5400,24376,110
2/11/2021,3768,4964,5238,5541,26123,113
2/12/2021,3871,5075,5375,5733,28146,119
2/13/2021,4070,5315,5640,5965,29619,131
2/14/2021,4099,5356,5689,6022,29966,132
2/15/2021,4148,5399,5738,6108,30750,137
2/16/2021,4224,5467,5786,6185,31759,146
2/17/2021,4306,5522,5843,6279,32797,152
2/18/2021,4378,5581,5901,6340,33924,165
2/19/2021,4448,5651,5969,6413,34555,174
2/2/2021,3050,4194,4364,4275,15012,77
2/20/2021,4588,5743,6056,6487,35054,194
2/21/2021,4600,5756,6068,6509,35331,195
2/22/2021,4633,5796,6094,6565,35747,199
2/23/2021,4672,5836,6144,6630,36344,201
2/24/2021,4727,5902,6201,6702,37351,206
2/25/2021,4813,5995,6295,6893,38987,214
2/26/2021,4899,6083,6391,7066,40784,220
2/27/2021,4948,6116,6437,7146,41322,222
2/28/2021,4960,6129,6461,7198,41683,222
2/3/2021,3164,4341,4493,4417,16042,80
2/4/2021,3240,4441,4605,4542,17075,84
2/5/2021,3396,4596,4781,4733,18136,88
2/6/2021,3455,4674,4872,4892,19508,96
2/7/2021,3474,4679,4887,4921,19869,96
2/8/2021,3529,4731,4961,5053,21175,97
2/9/2021,3582,4800,5046,5235,22623,102
3/1/2021,5012,6189,6547,7402,42792,226
3/10/2021,5665,6850,7429,11990,51465,287
3/11/2021,5835,7087,7629,13012,52660,294
3/12/2021,5982,7175,7809,13735,53496,304
3/13/2021,6068,7263,7897,14180,53877,310
3/14/2021,6110,7299,7965,14549,54085,314
3/15/2021,6213,7377,8123,15332,54647,326
3/16/2021,6339,7518,8336,16190,55504,335
3/17/2021,6565,7702,8614,17106,56396,350
3/18/2021,6758,7889,8889,17984,57395,361
3/19/2021,7024,8159,9228,18750,58108,395
3/2/2021,5067,6247,6648,7614,44078,233
3/20/2021,7148,8292,9457,19094,58493,411
3/21/2021,7255,8431,9633,19394,58745,425
3/22/2021,7527,8735,9980,19953,59279,473
