Category,Apache
Total_doses_administered,34924
Total_people_one_dose,19481
Total_people_complete,13099
Total_doses_ordered,18500
total_pouluation,71808
Male-65 years and older,2004
Male-55-64 years,1357
Male-45-54 years,1080
Male-20-44 years,2649
Male-Less than 20 years,2592
Female-65 years and older,2124
Female-55-64 years,1485
Female-45-54 years,1079
Female-20-44 years,2451
Female-Less than 20 years,2650
"Asian or Pacific Islander, non-Hispanic",174
"Black or African American, non-Hispanic",298
Unknown,1066
Other Race,1329
Hispanic or Latino,1972
"White, non-Hispanic",3405
"American Indian or Alaska Native, non-Hispanic",11237
