pcr_tests_PINAL,pcr_pos_tests_PINAL,pcr_positivity_PINAL,date,ser_tests_PINAL,ser_pos_tests_PINAL,ser_positivity_PINAL
,,,2021-01-28 00:00:00,100,59,0.59
,,,2021-01-27 00:00:00,3397,377,0.1109802767147483
,,,2021-01-27 00:00:00,78,27,0.3461538461538462
,,,2021-01-26 00:00:00,3405,394,0.115712187958884
,,,2021-01-26 00:00:00,83,50,0.602409638554217
,,,2021-01-25 00:00:00,3274,418,0.127672571777642
,,,2021-01-25 00:00:00,75,30,0.4
,,,2021-01-24 00:00:00,1238,228,0.1841680129240711
,,,2021-01-24 00:00:00,62,29,0.467741935483871
,,,2021-01-23 00:00:00,1738,353,0.2031070195627158
,,,2021-01-23 00:00:00,67,24,0.3582089552238806
,,,2021-01-22 00:00:00,3452,510,0.1477404403244496
,,,2021-01-22 00:00:00,106,44,0.4150943396226416
,,,2021-01-21 00:00:00,4621,599,0.1296256221597057
,,,2021-01-21 00:00:00,90,36,0.4
,,,2021-01-20 00:00:00,5714,978,0.1711585579278964
,,,2021-01-20 00:00:00,74,25,0.3378378378378379
,,,2021-01-19 00:00:00,3990,692,0.1734335839598998
,,,2021-01-19 00:00:00,155,63,0.4064516129032258
,,,2021-01-18 00:00:00,3446,564,0.1636680208937899
,,,2021-01-18 00:00:00,68,21,0.3088235294117647
,,,2021-01-17 00:00:00,1645,280,0.1702127659574468
,,,2021-01-17 00:00:00,27,11,0.4074074074074074
,,,2021-01-16 00:00:00,1962,405,0.2064220183486239
,,,2021-01-16 00:00:00,24,7,0.2916666666666667
,,,2021-01-15 00:00:00,3268,598,0.1829865361077112
,,,2021-01-15 00:00:00,102,34,0.3333333333333333
,,,2021-01-14 00:00:00,3464,536,0.1547344110854504
,,,2021-01-14 00:00:00,89,22,0.2471910112359551
,,,2021-01-13 00:00:00,3158,552,0.1747941735275491
,,,2021-01-13 00:00:00,71,24,0.3380281690140845
,,,2021-01-12 00:00:00,3500,621,0.1774285714285714
,,,2021-01-12 00:00:00,106,43,0.4056603773584906
,,,2021-01-11 00:00:00,4206,695,0.1652401331431289
,,,2021-01-11 00:00:00,73,33,0.452054794520548
,,,2021-01-10 00:00:00,1779,348,0.1956155143338955
,,,2021-01-10 00:00:00,10,3,0.3
,,,2021-01-09 00:00:00,2273,445,0.1957765068191817
,,,2021-01-09 00:00:00,28,13,0.4642857142857144
,,,2021-01-08 00:00:00,3829,686,0.1791590493601463
,,,2021-01-08 00:00:00,118,34,0.288135593220339
,,,2021-01-07 00:00:00,4281,756,0.176594253679047
,,,2021-01-07 00:00:00,87,33,0.3793103448275862
,,,2021-01-06 00:00:00,3418,744,0.2176711527208894
,,,2021-01-06 00:00:00,110,42,0.3818181818181819
,,,2021-01-05 00:00:00,3406,779,0.2287140340575455
,,,2021-01-05 00:00:00,101,38,0.3762376237623763
,,,2021-01-04 00:00:00,4304,920,0.2137546468401487
,,,2021-01-04 00:00:00,75,25,0.3333333333333333
,,,2021-01-03 00:00:00,1854,476,0.2567421790722762
,,,2021-01-03 00:00:00,34,11,0.3235294117647059
,,,2021-01-02 00:00:00,2194,576,0.2625341841385597
,,,2021-01-02 00:00:00,22,8,0.3636363636363637
,,,2021-01-01 00:00:00,1692,388,0.2293144208037825
,,,2021-01-01 00:00:00,13,1,0.0769230769230769
,,,2020-12-31 00:00:00,3194,613,0.1919223544145272
,,,2020-12-31 00:00:00,49,13,0.2653061224489796
,,,2020-12-30 00:00:00,3823,786,0.2055976981428198
,,,2020-12-30 00:00:00,77,17,0.2207792207792208
,,,2020-12-29 00:00:00,3632,844,0.2323788546255507
,,,2020-12-29 00:00:00,125,34,0.272
,,,2020-12-28 00:00:00,3896,850,0.2181724845995893
,,,2020-12-28 00:00:00,92,24,0.2608695652173913
,,,2020-12-27 00:00:00,1846,443,0.2399783315276273
,,,2020-12-27 00:00:00,10,2,0.2
,,,2020-12-26 00:00:00,1494,367,0.2456492637215529
,,,2020-12-26 00:00:00,29,7,0.2413793103448276
,,,2020-12-25 00:00:00,347,97,0.2795389048991355
,,,2020-12-25 00:00:00,5,1,0.2
,,,2020-12-24 00:00:00,1652,291,0.1761501210653753
,,,2020-12-24 00:00:00,40,11,0.275
,,,2020-12-23 00:00:00,2981,531,0.1781281449178128
,,,2020-12-23 00:00:00,77,22,0.2857142857142857
,,,2020-12-22 00:00:00,3836,635,0.1655370177267988
,,,2020-12-22 00:00:00,103,21,0.2038834951456311
,,,2020-12-21 00:00:00,4082,627,0.1536011758941695
,,,2020-12-21 00:00:00,90,32,0.3555555555555556
,,,2020-12-20 00:00:00,1586,263,0.1658259773013872
,,,2020-12-20 00:00:00,15,2,0.1333333333333333
,,,2020-12-19 00:00:00,2129,432,0.2029121653358384
,,,2020-12-19 00:00:00,16,5,0.3125
,,,2020-12-18 00:00:00,3323,641,0.1928979837496238
,,,2020-12-18 00:00:00,57,18,0.3157894736842105
,,,2020-12-17 00:00:00,3425,597,0.1743065693430657
,,,2020-12-17 00:00:00,104,32,0.3076923076923077
,,,2020-12-16 00:00:00,3775,541,0.1433112582781457
,,,2020-12-16 00:00:00,136,26,0.1911764705882353
,,,2020-12-15 00:00:00,2831,331,0.1169198163193218
,,,2020-12-15 00:00:00,54,17,0.3148148148148149
,,,2020-12-14 00:00:00,3584,513,0.1431361607142857
