date,Mohave_cume,Mohave
1/1/2021,54,
1/10/2021,287,233
1/11/2021,443,156
1/12/2021,623,180
1/13/2021,684,61
1/14/2021,1013,329
1/15/2021,1431,418
1/16/2021,1797,366
1/17/2021,2098,301
1/18/2021,2146,48
1/19/2021,2195,49
1/2/2021,2225,30
1/20/2021,2464,239
1/21/2021,2616,152
1/22/2021,2953,337
1/23/2021,3249,296
1/24/2021,3576,327
1/25/2021,3653,77
1/26/2021,3707,54
1/27/2021,3939,232
1/28/2021,4264,325
1/29/2021,4621,357
1/3/2021,5060,439
1/30/2021,5641,581
1/31/2021,5796,155
1/4/2021,5836,40
1/5/2021,6221,385
1/6/2021,6556,335
1/7/2021,7201,645
1/8/2021,7666,465
1/9/2021,8210,544
12/22/2020,9016,806
12/23/2020,9723,707
12/24/2020,10423,700
12/26/2020,11182,759
12/27/2020,12148,966
12/28/2020,13184,1036
12/29/2020,13885,701
12/30/2020,14568,683
12/31/2020,15139,571
2/1/2021,15824,685
2/10/2021,16466,642
2/11/2021,17856,1390
2/12/2021,18665,809
2/13/2021,19454,789
2/14/2021,19772,318
2/15/2021,19922,150
2/16/2021,20371,449
2/17/2021,20849,478
2/18/2021,21923,1074
2/19/2021,22604,681
2/2/2021,23730,1126
2/20/2021,24256,526
2/21/2021,24386,130
2/22/2021,25009,623
2/23/2021,25604,595
2/24/2021,26165,561
2/25/2021,26569,404
2/26/2021,27090,521
2/27/2021,27254,164
2/28/2021,27312,58
2/3/2021,27689,377
2/4/2021,27950,261
2/5/2021,28829,879
2/6/2021,30079,1250
2/7/2021,31256,1177
2/8/2021,32226,970
2/9/2021,33149,923
3/1/2021,34140,991
3/10/2021,35183,1043
3/11/2021,37798,2615
3/12/2021,39518,1720
3/13/2021,41215,1697
3/14/2021,42155,940
3/15/2021,42646,491
3/16/2021,43575,929
3/17/2021,44678,1103
3/18/2021,46837,2159
3/19/2021,48572,1735
3/2/2021,50272,1700
3/20/2021,51162,890
3/21/2021,51549,387
3/22/2021,52471,922
3/23/2021,53567,1096
3/24/2021,55482,1915
3/25/2021,56940,1458
3/26/2021,58240,1300
3/27/2021,59489,1249
3/28/2021,60100,611
3/29/2021,61536,1436
3/3/2021,62911,1375
3/30/2021,64579,1668
3/31/2021,66135,1556
3/4/2021,67834,1699
3/5/2021,68973,1139
3/6/2021,70164,1191
3/7/2021,71842,1678
3/8/2021,73496,1654
3/9/2021,76032,2536
4/1/2021,77925,1893
4/10/2021,79605,1680
4/11/2021,80413,808
4/12/2021,80726,313
4/13/2021,82111,1385
4/14/2021,83630,1519
4/15/2021,85399,1769
4/16/2021,87024,1625
4/17/2021,88797,1773
4/18/2021,89812,1015
4/19/2021,90318,506
4/2/2021,92753,2435
4/20/2021,94008,1255
4/21/2021,95956,1948
4/22/2021,97985,2029
4/23/2021,99391,1406
4/24/2021,100371,980
4/25/2021,100882,511
4/26/2021,102026,1144
4/27/2021,103322,1296
4/28/2021,104771,1449
4/29/2021,106112,1341
4/3/2021,107464,1352
4/30/2021,108335,871
4/4/2021,108689,354
4/5/2021,110031,1342
4/6/2021,111489,1458
4/7/2021,112845,1356
4/8/2021,114090,1245
4/9/2021,115382,1292
5/1/2021,115880,498
5/10/2021,116148,268
5/11/2021,117092,944
5/12/2021,118074,982
5/13/2021,119129,1055
5/14/2021,120005,876
5/15/2021,120959,954
5/16/2021,121530,571
5/17/2021,121691,161
5/18/2021,122353,662
5/19/2021,123000,647
5/2/2021,123586,586
5/20/2021,124780,1194
5/21/2021,125520,740
5/22/2021,125974,454
5/23/2021,126182,208
5/24/2021,128024,1842
5/25/2021,128703,679
5/26/2021,129367,664
5/27/2021,130053,686
5/28/2021,130779,726
5/29/2021,131154,375
5/3/2021,131277,123
5/30/2021,131775,498
5/31/2021,132274,499
5/4/2021,132657,383
5/5/2021,133069,412
5/6/2021,133644,575
5/7/2021,133798,154
