date,Cochise_cume,Cochise
1/1/2021,1,
1/10/2021,2,1
1/11/2021,61,59
1/12/2021,200,139
1/13/2021,274,74
1/14/2021,310,36
1/15/2021,649,339
1/16/2021,1102,453
1/17/2021,1549,447
1/18/2021,1677,128
1/19/2021,1678,1
1/2/2021,1700,22
1/20/2021,1806,106
1/21/2021,1884,78
1/22/2021,2101,217
1/23/2021,2317,216
1/24/2021,2329,12
1/25/2021,2330,1
1/26/2021,2333,3
1/27/2021,2390,57
1/28/2021,2477,87
1/29/2021,2585,108
1/3/2021,2653,68
1/30/2021,2817,164
1/31/2021,3193,376
1/4/2021,3197,4
1/5/2021,3564,367
1/6/2021,3819,255
1/7/2021,4256,437
1/8/2021,4602,346
1/9/2021,5076,474
12/15/2020,5476,400
12/16/2020,5492,16
12/17/2020,5738,246
12/18/2020,6175,437
12/19/2020,6886,711
12/20/2020,7544,658
12/21/2020,7880,336
12/22/2020,8448,568
12/23/2020,8560,112
12/24/2020,9004,444
12/25/2020,9485,481
12/26/2020,10269,784
12/28/2020,11290,1021
12/29/2020,11981,691
12/30/2020,12002,21
12/31/2020,12016,14
2/1/2021,12308,292
2/10/2021,12528,220
2/11/2021,13089,561
2/12/2021,13504,415
2/13/2021,13981,477
2/14/2021,14147,166
2/15/2021,14158,11
2/16/2021,14691,533
2/17/2021,15524,833
2/18/2021,16908,1384
2/19/2021,18954,2046
2/2/2021,20355,1401
2/20/2021,20699,344
2/21/2021,20711,12
2/22/2021,21124,413
2/23/2021,21812,688
2/24/2021,22340,528
2/25/2021,23048,708
2/26/2021,23424,376
2/27/2021,23776,352
2/28/2021,23895,119
2/3/2021,24165,270
2/4/2021,24402,237
2/5/2021,25320,918
2/6/2021,27414,2094
2/7/2021,28884,1470
2/8/2021,29775,891
2/9/2021,29805,30
3/1/2021,30362,557
3/10/2021,30888,526
3/11/2021,32091,1203
3/12/2021,33737,1646
3/13/2021,34807,1070
3/14/2021,35828,1021
3/15/2021,35879,51
3/16/2021,36437,558
3/17/2021,37401,964
3/18/2021,39009,1608
3/19/2021,41136,2127
3/2/2021,42702,1566
3/20/2021,43527,825
3/21/2021,43557,30
3/22/2021,44502,945
3/23/2021,45432,930
3/24/2021,46410,978
3/25/2021,47795,1385
3/26/2021,48823,1028
3/27/2021,49736,913
3/28/2021,49770,34
3/29/2021,50337,567
3/3/2021,50707,370
3/30/2021,51710,1003
3/31/2021,54117,2407
3/4/2021,55624,1507
3/5/2021,56659,1035
3/6/2021,56681,22
3/7/2021,57241,560
3/8/2021,57915,674
3/9/2021,59371,1456
4/1/2021,61648,2277
4/10/2021,63017,1369
4/11/2021,64335,1318
4/12/2021,64382,47
4/13/2021,65083,701
4/14/2021,66010,927
4/15/2021,67661,1651
4/16/2021,69333,1672
4/17/2021,70465,1132
4/18/2021,71249,784
4/19/2021,71337,88
4/2/2021,72050,713
4/20/2021,72603,553
4/21/2021,73731,1128
4/22/2021,75891,2160
4/23/2021,77047,1156
4/24/2021,78377,1330
4/25/2021,78417,40
4/26/2021,79066,649
4/27/2021,79591,525
4/28/2021,80590,999
4/29/2021,82083,1493
4/3/2021,83104,1021
4/30/2021,83935,831
4/4/2021,83965,30
4/5/2021,84469,504
4/6/2021,84980,511
4/7/2021,85994,1014
4/8/2021,87019,1025
4/9/2021,87705,686
5/1/2021,88181,476
5/10/2021,88204,23
5/11/2021,88505,301
5/12/2021,88983,478
5/13/2021,89928,945
5/14/2021,90967,1039
5/15/2021,91692,725
5/16/2021,92156,464
5/17/2021,92185,29
5/18/2021,92526,341
5/19/2021,92841,315
5/2/2021,93614,773
5/20/2021,94886,1272
5/21/2021,95417,531
5/22/2021,95732,315
5/23/2021,95788,56
5/24/2021,96233,445
5/25/2021,96705,472
5/26/2021,97514,809
5/27/2021,98291,777
5/28/2021,99009,718
5/29/2021,99351,342
5/3/2021,99411,60
5/30/2021,99826,415
5/31/2021,100122,296
5/4/2021,100564,442
5/5/2021,101222,658
5/6/2021,101797,575
5/7/2021,101891,94
5/8/2021,101952,61
5/9/2021,102017,65
6/1/2021,102345,328
6/10/2021,102774,429
6/11/2021,103375,601
6/12/2021,103876,501
6/13/2021,104016,140
6/14/2021,104060,44
