Category,value
tests,530270
Yuma,10598
Yavapai,13682
Santa Cruz,2052
Pinal,33912
Pima,53416
Navajo,4438
Mohave,11641
Maricopa,368333
La Paz,1589
Greenlee,205
Graham,1121
Gila,5875
Coconino,6658
Cochise,5912
Apache,1225
Unknown,453
65 years and older,124209
55 - 64 years,100101
45 - 54 years,93530
20 - 44 years,185298
Less than 20 years,26679
positive,0.1909574367774907
