date,Gila_cume,Gila
1/1/2021,182,
1/11/2021,299,117
1/12/2021,300,1
1/13/2021,390,90
1/14/2021,457,67
1/15/2021,587,130
1/16/2021,728,141
1/17/2021,753,25
1/18/2021,759,6
1/19/2021,1072,313
1/2/2021,1314,242
1/20/2021,1566,252
1/21/2021,1800,234
1/22/2021,1803,3
1/23/2021,2005,202
1/24/2021,2006,1
1/25/2021,2237,231
1/26/2021,2574,337
1/27/2021,2843,269
1/28/2021,3458,615
1/29/2021,3982,524
1/3/2021,4012,30
1/30/2021,4281,269
1/31/2021,4464,183
1/4/2021,4669,205
1/5/2021,5040,371
1/6/2021,5664,624
1/7/2021,5668,4
1/8/2021,5669,1
1/9/2021,5782,113
12/17/2020,6184,402
12/18/2020,6622,438
12/20/2020,7140,518
12/21/2020,7313,173
12/22/2020,7467,154
12/23/2020,7468,1
12/24/2020,7758,290
12/26/2020,7949,191
12/27/2020,8406,457
12/28/2020,9090,684
12/29/2020,9591,501
12/30/2020,9958,367
12/31/2020,9969,11
2/1/2021,10412,443
2/10/2021,11090,678
2/11/2021,11784,694
2/12/2021,12760,976
2/13/2021,13614,854
2/14/2021,14174,560
2/15/2021,14186,12
2/16/2021,14591,405
2/17/2021,15175,584
2/18/2021,15624,449
2/19/2021,16018,394
2/2/2021,16708,690
2/20/2021,17787,1079
2/22/2021,18359,572
2/23/2021,18505,146
2/24/2021,18971,466
2/25/2021,19382,411
2/26/2021,19920,538
2/27/2021,20336,416
2/28/2021,20692,356
2/3/2021,20842,150
2/4/2021,21166,324
2/5/2021,21442,276
2/6/2021,21962,520
2/7/2021,22415,453
2/8/2021,24235,1820
2/9/2021,25133,898
3/1/2021,25427,294
3/10/2021,25816,389
3/11/2021,26203,387
3/12/2021,26937,734
3/13/2021,27252,315
3/14/2021,27787,535
3/15/2021,27812,25
3/16/2021,28083,271
3/17/2021,28658,575
3/18/2021,29081,423
3/19/2021,30499,1418
3/2/2021,31001,502
3/20/2021,32406,1405
3/22/2021,32931,525
3/23/2021,33113,182
3/24/2021,33567,454
3/25/2021,33779,212
3/26/2021,34158,379
3/27/2021,34460,302
3/28/2021,34797,337
3/29/2021,34990,193
3/3/2021,35234,244
3/30/2021,35399,165
3/31/2021,35741,342
3/4/2021,35946,205
3/5/2021,37742,1796
3/6/2021,38556,814
3/7/2021,38839,283
3/8/2021,38998,159
3/9/2021,39144,146
4/1/2021,39855,711
4/10/2021,40113,258
4/11/2021,40160,47
4/12/2021,40170,10
4/13/2021,40381,211
4/14/2021,40898,517
4/15/2021,41090,192
4/16/2021,41584,494
4/17/2021,41877,293
4/18/2021,42451,574
4/19/2021,42467,16
4/2/2021,42624,157
4/20/2021,42752,128
4/21/2021,42808,56
4/22/2021,43061,253
4/23/2021,43220,159
4/24/2021,43605,385
4/25/2021,43606,1
4/26/2021,43739,133
4/27/2021,43866,127
4/28/2021,43941,75
4/29/2021,44212,271
4/3/2021,44340,128
4/30/2021,44380,40
4/4/2021,44389,9
4/5/2021,44528,139
4/6/2021,44652,124
4/7/2021,44810,158
4/8/2021,44957,147
4/9/2021,45029,72
5/1/2021,45051,22
5/10/2021,45058,7
5/11/2021,45180,122
5/12/2021,45330,150
5/13/2021,45422,92
5/14/2021,45508,86
5/15/2021,45561,53
5/16/2021,45569,8
5/17/2021,45575,6
5/18/2021,45659,84
5/19/2021,45731,72
5/2/2021,45802,71
5/20/2021,45910,108
5/21/2021,46067,157
5/22/2021,46094,27
5/23/2021,46104,10
5/24/2021,46231,127
5/25/2021,46484,253
5/26/2021,46683,199
5/27/2021,46845,162
5/28/2021,46906,61
5/29/2021,46941,35
5/3/2021,46954,13
5/30/2021,47055,101
5/31/2021,47141,86
5/4/2021,47227,86
5/5/2021,47278,51
5/6/2021,47370,92
5/7/2021,47378,8
5/8/2021,47385,7
5/9/2021,47396,11
6/1/2021,47462,66
6/10/2021,47521,59
6/11/2021,47576,55
6/12/2021,47640,64
6/13/2021,47656,16
6/14/2021,47672,16
6/15/2021,47766,94
6/16/2021,47820,54
6/17/2021,47896,76
6/18/2021,47937,41
6/19/2021,47988,51
6/2/2021,48005,17
6/20/2021,48013,8
6/21/2021,48091,78
6/22/2021,48155,64
6/23/2021,48215,60
6/24/2021,48287,72
6/25/2021,48337,50
6/26/2021,48364,27
6/27/2021,48380,16
6/28/2021,48439,59
6/29/2021,48556,117
6/3/2021,48612,56
6/30/2021,48651,39
6/4/2021,48710,59
6/5/2021,48726,16
6/6/2021,48731,5
6/7/2021,48760,29
6/8/2021,48821,61
6/9/2021,48913,92
7/1/2021,48968,55
7/10/2021,49003,35
7/11/2021,49021,18
7/12/2021,49050,29
7/13/2021,49124,74
7/14/2021,49162,38
7/15/2021,49213,51
7/16/2021,49276,63
7/17/2021,49296,20
7/18/2021,49308,12
7/19/2021,49362,54
7/2/2021,49420,58
7/20/2021,49485,65
7/21/2021,49550,65
7/22/2021,49617,67
7/23/2021,49632,15
7/24/2021,49640,8
7/25/2021,49700,60
7/26/2021,49773,73
7/27/2021,49868,95
7/28/2021,49939,71
7/29/2021,50013,74
7/3/2021,50036,23
7/30/2021,50045,9
7/31/2021,50145,100
7/5/2021,50267,122
7/6/2021,50352,85
7/7/2021,50453,101
7/8/2021,50567,114
7/9/2021,50594,27
8/1/2021,50600,6
8/10/2021,50680,80
8/11/2021,50761,81
8/12/2021,50861,100
8/13/2021,50933,72
8/14/2021,51061,128
8/15/2021,51089,28
8/16/2021,51098,9
8/17/2021,51193,95
8/18/2021,51288,95
8/19/2021,51381,93
8/2/2021,51515,134
8/20/2021,51694,179
8/21/2021,51735,41
8/22/2021,51753,18
8/23/2021,51841,88
8/3/2021,51972,131
8/4/2021,52079,107
8/5/2021,52187,108
8/6/2021,52342,155
8/7/2021,52600,258
8/8/2021,52614,14
8/9/2021,52625,11
