date,pcr_tests_SANTA_CRUZ,pcr_pos_tests_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,ser_tests_SANTA_CRUZ,ser_pos_tests_SANTA_CRUZ,ser_positivity_SANTA_CRUZ
2021-06-03 00:00:00,55,0,0,,,
2021-06-02 00:00:00,61,3,0.0491803278688525,1.0,1.0,1
2021-06-01 00:00:00,57,3,0.0526315789473684,2.0,1.0,0.5
2021-05-31 00:00:00,24,0,0,,,
2021-05-30 00:00:00,29,0,0,,,
2021-05-29 00:00:00,21,0,0,,,
2021-05-28 00:00:00,61,0,0,1.0,1.0,1
2021-05-27 00:00:00,47,1,0.0212765957446809,,,
2021-05-26 00:00:00,63,1,0.0158730158730159,3.0,2.0,0.6666666666666666
2021-05-25 00:00:00,58,1,0.0172413793103448,1.0,1.0,1
2021-05-24 00:00:00,62,1,0.0161290322580645,5.0,1.0,0.2
2021-05-23 00:00:00,16,0,0,,,
2021-05-22 00:00:00,23,1,0.0434782608695652,,,
2021-05-21 00:00:00,68,3,0.0441176470588235,1.0,0.0,0
2021-05-20 00:00:00,45,2,0.0444444444444444,1.0,1.0,1
2021-05-19 00:00:00,71,1,0.0140845070422535,3.0,2.0,0.6666666666666666
2021-05-18 00:00:00,71,2,0.028169014084507,,,
2021-05-17 00:00:00,55,4,0.0727272727272727,2.0,0.0,0
2021-05-16 00:00:00,10,0,0,,,
2021-05-15 00:00:00,12,0,0,,,
2021-05-14 00:00:00,38,0,0,1.0,1.0,1
2021-05-13 00:00:00,71,5,0.0704225352112676,,,
2021-05-12 00:00:00,54,1,0.0185185185185185,1.0,0.0,0
2021-05-11 00:00:00,52,0,0,1.0,1.0,1
2021-05-10 00:00:00,68,6,0.0882352941176471,,,
2021-05-09 00:00:00,27,0,0,5.0,1.0,0.2
2021-05-08 00:00:00,14,0,0,,,
2021-05-07 00:00:00,58,0,0,,,
2021-05-06 00:00:00,91,6,0.0659340659340659,2.0,0.0,0
2021-05-05 00:00:00,53,2,0.0377358490566038,1.0,1.0,1
2021-05-04 00:00:00,69,0,0,1.0,1.0,1
2021-05-03 00:00:00,46,0,0,2.0,2.0,1
2021-05-02 00:00:00,18,1,0.0555555555555556,,,
2021-05-01 00:00:00,38,0,0,,,
2021-04-30 00:00:00,42,0,0,,,
2021-04-29 00:00:00,64,2,0.03125,4.0,3.0,0.75
2021-04-28 00:00:00,171,0,0,2.0,1.0,0.5
2021-04-27 00:00:00,50,2,0.04,,,
2021-04-26 00:00:00,79,1,0.0126582278481013,3.0,0.0,0
2021-04-25 00:00:00,22,1,0.0454545454545455,,,
2021-04-24 00:00:00,22,1,0.0454545454545455,,,
2021-04-23 00:00:00,79,5,0.0632911392405063,3.0,1.0,0.3333333333333333
2021-04-22 00:00:00,64,0,0,1.0,0.0,0
2021-04-21 00:00:00,96,3,0.03125,1.0,1.0,1
2021-04-20 00:00:00,78,6,0.0769230769230769,1.0,0.0,0
2021-04-19 00:00:00,94,3,0.0319148936170213,,,
2021-04-18 00:00:00,27,0,0,,,
2021-04-17 00:00:00,27,0,0,,,
2021-04-16 00:00:00,64,3,0.046875,3.0,2.0,0.6666666666666666
2021-04-15 00:00:00,99,0,0,12.0,9.0,0.75
2021-04-14 00:00:00,242,3,0.012396694214876,22.0,16.0,0.7272727272727274
2021-04-13 00:00:00,103,0,0,22.0,14.0,0.6363636363636364
2021-04-12 00:00:00,88,8,0.0909090909090909,18.0,10.0,0.5555555555555556
2021-04-11 00:00:00,31,2,0.0645161290322581,,,
2021-04-10 00:00:00,37,3,0.0810810810810811,,,
2021-04-09 00:00:00,64,3,0.046875,3.0,3.0,1
2021-04-08 00:00:00,103,6,0.058252427184466,49.0,28.0,0.5714285714285714
2021-04-07 00:00:00,146,5,0.0342465753424658,31.0,15.0,0.4838709677419356
2021-04-06 00:00:00,88,7,0.0795454545454546,,,
2021-04-05 00:00:00,98,3,0.0306122448979592,4.0,2.0,0.5
2021-04-04 00:00:00,10,1,0.1,,,
2021-04-03 00:00:00,34,3,0.0882352941176471,,,
2021-04-02 00:00:00,106,3,0.0283018867924528,,,
2021-04-01 00:00:00,90,7,0.0777777777777778,2.0,2.0,1
2021-03-31 00:00:00,275,8,0.0290909090909091,2.0,1.0,0.5
2021-03-30 00:00:00,122,7,0.0573770491803279,3.0,1.0,0.3333333333333333
2021-03-29 00:00:00,115,5,0.0434782608695652,1.0,1.0,1
2021-03-28 00:00:00,37,8,0.2162162162162162,,,
2021-03-27 00:00:00,25,2,0.08,,,
2021-03-26 00:00:00,84,4,0.0476190476190476,,,
