Category,value
tests,9614180
YUMA,244879
YAVAPAI,203566
SANTA CRUZ,59328
PINAL,589651
PIMA,1641105
NAVAJO,111045
MOHAVE,194371
MARICOPA,5714325
LA PAZ,17188
GREENLEE,2884
GRAHAM,22298
GILA,62789
COCONINO,245595
COCHISE,108134
APACHE,52263
Unknown,18025
65 years and older,1473953
55 - 64 years,1221353
45 - 54 years,1294191
20 - 44 years,4157367
Less than 20 years,1449291
positive,0.100823263138406
