Category,value
Apache,498
Cochise,366
Coconino,375
Gila,269
Graham,122
Greenlee,17
La Paz,102
Maricopa,"12,498"
Mohave,"1,012"
Navajo,653
Pima,"2,829"
Pinal,"1,140"
Santa Cruz,195
Yavapai,754
Yuma,922
Female,8984
Male,12755
20-44y,1158
45-54y,1652
55-64y,3379
65+,15514
<20y,49
"White, non-Hispanic",11109
Hispanic or Latino,6063
"American Indian or Alaska Native, non-Hispanic",1672
"Black or African American, non-Hispanic",667
"Asian or Pacific Islander, non-Hispanic",277
Other Race,606
Unknown,1358
