date,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz
1/1/2021,11,7,20,15,16,
1/10/2021,28,19,41,38,32,
1/11/2021,28,19,41,39,35,
1/12/2021,28,19,42,39,41,
1/13/2021,56,47,79,82,65,
1/14/2021,57,47,79,83,70,1
1/15/2021,59,47,79,83,73,1
1/16/2021,59,48,79,84,74,1
1/17/2021,59,48,79,85,75,1
1/18/2021,60,49,80,87,82,1
1/19/2021,60,49,80,87,87,1
1/2/2021,11,7,20,15,16,
1/20/2021,67,53,88,109,102,1
1/21/2021,67,53,89,111,106,1
1/22/2021,67,56,89,111,106,1
1/23/2021,68,57,89,111,109,1
1/24/2021,68,57,89,112,109,1
1/25/2021,69,59,90,114,133,1
1/26/2021,71,59,90,116,154,1
1/27/2021,72,59,93,118,515,1
1/28/2021,75,62,96,124,900,1
1/29/2021,76,62,97,125,920,1
1/3/2021,11,7,20,15,16,
1/30/2021,77,63,97,125,925,1
1/31/2021,77,63,97,126,933,1
1/4/2021,11,7,20,16,16,
1/5/2021,11,7,20,16,18,
1/6/2021,17,11,28,27,20,
1/7/2021,28,19,41,38,32,
1/8/2021,28,19,41,38,32,
1/9/2021,28,19,41,38,32,
10/1/2021,599,466,632,1237,4498,438
10/10/2021,626,476,641,1248,4515,463
10/11/2021,628,477,642,1249,4519,464
10/12/2021,628,479,642,1252,4522,469
10/13/2021,632,482,645,1255,4522,471
10/14/2021,634,483,646,1256,4522,474
10/15/2021,635,483,646,1257,4523,474
10/16/2021,639,483,647,1257,4523,474
10/17/2021,643,484,648,1257,4523,475
10/18/2021,645,484,650,1257,4524,482
10/19/2021,645,484,651,1258,4526,487
10/2/2021,599,466,632,1237,4499,439
10/20/2021,646,488,652,1260,4528,488
10/21/2021,646,490,653,1262,4535,488
10/22/2021,647,492,654,1262,4541,490
10/23/2021,650,492,654,1263,4542,490
10/24/2021,651,492,655,1264,4543,490
10/25/2021,651,492,655,1264,4546,494
10/26/2021,651,494,655,1266,4558,502
10/27/2021,652,499,658,1269,4565,507
10/28/2021,653,500,658,1269,4567,507
10/29/2021,655,501,658,1271,4570,508
10/3/2021,600,466,632,1237,4499,439
10/30/2021,655,501,659,1272,4571,508
10/31/2021,655,501,659,1272,4572,508
10/4/2021,600,466,632,1237,4501,448
10/5/2021,600,466,632,1238,4503,451
10/6/2021,606,469,634,1239,4508,453
10/7/2021,624,475,641,1245,4511,462
10/8/2021,624,476,641,1247,4514,463
10/9/2021,626,476,641,1248,4515,463
11/1/2021,656,503,659,1272,4574,510
11/10/2021,678,515,667,1281,4610,525
11/11/2021,678,515,667,1281,4618,527
11/12/2021,678,516,667,1281,4623,528
11/13/2021,678,516,667,1281,4624,528
11/14/2021,678,516,667,1281,4625,528
11/15/2021,679,518,668,1284,4628,550
11/16/2021,680,518,668,1284,4629,550
11/2/2021,660,504,659,1273,4580,511
11/3/2021,664,505,660,1274,4583,511
11/4/2021,669,509,666,1278,4592,515
11/5/2021,669,510,666,1278,4597,516
11/6/2021,669,510,667,1279,4599,517
11/7/2021,669,510,667,1279,4599,517
11/8/2021,672,510,667,1279,4602,520
11/9/2021,675,513,667,1279,4607,522
12/21/2020,1,1,2,,6,
12/22/2020,5,4,6,4,10,
12/23/2020,7,6,9,7,13,
12/24/2020,7,6,9,7,13,
12/25/2020,7,6,9,7,13,
12/26/2020,7,6,9,7,13,
12/27/2020,7,6,9,7,13,
12/28/2020,7,7,10,8,13,
12/29/2020,8,7,11,8,13,
12/30/2020,11,7,18,12,16,
12/31/2020,11,7,20,15,16,
2/1/2021,77,65,98,127,951,1
2/10/2021,90,81,112,179,1866,2
2/11/2021,92,84,113,185,1887,2
2/12/2021,94,84,113,188,1893,2
2/13/2021,94,84,114,189,1899,2
2/14/2021,94,84,114,190,1908,2
2/15/2021,94,85,114,191,1911,2
2/16/2021,94,86,114,191,1919,3
2/17/2021,94,89,115,199,1936,3
2/18/2021,97,93,115,218,2195,3
2/19/2021,97,94,116,218,2202,3
