Category,value
Apache,529
Cochise,433
Coconino,400
Gila,292
Graham,145
Greenlee,23
La Paz,105
Maricopa,"13,257"
Mohave,"1,116"
Navajo,719
Pima,"3,022"
Pinal,"1,256"
Santa Cruz,202
Yavapai,896
Yuma,949
Female,9651
Male,13679
20-44y,1258
45-54y,1808
55-64y,3661
65+,16567
<20y,50
"White, non-Hispanic",12077
Hispanic or Latino,6414
"American Indian or Alaska Native, non-Hispanic",1748
"Black or African American, non-Hispanic",713
"Asian or Pacific Islander, non-Hispanic",289
Other Race,648
Unknown,1455
