date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,165,154,193,242,280,3
1/10/2021,232,231,312,420,877,10
1/11/2021,244,245,327,445,1390,11
1/12/2021,255,260,349,483,1664,11
1/13/2021,266,284,387,534,1859,13
1/14/2021,305,320,415,605,2211,16
1/15/2021,325,340,448,648,2393,21
1/16/2021,325,340,449,651,2407,21
1/17/2021,325,340,450,651,2407,21
1/18/2021,332,347,462,661,2434,21
1/19/2021,350,367,481,699,2522,22
1/2/2021,170,157,194,243,281,3
1/20/2021,478,440,605,946,2662,61
1/21/2021,592,537,733,1142,2839,113
1/22/2021,649,597,802,1251,2964,126
1/23/2021,651,598,803,1254,2982,128
1/24/2021,651,598,803,1255,2984,128
1/25/2021,657,612,811,1269,3048,128
1/26/2021,670,625,826,1296,3140,134
1/27/2021,712,660,876,1371,3248,150
1/28/2021,819,754,1033,1577,3408,157
1/29/2021,865,803,1088,1652,3469,164
1/3/2021,170,157,194,243,281,3
1/30/2021,867,803,1088,1654,3470,171
1/31/2021,868,804,1088,1683,3479,175
1/4/2021,177,161,205,257,345,3
1/5/2021,185,176,225,281,422,6
1/6/2021,197,194,249,317,626,10
1/7/2021,208,216,283,384,795,10
1/8/2021,232,231,312,419,863,10
1/9/2021,232,231,312,420,876,10
10/1/2021,4101,2653,2887,3798,5700,5402
10/10/2021,4144,2686,2919,3843,5748,5425
10/11/2021,4145,2689,2920,3843,5756,5426
10/12/2021,4152,2696,2921,3846,5758,5429
10/13/2021,4153,2697,2924,3849,5764,5432
10/14/2021,4157,2700,2926,3852,5771,5436
10/15/2021,4160,2701,2928,3857,5773,5438
10/16/2021,4163,2702,2928,3859,5774,5438
10/17/2021,4164,2703,2928,3859,5774,5438
10/18/2021,4167,2708,2935,3864,5779,5445
10/19/2021,4175,2711,2938,3867,5787,5447
10/2/2021,4103,2654,2889,3801,5704,5403
10/20/2021,4181,2717,2938,3875,5798,5449
10/21/2021,4184,2722,2944,3880,5799,5452
10/22/2021,4188,2726,2945,3883,5804,5458
10/23/2021,4190,2728,2952,3891,5818,5459
10/24/2021,4191,2730,2952,3892,5822,5460
10/25/2021,4196,2732,2958,3898,5830,5465
10/26/2021,4206,2733,2963,3903,5837,5470
10/27/2021,4212,2745,2966,3912,5841,5482
10/28/2021,4219,2748,2970,3921,5849,5485
10/29/2021,4224,2751,2973,3929,5852,5486
10/3/2021,4105,2656,2891,3803,5705,5403
10/30/2021,4224,2753,2973,3931,5854,5487
10/31/2021,4230,2755,2975,3933,5857,5487
10/4/2021,4112,2660,2892,3809,5711,5412
10/5/2021,4118,2666,2897,3815,5714,5413
10/6/2021,4121,2669,2905,3821,5720,5417
10/7/2021,4130,2678,2911,3830,5734,5419
10/8/2021,4135,2682,2916,3835,5739,5425
10/9/2021,4141,2685,2919,3843,5747,5425
11/1/2021,4239,2762,2980,3942,5868,5491
11/10/2021,4291,2798,3025,4004,5924,6016
11/11/2021,4295,2804,3030,4007,5925,6105
11/12/2021,4298,2808,3038,4009,5930,6322
11/13/2021,4308,2814,3044,4020,5944,6358
11/14/2021,4320,2817,3050,4021,5949,6405
11/15/2021,4324,2820,3057,4027,5955,6480
11/16/2021,4334,2828,3066,4034,5958,6591
11/17/2021,4341,2839,3075,4046,5968,6677
11/18/2021,4353,2849,3083,4047,5984,6750
11/19/2021,4363,2850,3086,4058,5991,6867
11/2/2021,4241,2768,2992,3954,5879,5494
11/20/2021,4374,2862,3096,4070,5995,6907
11/21/2021,4385,2866,3098,4072,5998,6933
11/22/2021,4392,2874,3103,4083,6007,7084
11/23/2021,4401,2880,3110,4089,6017,7159
11/24/2021,4409,2884,3119,4093,6020,7218
11/25/2021,4409,2884,3119,4093,6020,7218
11/26/2021,4420,2888,3125,4097,6023,7262
11/27/2021,4421,2889,3126,4100,6023,7272
11/28/2021,4423,2892,3127,4103,6025,7297
11/29/2021,4429,2897,3134,4106,6031,7334
11/3/2021,4245,2771,3004,3966,5885,5518
11/30/2021,4443,2912,3142,4117,6038,7380
11/4/2021,4255,2776,3013,3980,5891,5637
11/5/2021,4263,2777,3015,3986,5897,5668
11/6/2021,4270,2782,3016,3987,5898,5733
11/7/2021,4273,2787,3019,3990,5901,5808
11/8/2021,4281,2791,3021,3997,5909,5871
11/9/2021,4289,2793,3021,4000,5915,5905
12/1/2020,,,2,,,
12/1/2021,4453,2918,3146,4128,6045,7424
12/10/2020,2,2,3,3,,1
12/10/2021,4539,2975,3191,4174,6096,7837
12/11/2020,2,2,3,3,,1
12/11/2021,4544,2980,3194,4175,6096,7856
12/12/2020,2,2,3,3,,1
12/12/2021,4549,2984,3194,4178,6096,7867
12/13/2020,2,2,3,3,1,1
12/13/2021,4555,2987,3198,4181,6099,7888
12/14/2020,2,2,3,3,1,1
12/14/2021,4565,2995,3201,4186,6102,7915
12/15/2020,3,3,3,5,1,1
12/15/2021,4565,2995,3201,4187,6102,7915
12/16/2020,7,9,9,16,3,1
12/17/2020,14,21,24,29,3,1
12/18/2020,21,27,32,38,11,1
12/19/2020,21,27,33,38,11,1
12/2/2020,,1,2,,,
12/2/2021,4463,2927,3149,4131,6058,7449
12/20/2020,21,27,33,38,11,1
12/21/2020,25,28,36,46,12,1
12/22/2020,26,31,40,49,12,1
12/23/2020,62,57,66,98,40,1
12/24/2020,65,58,67,100,42,1
12/25/2020,65,58,67,101,43,1
12/26/2020,65,58,69,101,43,1
12/27/2020,65,58,69,101,43,1
12/28/2020,81,65,77,118,67,1
12/29/2020,123,121,142,178,175,1
12/3/2020,1,1,2,1,,
12/3/2021,4473,2933,3152,4139,6061,7579
