date,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee
1/1/2021,15,18,26,21,36,
1/10/2021,22,23,38,34,88,1
1/11/2021,22,23,38,34,88,1
1/12/2021,25,29,43,40,105,1
1/13/2021,28,35,44,43,133,1
1/14/2021,36,42,58,67,143,1
1/15/2021,39,43,62,69,148,1
1/16/2021,39,43,62,69,149,1
1/17/2021,39,43,62,69,149,1
1/18/2021,42,44,63,73,156,1
1/19/2021,46,45,65,73,173,1
1/2/2021,15,18,26,21,36,
1/20/2021,47,48,67,76,190,1
1/21/2021,64,67,98,104,330,1
1/22/2021,77,90,119,133,419,1
1/23/2021,123,146,154,198,568,1
1/24/2021,125,147,156,200,568,1
1/25/2021,134,159,167,207,572,1
1/26/2021,135,159,167,207,573,1
1/27/2021,152,171,177,223,586,1
1/28/2021,202,211,221,276,625,5
1/29/2021,227,237,242,298,643,5
1/3/2021,15,18,26,21,36,
1/30/2021,227,238,242,298,644,5
1/31/2021,227,238,242,298,644,5
1/4/2021,15,18,26,21,36,1
1/5/2021,18,18,28,22,51,1
1/6/2021,19,19,30,26,58,1
1/7/2021,21,22,35,32,80,1
1/8/2021,22,23,38,34,88,1
1/9/2021,22,23,38,34,88,1
10/1/2021,749,679,624,675,1007,279
10/10/2021,760,685,624,677,1009,282
10/11/2021,763,685,624,677,1009,282
10/12/2021,765,686,624,677,1009,282
10/13/2021,767,687,624,677,1009,282
10/14/2021,770,687,624,677,1009,283
10/15/2021,773,688,624,677,1009,285
10/16/2021,774,688,624,677,1009,285
10/17/2021,774,688,624,677,1009,285
10/18/2021,776,689,626,677,1010,285
10/19/2021,776,690,626,678,1010,285
10/2/2021,749,679,624,675,1008,279
10/20/2021,777,690,626,680,1010,285
10/21/2021,778,690,626,680,1010,285
10/22/2021,780,691,628,680,1010,285
10/23/2021,780,691,628,680,1010,285
10/24/2021,780,691,628,680,1010,285
10/25/2021,782,691,628,680,1010,285
10/26/2021,782,691,628,680,1010,287
10/27/2021,783,691,629,680,1010,287
10/28/2021,784,691,630,680,1010,289
10/29/2021,784,692,631,680,1010,290
10/3/2021,749,679,624,675,1008,279
10/30/2021,784,692,631,680,1010,290
10/31/2021,784,692,631,680,1010,290
10/4/2021,751,680,624,675,1008,281
10/5/2021,751,682,624,675,1008,281
10/6/2021,753,683,624,675,1008,281
10/7/2021,756,684,624,677,1009,281
10/8/2021,760,685,624,677,1009,282
10/9/2021,760,685,624,677,1009,282
11/1/2021,784,692,631,680,1011,292
11/10/2021,791,694,635,683,1015,326
11/11/2021,793,695,636,683,1015,327
11/12/2021,798,696,638,683,1015,353
11/13/2021,798,696,638,683,1015,354
11/14/2021,798,696,638,683,1015,354
11/15/2021,798,696,638,683,1016,354
11/16/2021,798,696,639,683,1017,355
11/17/2021,798,696,639,683,1017,357
11/18/2021,798,697,639,683,1017,357
11/19/2021,800,698,639,683,1017,361
11/2/2021,786,693,631,680,1011,292
11/20/2021,800,698,639,683,1017,361
11/21/2021,800,698,639,683,1017,361
11/22/2021,800,699,641,683,1018,361
11/23/2021,800,700,641,683,1018,361
11/24/2021,801,700,641,683,1018,364
11/25/2021,801,700,641,683,1018,364
11/26/2021,801,700,641,684,1018,364
11/27/2021,802,700,642,684,1019,384
11/28/2021,802,700,642,684,1019,384
11/29/2021,802,700,642,684,1019,385
11/3/2021,786,693,631,680,1012,292
11/30/2021,805,702,642,684,1019,390
11/4/2021,791,693,631,682,1012,321
11/5/2021,791,693,631,682,1013,323
11/6/2021,791,693,631,682,1013,323
11/7/2021,791,693,631,682,1013,323
11/8/2021,791,694,631,683,1015,323
11/9/2021,791,694,635,683,1015,326
12/1/2021,806,704,642,684,1021,390
12/10/2021,821,717,648,685,1024,431
12/11/2021,821,717,648,685,1024,431
12/12/2021,821,717,648,685,1024,431
12/13/2021,821,717,648,685,1025,436
12/14/2021,822,717,648,686,1027,436
12/15/2021,822,717,648,686,1027,437
12/18/2020,,,2,,,
12/19/2020,,,2,,,
12/2/2021,809,707,643,684,1021,392
12/20/2020,,,2,,,
12/21/2020,3,5,6,1,,
12/22/2020,6,7,16,10,2,
12/23/2020,8,9,16,11,4,
12/24/2020,8,10,16,12,6,
12/25/2020,8,10,16,12,6,
12/26/2020,8,11,16,12,6,
12/27/2020,8,11,16,12,6,
12/28/2020,8,13,16,12,6,
12/29/2020,9,14,19,13,8,
12/3/2021,815,710,644,684,1021,414
12/30/2020,11,14,19,13,27,
12/31/2020,14,18,26,21,35,
12/4/2021,815,710,644,684,1021,414
12/5/2021,815,710,644,684,1021,415
12/6/2021,815,712,644,684,1021,417
12/7/2021,817,713,645,684,1021,419
12/8/2021,818,714,646,684,1023,419
12/9/2021,821,717,648,685,1024,421
2/1/2021,228,238,247,298,647,5
2/10/2021,296,292,314,385,742,11
2/11/2021,307,312,323,395,759,13
