date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
2/1/2021,3092,2808,2634,2646,6105,50
2/10/2021,4982,3685,3601,3941,10105,205
2/11/2021,5135,3807,3730,4117,10745,212
2/12/2021,5566,4113,4022,4500,11484,258
2/13/2021,5971,4334,4203,4693,11998,296
2/14/2021,5981,4337,4207,4697,12026,296
2/15/2021,6116,4466,4319,4808,12361,304
2/16/2021,6277,4624,4471,4994,12778,316
2/17/2021,6873,4969,4753,5264,13128,619
2/18/2021,6940,5028,4832,5361,13225,622
2/19/2021,7061,5102,4912,5472,13310,635
2/2/2021,3139,2845,2670,2694,6511,52
2/20/2021,7297,5209,5026,5559,13371,655
2/21/2021,7301,5212,5029,5562,13378,656
2/22/2021,7334,5234,5048,5608,13405,657
2/23/2021,7361,5253,5085,5653,13465,659
2/24/2021,7654,5463,5269,5873,13691,675
2/25/2021,7907,5657,5445,6061,13985,703
2/26/2021,8211,5875,5669,6275,14260,721
2/27/2021,8304,5952,5743,6346,14343,729
2/28/2021,8314,5957,5750,6352,14372,729
2/3/2021,3501,2976,2816,2866,7013,62
2/4/2021,3934,3124,2965,3051,7653,77
2/5/2021,4040,3214,3066,3198,8267,80
2/6/2021,4384,3439,3351,3567,8607,176
2/7/2021,4393,3442,3358,3575,8652,177
2/8/2021,4602,3490,3424,3680,8993,186
2/9/2021,4658,3532,3459,3763,9337,189
3/1/2021,8576,6158,5952,6555,14570,744
3/10/2021,9826,6853,6588,7862,15396,962
3/11/2021,10012,6952,6700,8089,15555,978
3/12/2021,10152,7025,6778,8250,15678,986
3/13/2021,10181,7040,6797,8312,15730,988
3/14/2021,10189,7044,6801,8333,15741,988
3/15/2021,10280,7071,6839,8473,15850,996
3/16/2021,10526,7209,6965,8665,15967,1047
3/17/2021,10770,7317,7076,8856,16121,1079
3/18/2021,10951,7437,7188,8963,16197,1099
3/19/2021,11129,7542,7297,9097,16284,1112
3/2/2021,8979,6383,6156,6795,14748,806
3/20/2021,11217,7608,7351,9170,16330,1118
3/21/2021,11239,7611,7353,9182,16343,1120
3/22/2021,11369,7709,7461,9262,16394,1139
3/23/2021,11725,7842,7565,9368,16461,1185
3/24/2021,12021,7915,7627,9447,16538,1226
3/25/2021,12369,8047,7741,9551,16599,1264
3/26/2021,12592,8105,7798,9627,16645,1314
3/27/2021,12817,8158,7840,9673,16670,1354
3/28/2021,12860,8178,7860,9683,16676,1361
3/29/2021,13110,8231,7929,9757,16711,1416
3/3/2021,9104,6456,6215,6938,14863,831
3/30/2021,13356,8298,8001,9837,16771,1475
3/31/2021,13734,8421,8115,9940,16846,1541
3/4/2021,9221,6522,6274,7101,14933,842
3/5/2021,9412,6640,6389,7291,15047,913
3/6/2021,9521,6698,6441,7359,15085,925
3/7/2021,9525,6699,6442,7382,15099,926
3/8/2021,9614,6747,6477,7542,15177,932
3/9/2021,9709,6808,6548,7717,15286,950
4/1/2021,14061,8505,8211,10020,16959,1573
4/10/2021,15566,9141,8783,10630,17476,1871
4/11/2021,15595,9147,8788,10638,17482,1880
4/12/2021,15711,9176,8816,10668,17514,1890
4/13/2021,15809,9208,8853,10702,17545,1901
4/14/2021,15941,9261,8891,10750,17582,1926
4/15/2021,16081,9306,8920,10795,17628,1946
4/16/2021,16217,9363,8968,10842,17703,1983
4/17/2021,16259,9397,9004,10874,17737,1995
4/18/2021,16272,9401,9010,10877,17742,1997
4/19/2021,16407,9421,9031,10914,17767,2123
4/2/2021,14364,8612,8330,10147,17043,1649
4/20/2021,16510,9448,9063,10946,17803,2172
4/21/2021,16632,9500,9117,11003,17847,2225
4/22/2021,16744,9529,9164,11048,17879,2264
4/23/2021,16873,9584,9199,11092,17916,2358
4/24/2021,16929,9610,9229,11110,17931,2380
4/25/2021,16956,9615,9241,11117,17938,2392
4/26/2021,17014,9632,9258,11140,17951,2407
