date,deaths
2021-08-30,2
2021-08-29,2
2021-08-26,5
2021-08-25,2
2021-08-24,14
2021-08-23,11
2021-08-22,18
2021-08-21,19
2021-08-20,24
2021-08-19,16
2021-08-18,16
2021-08-17,14
2021-08-16,18
2021-08-15,15
2021-08-14,25
2021-08-13,27
2021-08-12,21
2021-08-11,23
2021-08-10,25
2021-08-09,22
2021-08-08,13
2021-08-07,10
2021-08-06,26
2021-08-05,22
2021-08-04,20
2021-08-03,15
2021-08-02,13
2021-08-01,24
2021-07-31,28
2021-07-30,24
2021-07-29,14
2021-07-28,12
2021-07-27,18
2021-07-26,13
2021-07-25,11
2021-07-24,14
2021-07-23,11
2021-07-22,12
2021-07-21,8
2021-07-20,16
2021-07-19,8
2021-07-18,12
2021-07-17,7
2021-07-16,12
2021-07-15,8
2021-07-14,6
2021-07-13,5
2021-07-12,12
2021-07-11,7
2021-07-10,7
2021-07-09,3
2021-07-08,13
2021-07-07,10
2021-07-06,3
2021-07-05,10
2021-07-04,3
2021-07-03,8
2021-07-02,5
2021-07-01,5
2021-06-30,3
2021-06-29,10
2021-06-28,7
2021-06-27,14
2021-06-26,9
2021-06-25,11
2021-06-24,6
2021-06-23,8
2021-06-22,3
2021-06-21,6
2021-06-20,3
2021-06-19,7
2021-06-18,6
2021-06-17,7
2021-06-16,9
2021-06-15,4
2021-06-14,5
2021-06-13,8
2021-06-12,9
2021-06-11,6
2021-06-10,2
2021-06-09,6
2021-06-08,6
2021-06-07,2
2021-06-06,4
2021-06-05,4
2021-06-04,2
2021-06-03,8
2021-06-02,3
2021-06-01,11
2021-05-31,6
2021-05-30,9
2021-05-29,12
2021-05-28,6
2021-05-27,8
2021-05-26,6
2021-05-25,5
2021-05-24,4
2021-05-23,9
2021-05-22,6
2021-05-21,8
2021-05-20,6
2021-05-19,13
2021-05-18,9
2021-05-17,9
2021-05-16,13
2021-05-15,6
2021-05-14,7
2021-05-13,12
2021-05-12,12
2021-05-11,12
2021-05-10,10
2021-05-09,6
2021-05-08,13
2021-05-07,7
2021-05-06,10
2021-05-05,7
2021-05-04,9
2021-05-03,14
2021-05-02,14
2021-05-01,7
2021-04-30,5
2021-04-29,6
2021-04-28,9
2021-04-27,11
