date,La Paz_cume,La Paz
2020-12-21 00:00:00,30,
2020-12-22 00:00:00,70,40
2020-12-23 00:00:00,88,18
2020-12-30 00:00:00,111,23
2021-01-06 00:00:00,151,40
2021-01-07 00:00:00,212,61
2021-01-11 00:00:00,213,1
2021-01-13 00:00:00,399,186
2021-01-14 00:00:00,400,1
2021-01-19 00:00:00,443,43
2021-01-20 00:00:00,552,109
2021-01-25 00:00:00,575,23
2021-01-26 00:00:00,598,23
2021-01-27 00:00:00,1142,544
2021-01-28 00:00:00,1802,660
2021-01-29 00:00:00,1824,22
2021-01-30 00:00:00,1825,1
2021-02-01 00:00:00,1850,25
2021-02-02 00:00:00,1884,34
2021-02-03 00:00:00,2593,709
2021-02-04 00:00:00,2776,183
2021-02-05 00:00:00,2829,53
2021-02-08 00:00:00,2872,43
2021-02-09 00:00:00,2909,37
2021-02-10 00:00:00,3489,580
2021-02-11 00:00:00,3696,207
2021-02-12 00:00:00,3697,1
2021-02-16 00:00:00,3698,1
2021-02-17 00:00:00,3792,94
2021-02-18 00:00:00,4319,527
2021-02-19 00:00:00,4320,1
2021-02-22 00:00:00,4354,34
2021-02-23 00:00:00,4380,26
2021-02-24 00:00:00,4716,336
2021-02-25 00:00:00,5376,660
2021-02-26 00:00:00,5398,22
2021-02-28 00:00:00,5399,1
2021-03-01 00:00:00,5472,73
2021-03-02 00:00:00,5547,75
2021-03-03 00:00:00,6308,761
2021-03-04 00:00:00,7028,720
2021-03-05 00:00:00,7084,56
2021-03-06 00:00:00,7107,23
2021-03-08 00:00:00,7166,59
2021-03-09 00:00:00,7259,93
2021-03-10 00:00:00,7932,673
2021-03-11 00:00:00,8555,623
2021-03-12 00:00:00,8613,58
2021-03-13 00:00:00,8623,10
2021-03-15 00:00:00,8669,46
2021-03-16 00:00:00,8726,57
2021-03-17 00:00:00,9195,469
2021-03-18 00:00:00,9781,586
2021-03-19 00:00:00,9829,48
2021-03-21 00:00:00,9830,1
2021-03-22 00:00:00,9881,51
2021-03-23 00:00:00,9943,62
2021-03-24 00:00:00,10297,354
2021-03-25 00:00:00,10791,494
2021-03-26 00:00:00,10792,1
2021-03-29 00:00:00,10849,57
2021-03-30 00:00:00,11093,244
2021-03-31 00:00:00,11616,523
2021-04-01 00:00:00,11673,57
2021-04-02 00:00:00,11697,24
2021-04-03 00:00:00,11707,10
2021-04-05 00:00:00,11753,46
2021-04-06 00:00:00,11850,97
2021-04-07 00:00:00,12121,271
2021-04-08 00:00:00,12465,344
2021-04-09 00:00:00,12590,125
2021-04-10 00:00:00,12647,57
2021-04-11 00:00:00,12661,14
2021-04-12 00:00:00,12723,62
2021-04-13 00:00:00,12777,54
2021-04-14 00:00:00,13227,450
2021-04-15 00:00:00,13737,510
2021-04-16 00:00:00,13780,43
2021-04-17 00:00:00,13784,4
2021-04-19 00:00:00,13841,57
2021-04-20 00:00:00,13937,96
2021-04-21 00:00:00,14072,135
2021-04-22 00:00:00,14494,422
2021-04-23 00:00:00,14524,30
2021-04-24 00:00:00,14533,9
2021-04-26 00:00:00,14566,33
2021-04-27 00:00:00,14610,44
2021-04-28 00:00:00,15031,421
2021-04-29 00:00:00,15084,53
2021-04-30 00:00:00,15156,72
2021-05-01 00:00:00,15193,37
2021-05-02 00:00:00,15195,2
2021-05-03 00:00:00,15224,29
2021-05-04 00:00:00,15282,58
2021-05-05 00:00:00,15479,197
2021-05-06 00:00:00,15650,171
2021-05-07 00:00:00,15664,14
2021-05-08 00:00:00,15667,3
2021-05-09 00:00:00,15668,1
2021-05-10 00:00:00,15689,21
2021-05-11 00:00:00,15727,38
2021-05-12 00:00:00,15797,70
2021-05-13 00:00:00,15814,17
2021-05-14 00:00:00,15834,20
2021-05-15 00:00:00,15842,8
2021-05-17 00:00:00,15878,36
2021-05-18 00:00:00,15902,24
2021-05-19 00:00:00,16079,177
2021-05-20 00:00:00,16106,27
2021-05-21 00:00:00,16139,33
2021-05-22 00:00:00,16151,12
2021-05-23 00:00:00,16154,3
2021-05-24 00:00:00,16169,15
2021-05-25 00:00:00,16195,26
2021-05-26 00:00:00,16243,48
2021-05-27 00:00:00,16255,12
2021-05-28 00:00:00,16268,13
2021-05-29 00:00:00,16271,3
2021-05-31 00:00:00,16272,1
2021-06-01 00:00:00,16314,42
2021-06-02 00:00:00,16367,53
2021-06-03 00:00:00,16422,55
2021-06-04 00:00:00,16427,5
2021-06-05 00:00:00,16432,5
2021-06-06 00:00:00,16436,4
2021-06-07 00:00:00,16444,8
2021-06-08 00:00:00,16459,15
2021-06-09 00:00:00,16499,40
2021-06-10 00:00:00,16506,7
2021-06-11 00:00:00,16510,4
2021-06-12 00:00:00,16512,2
2021-06-13 00:00:00,16513,1
2021-06-14 00:00:00,16528,15
