date,Maricopa_cume,Maricopa
1/1/2021,134,
1/10/2021,145,11
1/11/2021,154,9
1/12/2021,157,3
1/13/2021,159,2
1/14/2021,168,9
1/15/2021,173,5
1/16/2021,180,7
1/17/2021,194,14
1/18/2021,201,7
1/19/2021,204,3
1/2/2021,209,5
1/20/2021,222,13
1/21/2021,252,30
1/22/2021,300,48
1/23/2021,1550,1250
1/24/2021,3214,1664
1/25/2021,4867,1653
1/26/2021,5851,984
1/27/2021,9004,3153
1/28/2021,13081,4077
1/29/2021,17774,4693
1/3/2021,19330,1556
1/30/2021,19335,5
1/31/2021,24274,4939
1/4/2021,26507,2233
1/5/2021,31649,5142
1/6/2021,39401,7752
1/7/2021,47926,8525
1/8/2021,51898,3972
1/9/2021,53052,1154
10/1/2021,59067,6015
10/10/2021,61611,2544
10/11/2021,66249,4638
10/12/2021,70555,4306
10/13/2021,75419,4864
10/14/2021,80698,5279
10/15/2021,85249,4551
10/16/2021,89865,4616
10/17/2021,92456,2591
10/18/2021,101930,9474
10/19/2021,117826,15896
10/2/2021,134993,17167
10/20/2021,151559,16566
10/21/2021,166781,15222
10/22/2021,178264,11483
10/23/2021,186610,8346
10/24/2021,199127,12517
10/25/2021,216677,17550
10/26/2021,235371,18694
10/27/2021,255091,19720
10/28/2021,277143,22052
10/29/2021,296034,18891
10/3/2021,308321,12287
10/30/2021,324465,16144
10/31/2021,346608,22143
10/4/2021,366918,20310
10/5/2021,385790,18872
10/6/2021,407203,21413
10/7/2021,422680,15477
10/8/2021,430684,8004
10/9/2021,448292,17608
11/1/2021,470361,22069
12/1/2020,492360,21999
12/10/2020,517503,25143
12/11/2020,540109,22606
12/12/2020,564040,23931
12/13/2020,576927,12887
12/14/2020,600452,23525
12/15/2020,627763,27311
12/16/2020,653762,25999
12/17/2020,680136,26374
12/18/2020,715631,35495
12/19/2020,743549,27918
12/2/2020,756761,13212
12/20/2020,776192,19431
12/21/2020,803776,27584
12/22/2020,832259,28483
12/23/2020,860423,28164
12/24/2020,889010,28587
12/25/2020,914308,25298
12/26/2020,927388,13080
12/27/2020,946183,18795
12/28/2020,974981,28798
12/29/2020,1005901,30920
12/3/2020,1035582,29681
12/30/2020,1072072,36490
12/31/2020,1102511,30439
12/4/2020,1119788,17277
12/5/2020,1145455,25667
12/7/2020,1173179,27724
12/8/2020,1202846,29667
12/9/2020,1233487,30641
2/1/2021,1265413,31926
2/10/2021,1292477,27064
2/11/2021,1309924,17447
2/12/2021,1339280,29356
2/13/2021,1370844,31564
2/14/2021,1405927,35083
2/15/2021,1442390,36463
2/16/2021,1483498,41108
2/17/2021,1514735,31237
2/18/2021,1534516,19781
2/19/2021,1562347,27831
2/2/2021,1593192,30845
2/20/2021,1629078,35886
2/21/2021,1664938,35860
2/22/2021,1699210,34272
2/23/2021,1730657,31447
2/24/2021,1752591,21934
2/25/2021,1778625,26034
2/26/2021,1805339,26714
2/27/2021,1841124,35785
2/28/2021,1881854,40730
2/3/2021,1922152,40298
2/4/2021,1957497,35345
2/5/2021,1984592,27095
2/6/2021,2023495,38903
2/7/2021,2063447,39952
2/8/2021,2108111,44664
2/9/2021,2154950,46839
3/1/2021,2197018,42068
3/10/2021,2228621,31603
3/11/2021,2240930,12309
3/12/2021,2275424,34494
3/13/2021,2314059,38635
3/14/2021,2357895,43836
3/15/2021,2402858,44963
3/16/2021,2443585,40727
3/17/2021,2475172,31587
3/18/2021,2497314,22142
3/19/2021,2528111,30797
3/2/2021,2558496,30385
3/20/2021,2592610,34114
3/21/2021,2629213,36603
3/22/2021,2665425,36212
3/23/2021,2693552,28127
3/24/2021,2714626,21074
3/25/2021,2746957,32331
3/26/2021,2780045,33088
3/27/2021,2817358,37313
3/28/2021,2854939,37581
