Category,value
tests,551080
Yuma,10824
Yavapai,14189
Santa Cruz,2138
Pinal,35315
Pima,54772
Navajo,4571
Mohave,12473
Maricopa,383377
La Paz,1596
Greenlee,210
Graham,1150
Gila,6127
Coconino,6792
Cochise,6382
Apache,1258
Unknown,472
65 years and older,128082
55 - 64 years,103428
45 - 54 years,97179
20 - 44 years,193262
Less than 20 years,28657
positive,0.2041536619002686
