date,Yuma_cume,Yuma
1/1/2021,5,
1/10/2021,6,1
1/11/2021,7,1
1/12/2021,8,1
1/13/2021,9,1
1/14/2021,11,2
1/15/2021,18,7
1/16/2021,44,26
1/17/2021,47,3
1/18/2021,49,2
1/19/2021,225,176
1/2/2021,924,699
1/20/2021,1681,757
1/21/2021,1919,238
1/22/2021,2023,104
1/23/2021,2024,1
1/24/2021,2454,430
1/25/2021,2814,360
1/26/2021,3247,433
1/27/2021,3340,93
1/28/2021,3376,36
1/29/2021,3379,3
1/3/2021,3380,1
1/30/2021,3600,220
1/31/2021,3931,331
1/4/2021,4417,486
1/5/2021,4645,228
1/6/2021,4967,322
1/7/2021,4981,14
1/8/2021,4996,15
1/9/2021,5674,678
12/1/2020,6356,682
12/10/2020,7108,752
12/12/2020,7293,185
12/16/2020,7485,192
12/17/2020,7486,1
12/19/2020,7487,1
12/20/2020,7524,37
12/21/2020,7915,391
12/22/2020,8490,575
12/23/2020,10280,1790
12/24/2020,11862,1582
12/26/2020,12006,144
12/27/2020,12020,14
12/28/2020,12455,435
12/29/2020,13308,853
12/3/2020,14712,1404
12/30/2020,16786,2074
12/31/2020,18859,2073
12/4/2020,20062,1203
12/8/2020,20075,13
2/1/2021,20961,886
2/10/2021,22042,1081
2/11/2021,23550,1508
2/12/2021,24561,1011
2/13/2021,25268,707
2/14/2021,25310,42
2/15/2021,25332,22
2/16/2021,25615,283
2/17/2021,26462,847
2/18/2021,28822,2360
2/19/2021,31298,2476
2/2/2021,33185,1887
2/20/2021,34055,870
2/21/2021,34058,3
2/22/2021,34174,116
2/23/2021,34434,260
2/24/2021,34766,332
2/25/2021,35392,626
2/26/2021,36250,858
2/27/2021,36629,379
2/28/2021,36638,9
2/3/2021,36681,43
2/4/2021,37882,1201
2/5/2021,40516,2634
2/6/2021,43682,3166
2/7/2021,46436,2754
2/8/2021,47281,845
2/9/2021,47632,351
3/1/2021,49543,1911
3/10/2021,50915,1372
3/11/2021,52194,1279
3/12/2021,55074,2880
3/13/2021,58715,3641
3/14/2021,58946,231
3/15/2021,59124,178
3/16/2021,60151,1027
3/17/2021,62331,2180
3/18/2021,64302,1971
3/19/2021,67727,3425
3/2/2021,70920,3193
3/20/2021,72557,1637
3/21/2021,72761,204
3/22/2021,73619,858
3/23/2021,75239,1620
3/24/2021,77352,2113
3/25/2021,81309,3957
3/26/2021,84476,3167
3/27/2021,85819,1343
3/28/2021,86169,350
3/29/2021,86721,552
3/3/2021,88234,1513
3/30/2021,90594,2360
3/31/2021,92930,2336
3/4/2021,95188,2258
3/5/2021,95796,608
3/6/2021,96049,253
3/7/2021,96666,617
3/8/2021,99506,2840
3/9/2021,102531,3025
4/1/2021,105473,2942
4/10/2021,107391,1918
4/11/2021,108153,762
4/12/2021,108847,694
4/13/2021,110279,1432
4/14/2021,112501,2222
4/15/2021,114956,2455
4/16/2021,117842,2886
4/17/2021,119889,2047
4/18/2021,120436,547
4/19/2021,120652,216
4/2/2021,121304,652
4/20/2021,122351,1047
4/21/2021,125030,2679
4/22/2021,128067,3037
4/23/2021,131188,3121
4/24/2021,131945,757
4/25/2021,132518,573
4/26/2021,134122,1604
4/27/2021,136111,1989
4/28/2021,137720,1609
4/29/2021,139124,1404
4/3/2021,141080,1956
4/30/2021,141407,327
4/4/2021,141598,191
4/5/2021,142147,549
4/6/2021,145284,3137
4/7/2021,147223,1939
4/8/2021,149034,1811
4/9/2021,150565,1531
5/1/2021,150814,249
5/10/2021,150996,182
