Category,value
Apache,547
Cochise,477
Coconino,421
Gila,316
Graham,159
Greenlee,29
La Paz,110
Maricopa,"13,914"
Mohave,"1,203"
Navajo,760
Pima,"3,230"
Pinal,"1,344"
Santa Cruz,206
Yavapai,993
Yuma,995
Female,10230
Male,14461
20-44y,1348
45-54y,1931
55-64y,3920
65+,17451
<20y,54
"White, non-Hispanic",12891
Hispanic or Latino,6735
"American Indian or Alaska Native, non-Hispanic",1794
"Black or African American, non-Hispanic",753
"Asian or Pacific Islander, non-Hispanic",303
Other Race,684
Unknown,1544
