Category,value
tests,10539174
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,1603822
20 - 44 years,4553063
45 - 54 years,1421083
55 - 64 years,1332313
65 years and older,1610301
Unknown,18592
positive,0.0970224991066662
