date,Pima_cume,Pima
1/1/2021,12,
1/10/2021,14,2
1/11/2021,17,3
1/12/2021,18,1
1/13/2021,19,1
1/14/2021,22,3
1/15/2021,23,1
1/16/2021,26,3
1/17/2021,27,1
1/18/2021,28,1
1/19/2021,32,4
1/2/2021,49,17
1/20/2021,53,4
1/21/2021,1287,1234
1/22/2021,2693,1406
1/23/2021,3432,739
1/24/2021,3436,4
1/25/2021,4960,1524
1/26/2021,6466,1506
1/27/2021,8314,1848
1/28/2021,9353,1039
1/29/2021,9355,2
1/3/2021,10145,790
1/30/2021,10310,165
1/31/2021,12162,1852
1/4/2021,14245,2083
1/5/2021,16507,2262
1/6/2021,18165,1658
1/7/2021,18363,198
1/8/2021,18978,615
1/9/2021,19412,434
12/1/2020,21226,1814
12/10/2020,22967,1741
12/11/2020,25130,2163
12/12/2020,27379,2249
12/13/2020,30035,2656
12/14/2020,31555,1520
12/15/2020,31958,403
12/16/2020,34737,2779
12/17/2020,37466,2729
12/18/2020,39942,2476
12/19/2020,42367,2425
12/2/2020,46423,4056
12/20/2020,47824,1401
12/21/2020,48328,504
12/22/2020,52285,3957
12/23/2020,56374,4089
12/24/2020,61085,4711
12/25/2020,66411,5326
12/26/2020,72967,6556
12/27/2020,75524,2557
12/28/2020,76525,1001
12/29/2020,83847,7322
12/3/2020,90845,6998
12/30/2020,98389,7544
12/31/2020,105324,6935
12/4/2020,112601,7277
12/5/2020,116415,3814
12/9/2020,117924,1509
2/1/2021,123389,5465
2/10/2021,129694,6305
2/11/2021,136664,6970
2/12/2021,143905,7241
2/13/2021,152680,8775
2/14/2021,157036,4356
2/15/2021,158125,1089
2/16/2021,164973,6848
2/17/2021,171157,6184
2/18/2021,178648,7491
2/19/2021,186377,7729
2/2/2021,195145,8768
2/20/2021,199431,4286
2/21/2021,200351,920
2/22/2021,206458,6107
2/23/2021,213323,6865
2/24/2021,220857,7534
2/25/2021,228053,7196
2/26/2021,232353,4300
2/27/2021,234439,2086
2/28/2021,235093,654
2/3/2021,238884,3791
