pcr_tests_MARICOPA,pcr_pos_tests_MARICOPA,pcr_positivity_MARICOPA,date,ser_tests_MARICOPA,ser_pos_tests_MARICOPA,ser_positivity_MARICOPA
,,,2021-04-06 00:00:00,1220,619,0.507377049180328
,,,2021-04-05 00:00:00,16186,666,0.0411466699616953
,,,2021-04-05 00:00:00,845,452,0.5349112426035504
,,,2021-04-04 00:00:00,4418,235,0.0531914893617021
,,,2021-04-04 00:00:00,225,102,0.4533333333333334
,,,2021-04-03 00:00:00,6806,402,0.0590655304143403
,,,2021-04-03 00:00:00,752,331,0.4401595744680851
,,,2021-04-02 00:00:00,11012,450,0.0408645114420632
,,,2021-04-02 00:00:00,932,450,0.4828326180257512
,,,2021-04-01 00:00:00,14372,564,0.0392429724464236
,,,2021-04-01 00:00:00,1098,585,0.5327868852459018
,,,2021-03-31 00:00:00,14811,593,0.040037809736007
,,,2021-03-31 00:00:00,1450,709,0.4889655172413794
,,,2021-03-30 00:00:00,16718,595,0.0355903816245962
,,,2021-03-30 00:00:00,1360,672,0.4941176470588236
,,,2021-03-29 00:00:00,17804,558,0.0313412716243541
,,,2021-03-29 00:00:00,831,421,0.50661853188929
,,,2021-03-28 00:00:00,6574,329,0.0500456343170064
,,,2021-03-28 00:00:00,343,175,0.5102040816326532
,,,2021-03-27 00:00:00,6482,389,0.0600123418697933
,,,2021-03-27 00:00:00,706,383,0.5424929178470256
,,,2021-03-26 00:00:00,12021,493,0.041011563097912
,,,2021-03-26 00:00:00,1078,540,0.5009276437847866
,,,2021-03-25 00:00:00,14530,502,0.0345492085340675
,,,2021-03-25 00:00:00,1473,729,0.494908350305499
,,,2021-03-24 00:00:00,15354,515,0.0335417480786766
,,,2021-03-24 00:00:00,1760,821,0.4664772727272728
,,,2021-03-23 00:00:00,16544,527,0.0318544487427466
,,,2021-03-23 00:00:00,1662,749,0.450661853188929
,,,2021-03-22 00:00:00,19208,559,0.0291024573094544
,,,2021-03-22 00:00:00,803,339,0.4221668742216688
,,,2021-03-21 00:00:00,6777,337,0.0497270178545079
,,,2021-03-21 00:00:00,465,205,0.4408602150537635
,,,2021-03-20 00:00:00,7254,390,0.0537634408602151
,,,2021-03-20 00:00:00,874,416,0.4759725400457666
,,,2021-03-19 00:00:00,12374,471,0.03806368191369
,,,2021-03-19 00:00:00,976,465,0.4764344262295082
,,,2021-03-18 00:00:00,14860,499,0.0335800807537012
,,,2021-03-18 00:00:00,1130,572,0.5061946902654868
,,,2021-03-17 00:00:00,14749,552,0.0374262661875381
,,,2021-03-17 00:00:00,1172,574,0.4897610921501708
,,,2021-03-16 00:00:00,16437,533,0.0324268418811219
,,,2021-03-16 00:00:00,1384,674,0.4869942196531792
,,,2021-03-15 00:00:00,18431,616,0.0334219521458412
,,,2021-03-15 00:00:00,812,387,0.476600985221675
,,,2021-03-14 00:00:00,6955,359,0.0516175413371675
,,,2021-03-14 00:00:00,329,148,0.4498480243161095
,,,2021-03-13 00:00:00,7418,390,0.0525748180102454
,,,2021-03-13 00:00:00,658,301,0.4574468085106384
,,,2021-03-12 00:00:00,12758,570,0.0446778491926634
