Category,value
Apache,499
Cochise,369
Coconino,375
Gila,269
Graham,122
Greenlee,17
La Paz,102
Maricopa,"12,536"
Mohave,"1,017"
Navajo,656
Pima,"2,831"
Pinal,"1,141"
Santa Cruz,196
Yavapai,756
Yuma,922
Female,9002
Male,12793
20-44y,1164
45-54y,1660
55-64y,3392
65+,15542
<20y,50
"White, non-Hispanic",11132
Hispanic or Latino,6072
"American Indian or Alaska Native, non-Hispanic",1677
"Black or African American, non-Hispanic",669
"Asian or Pacific Islander, non-Hispanic",277
Other Race,613
Unknown,1368
