date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4332,4477,3747,3537,2325,26
1/10/2021,6606,6476,5619,5467,4908,59
1/11/2021,6919,6755,5888,5756,5299,70
1/12/2021,7247,7016,6153,6018,5822,78
1/13/2021,7462,7256,6395,6267,6275,87
1/14/2021,7765,7565,6714,6560,6708,92
1/15/2021,8387,8135,7296,7127,8026,100
1/16/2021,8627,8329,7480,7291,8305,103
1/17/2021,8710,8387,7526,7348,8441,106
1/18/2021,9054,8696,7845,7641,10013,111
1/19/2021,9425,8981,8170,7968,11686,121
1/2/2021,4505,4603,3848,3650,2453,27
1/20/2021,9920,9524,8686,8450,13828,132
1/21/2021,10321,9966,9179,8935,16942,141
1/22/2021,11018,10648,9929,9678,20006,154
1/23/2021,11296,10882,10121,9879,21801,159
1/24/2021,11439,11012,10232,9985,22127,162
1/25/2021,12158,11652,10974,10741,25394,177
1/26/2021,12869,12228,11636,11389,28434,186
1/27/2021,13592,12822,12300,12110,31618,194
1/28/2021,14430,13461,12979,12829,34960,207
1/29/2021,15350,14189,13709,13583,38052,225
1/3/2021,4593,4696,3918,3707,2506,29
1/30/2021,15999,14623,14061,13984,40781,231
1/31/2021,16169,14734,14177,14120,41533,235
1/4/2021,4932,5018,4180,3991,2768,38
1/5/2021,5266,5344,4444,4277,3089,41
1/6/2021,5681,5684,4866,4644,3430,48
1/7/2021,5983,5918,5076,4924,3845,52
1/8/2021,6257,6204,5363,5204,4106,55
1/9/2021,6508,6379,5532,5391,4835,59
10/1/2021,130470,83438,82853,99989,199768,57987
10/10/2021,131879,84179,83365,100440,200287,58698
10/11/2021,132072,84293,83439,100504,200366,58812
10/12/2021,132188,84346,83471,100523,200408,58867
10/13/2021,132327,84429,83528,100572,200468,58947
10/14/2021,132537,84531,83598,100633,200550,59038
10/15/2021,132772,84640,83710,100707,200616,59134
10/16/2021,132884,84697,83746,100748,200650,59173
10/17/2021,132966,84733,83772,100760,200667,59213
10/18/2021,133154,84838,83839,100823,200724,59278
10/19/2021,133283,84919,83912,100883,200799,59353
10/2/2021,130575,83495,82901,100022,199803,58058
10/20/2021,133433,84984,83984,100937,200856,59428
10/21/2021,133586,85064,84075,100995,200905,59503
10/22/2021,133778,85169,84150,101077,201039,59582
10/23/2021,133881,85219,84188,101124,201129,59638
10/24/2021,133936,85244,84206,101148,201186,59680
10/25/2021,134106,85323,84265,101211,201394,59742
10/26/2021,134255,85431,84346,101301,201599,59827
10/27/2021,134442,85548,84426,101381,201799,60006
10/28/2021,134608,85622,84490,101460,202006,60061
10/29/2021,134803,85729,84575,101558,202185,60141
