date,pcr_tests_LA_PAZ,pcr_pos_tests_LA_PAZ,pcr_positivity_LA_PAZ,ser_tests_LA_PAZ,ser_pos_tests_LA_PAZ,ser_positivity_LA_PAZ
2020-12-14 00:00:00,70,10,0.1428571428571429,,,
2020-12-13 00:00:00,11,1,0.0909090909090909,1.0,1.0,1
2020-12-12 00:00:00,13,3,0.2307692307692308,,,
2020-12-11 00:00:00,33,1,0.0303030303030303,1.0,0.0,0
2020-12-10 00:00:00,71,10,0.1408450704225352,15.0,0.0,0
2020-12-09 00:00:00,193,2,0.0103626943005181,,,
2020-12-08 00:00:00,87,8,0.0919540229885058,,,
2020-12-07 00:00:00,236,8,0.0338983050847458,10.0,1.0,0.1
2020-12-06 00:00:00,13,3,0.2307692307692308,,,
2020-12-05 00:00:00,15,5,0.3333333333333333,1.0,0.0,0
2020-12-04 00:00:00,21,5,0.2380952380952381,2.0,0.0,0
2020-12-03 00:00:00,49,4,0.0816326530612245,2.0,0.0,0
2020-12-02 00:00:00,29,5,0.1724137931034483,2.0,1.0,0.5
2020-12-01 00:00:00,215,6,0.027906976744186,1.0,1.0,1
2020-11-30 00:00:00,41,5,0.1219512195121951,5.0,1.0,0.2
2020-11-29 00:00:00,11,0,0,2.0,1.0,0.5
2020-11-28 00:00:00,9,2,0.2222222222222222,1.0,0.0,0
2020-11-27 00:00:00,10,0,0,2.0,0.0,0
2020-11-26 00:00:00,3,0,0,,,
2020-11-25 00:00:00,57,2,0.0350877192982456,1.0,0.0,0
2020-11-24 00:00:00,18,2,0.1111111111111111,5.0,0.0,0
2020-11-23 00:00:00,39,4,0.1025641025641026,5.0,0.0,0
2020-11-22 00:00:00,8,1,0.125,,,
2020-11-21 00:00:00,3,1,0.3333333333333333,,,
2020-11-20 00:00:00,15,0,0,2.0,1.0,0.5
2020-11-19 00:00:00,187,2,0.0106951871657754,4.0,0.0,0
2020-11-18 00:00:00,219,5,0.0228310502283105,3.0,0.0,0
2020-11-17 00:00:00,32,0,0,,,
2020-11-16 00:00:00,25,3,0.12,,,
2020-11-15 00:00:00,18,1,0.0555555555555556,,,
2020-11-14 00:00:00,8,3,0.375,1.0,0.0,0
2020-11-13 00:00:00,17,1,0.0588235294117647,,,
2020-11-12 00:00:00,201,4,0.0199004975124378,,,
2020-11-11 00:00:00,12,2,0.1666666666666667,1.0,0.0,0
2020-11-10 00:00:00,28,1,0.0357142857142857,1.0,0.0,0
2020-11-09 00:00:00,35,0,0,1.0,0.0,0
2020-11-08 00:00:00,9,0,0,2.0,0.0,0
2020-11-07 00:00:00,9,1,0.1111111111111111,1.0,0.0,0
2020-11-06 00:00:00,24,1,0.0416666666666667,3.0,0.0,0
2020-11-05 00:00:00,24,1,0.0416666666666667,,,
2020-11-04 00:00:00,26,4,0.1538461538461539,1.0,0.0,0
2020-11-03 00:00:00,224,2,0.0089285714285714,1.0,0.0,0
2020-11-02 00:00:00,30,1,0.0333333333333333,2.0,0.0,0
2020-11-01 00:00:00,9,0,0,,,
2020-10-31 00:00:00,4,0,0,,,
2020-10-30 00:00:00,6,0,0,,,
2020-10-29 00:00:00,21,0,0,12.0,0.0,0
2020-10-28 00:00:00,20,2,0.1,2.0,0.0,0
2020-10-27 00:00:00,12,2,0.1666666666666667,1.0,0.0,0
2020-10-26 00:00:00,31,1,0.032258064516129,3.0,0.0,0
2020-10-25 00:00:00,5,0,0,1.0,0.0,0
2020-10-24 00:00:00,5,0,0,1.0,0.0,0
2020-10-23 00:00:00,165,2,0.0121212121212121,1.0,0.0,0
2020-10-22 00:00:00,11,0,0,2.0,0.0,0
2020-10-21 00:00:00,35,1,0.0285714285714286,,,
2020-10-20 00:00:00,16,0,0,1.0,0.0,0
2020-10-19 00:00:00,88,0,0,18.0,0.0,0
2020-10-18 00:00:00,6,0,0,,,
2020-10-17 00:00:00,4,0,0,1.0,0.0,0
2020-10-16 00:00:00,13,1,0.0769230769230769,,,
2020-10-15 00:00:00,38,1,0.0263157894736842,4.0,0.0,0
2020-10-14 00:00:00,153,1,0.0065359477124183,,,
2020-10-13 00:00:00,18,0,0,,,
2020-10-12 00:00:00,27,1,0.037037037037037,,,
2020-10-11 00:00:00,9,0,0,1.0,0.0,0
2020-10-10 00:00:00,7,0,0,1.0,0.0,0
2020-10-09 00:00:00,14,0,0,3.0,0.0,0
2020-10-08 00:00:00,16,2,0.125,,,
2020-10-07 00:00:00,20,3,0.15,,,
2020-10-06 00:00:00,9,0,0,1.0,0.0,0
2020-10-05 00:00:00,128,2,0.015625,1.0,0.0,0
2020-10-04 00:00:00,5,1,0.2,,,
2020-10-03 00:00:00,2,0,0,1.0,0.0,0
2020-10-02 00:00:00,15,2,0.1333333333333333,2.0,0.0,0
2020-10-01 00:00:00,100,0,0,1.0,0.0,0
2020-09-30 00:00:00,9,0,0,,,
2020-09-29 00:00:00,34,0,0,,,
2020-09-28 00:00:00,17,1,0.0588235294117647,,,
2020-09-27 00:00:00,5,1,0.2,,,
2020-09-26 00:00:00,1,0,0,,,
2020-09-25 00:00:00,12,0,0,,,
2020-09-24 00:00:00,170,0,0,,,
2020-09-23 00:00:00,12,0,0,1.0,0.0,0
2020-09-22 00:00:00,7,0,0,1.0,0.0,0
2020-09-21 00:00:00,17,1,0.0588235294117647,1.0,0.0,0
2020-09-20 00:00:00,6,0,0,,,
2020-09-19 00:00:00,3,0,0,,,
2020-09-18 00:00:00,8,0,0,3.0,0.0,0
2020-09-17 00:00:00,20,1,0.05,,,
2020-09-16 00:00:00,28,1,0.0357142857142857,,,
2020-09-15 00:00:00,10,0,0,,,
2020-09-14 00:00:00,20,0,0,3.0,0.0,0
2020-09-13 00:00:00,4,0,0,,,
2020-09-12 00:00:00,4,0,0,1.0,0.0,0
2020-09-11 00:00:00,3,0,0,1.0,0.0,0
2020-09-10 00:00:00,26,0,0,2.0,0.0,0
2020-09-09 00:00:00,28,0,0,1.0,0.0,0
2020-09-08 00:00:00,63,0,0,1.0,0.0,0
2020-09-07 00:00:00,2,0,0,,,
2020-09-06 00:00:00,2,0,0,,,
2020-09-05 00:00:00,3,0,0,,,
2020-09-04 00:00:00,8,0,0,4.0,0.0,0
2020-09-03 00:00:00,40,0,0,2.0,0.0,0
2020-09-02 00:00:00,112,0,0,,,
2020-09-01 00:00:00,186,1,0.0053763440860215,1.0,0.0,0
2020-08-31 00:00:00,43,0,0,,,
2020-08-30 00:00:00,2,0,0,,,
2020-08-29 00:00:00,8,0,0,1.0,0.0,0
2020-08-28 00:00:00,12,0,0,1.0,0.0,0
2020-08-27 00:00:00,17,0,0,,,
2020-08-26 00:00:00,7,0,0,1.0,0.0,0
2020-08-25 00:00:00,11,1,0.0909090909090909,2.0,1.0,0.5
2020-08-24 00:00:00,6,1,0.1666666666666667,,,
2020-08-23 00:00:00,2,0,0,,,
2020-08-22 00:00:00,8,0,0,,,
2020-08-21 00:00:00,9,0,0,1.0,0.0,0
2020-08-20 00:00:00,12,1,0.0833333333333333,2.0,0.0,0
2020-08-19 00:00:00,15,0,0,1.0,0.0,0
2020-08-18 00:00:00,16,1,0.0625,4.0,0.0,0
2020-08-17 00:00:00,8,0,0,3.0,1.0,0.3333333333333333
2020-08-16 00:00:00,1,0,0,,,
2020-08-15 00:00:00,4,0,0,,,
2020-08-14 00:00:00,5,0,0,,,
2020-08-13 00:00:00,35,0,0,1.0,0.0,0
2020-08-12 00:00:00,14,2,0.1428571428571429,,,
2020-08-11 00:00:00,19,0,0,3.0,0.0,0
2020-08-10 00:00:00,14,0,0,,,
2020-08-09 00:00:00,3,0,0,,,
2020-08-08 00:00:00,1,0,0,,,
2020-08-07 00:00:00,15,0,0,8.0,5.0,0.625
2020-08-06 00:00:00,21,2,0.0952380952380952,4.0,1.0,0.25
2020-08-05 00:00:00,27,0,0,1.0,1.0,1
2020-08-04 00:00:00,17,0,0,2.0,0.0,0
2020-08-03 00:00:00,34,0,0,3.0,0.0,0
2020-08-02 00:00:00,5,0,0,3.0,0.0,0
2020-08-01 00:00:00,7,0,0,1.0,0.0,0
2020-07-31 00:00:00,18,2,0.1111111111111111,4.0,3.0,0.75
2020-07-30 00:00:00,23,1,0.0434782608695652,2.0,1.0,0.5
2020-07-29 00:00:00,17,2,0.1176470588235294,10.0,2.0,0.2
2020-07-28 00:00:00,14,1,0.0714285714285714,4.0,1.0,0.25
2020-07-27 00:00:00,38,2,0.0526315789473684,6.0,0.0,0
2020-07-26 00:00:00,6,0,0,,,
2020-07-25 00:00:00,6,0,0,1.0,0.0,0
2020-07-24 00:00:00,51,0,0,4.0,0.0,0
2020-07-23 00:00:00,25,2,0.08,4.0,0.0,0
2020-07-22 00:00:00,20,0,0,1.0,1.0,1
2020-07-21 00:00:00,36,4,0.1111111111111111,6.0,0.0,0
2020-07-20 00:00:00,60,4,0.0666666666666667,4.0,1.0,0.25
2020-07-19 00:00:00,5,0,0,,,
2020-07-18 00:00:00,17,1,0.0588235294117647,1.0,0.0,0
2020-07-17 00:00:00,86,3,0.0348837209302326,3.0,0.0,0
2020-07-16 00:00:00,47,1,0.0212765957446809,7.0,0.0,0
2020-07-15 00:00:00,41,3,0.0731707317073171,2.0,0.0,0
2020-07-14 00:00:00,49,8,0.163265306122449,7.0,1.0,0.1428571428571429
2020-07-13 00:00:00,38,2,0.0526315789473684,1.0,0.0,0
2020-07-12 00:00:00,2,0,0,,,
2020-07-11 00:00:00,3,1,0.3333333333333333,,,
2020-07-10 00:00:00,92,2,0.0217391304347826,,,
2020-07-09 00:00:00,59,6,0.1016949152542373,2.0,0.0,0
2020-07-08 00:00:00,61,8,0.1311475409836066,1.0,0.0,0
2020-07-07 00:00:00,80,11,0.1375,11.0,1.0,0.0909090909090909
2020-07-06 00:00:00,59,3,0.0508474576271187,3.0,0.0,0
2020-07-05 00:00:00,9,3,0.3333333333333333,1.0,0.0,0
2020-07-04 00:00:00,4,3,0.75,1.0,0.0,0
2020-07-03 00:00:00,5,1,0.2,,,
2020-07-02 00:00:00,80,12,0.15,11.0,0.0,0
