date,Greenlee_cume,Greenlee
1/12/2021,20,
1/13/2021,50,30
1/14/2021,60,10
1/18/2021,70,10
1/19/2021,80,10
1/20/2021,100,20
1/21/2021,133,33
1/22/2021,155,22
1/23/2021,175,20
1/24/2021,215,40
1/25/2021,236,21
1/27/2021,237,1
1/28/2021,279,42
1/29/2021,333,54
1/5/2021,415,82
1/6/2021,446,31
1/7/2021,488,42
1/8/2021,521,33
1/9/2021,815,294
12/21/2020,1031,216
12/22/2020,1456,425
12/23/2020,1467,11
12/24/2020,1522,55
12/29/2020,1632,110
12/30/2020,1998,366
12/31/2020,2154,156
2/1/2021,2181,27
2/10/2021,2259,78
2/11/2021,2293,34
2/12/2021,2378,85
2/15/2021,2572,194
2/16/2021,2594,22
2/17/2021,2648,54
2/18/2021,2806,158
2/2/2021,3059,253
2/22/2021,3410,351
2/23/2021,3463,53
2/24/2021,3569,106
2/25/2021,3741,172
2/26/2021,4068,327
2/28/2021,4139,71
2/3/2021,4490,351
2/4/2021,4712,222
2/5/2021,4898,186
2/8/2021,5092,194
2/9/2021,5108,16
3/1/2021,5132,24
3/10/2021,5310,178
3/11/2021,5419,109
3/12/2021,5486,67
3/15/2021,5676,190
3/16/2021,5731,55
3/17/2021,5836,105
3/18/2021,5976,140
3/19/2021,6118,142
3/2/2021,6351,233
3/22/2021,6512,161
3/23/2021,6543,31
3/24/2021,6617,74
3/25/2021,6654,37
3/26/2021,6716,62
3/28/2021,6726,10
3/29/2021,6745,19
3/3/2021,6779,34
3/30/2021,6830,51
3/31/2021,6892,62
3/4/2021,6903,11
3/5/2021,7145,242
3/8/2021,7220,75
3/9/2021,7224,4
4/1/2021,7313,89
4/12/2021,7363,50
4/13/2021,7460,97
4/14/2021,7495,35
4/15/2021,7509,14
4/16/2021,7572,63
4/2/2021,7619,47
4/20/2021,7686,67
4/22/2021,7697,11
4/27/2021,7719,22
4/30/2021,7752,33
4/5/2021,7789,37
4/6/2021,7810,21
4/7/2021,7849,39
4/8/2021,7888,39
4/9/2021,7912,24
5/10/2021,7933,21
5/12/2021,7943,10
5/13/2021,7959,16
5/18/2021,7978,19
5/20/2021,7988,10
5/21/2021,8006,18
5/24/2021,8017,11
5/25/2021,8037,20
5/27/2021,8064,27
5/4/2021,8067,3
5/5/2021,8093,26
5/6/2021,8100,7
6/1/2021,8119,19
6/10/2021,8125,6
6/15/2021,8136,11
6/16/2021,8144,8
6/17/2021,8166,22
6/2/2021,8173,7
6/22/2021,8187,14
6/23/2021,8188,1
6/24/2021,8208,20
6/29/2021,8221,13
6/3/2021,8228,7
6/8/2021,8235,7
6/9/2021,8245,10
7/1/2021,8251,6
7/12/2021,8252,1
7/13/2021,8256,4
7/15/2021,8260,4
7/19/2021,8272,12
7/2/2021,8275,3
7/20/2021,8279,4
7/21/2021,8285,6
7/22/2021,8286,1
7/23/2021,8298,12
7/26/2021,8303,5
7/27/2021,8313,10
7/28/2021,8322,9
7/29/2021,8327,5
7/6/2021,8334,7
7/7/2021,8339,5
7/8/2021,8356,17
