date,Santa Cruz_cume,Santa Cruz
1/11/2021,61,
1/12/2021,81,20
1/13/2021,101,20
1/14/2021,141,40
1/15/2021,201,60
1/19/2021,265,64
1/20/2021,310,45
1/21/2021,351,41
1/22/2021,431,80
1/25/2021,566,135
1/26/2021,737,171
1/27/2021,916,179
1/28/2021,1012,96
1/29/2021,1167,155
1/4/2021,1377,210
1/5/2021,1599,222
1/6/2021,1801,202
1/7/2021,1918,117
1/8/2021,2359,441
12/22/2020,2778,419
12/23/2020,3282,504
12/24/2020,3396,114
12/28/2020,3805,409
12/29/2020,3986,181
12/30/2020,4501,515
12/31/2020,4918,417
2/1/2021,5035,117
2/10/2021,5620,585
2/11/2021,5813,193
2/12/2021,6380,567
2/13/2021,7064,684
2/14/2021,7070,6
2/15/2021,7240,170
2/16/2021,7809,569
2/17/2021,8428,619
2/18/2021,9057,629
2/19/2021,9688,631
2/2/2021,10166,478
2/20/2021,10605,439
2/22/2021,10693,88
2/23/2021,10780,87
2/24/2021,10783,3
2/25/2021,10794,11
2/26/2021,10841,47
2/27/2021,10843,2
2/3/2021,10883,40
2/4/2021,11513,630
2/5/2021,12315,802
2/6/2021,13076,761
2/8/2021,13802,726
2/9/2021,13814,12
3/1/2021,13957,143
3/10/2021,14819,862
3/11/2021,15556,737
3/12/2021,16359,803
3/13/2021,17145,786
3/14/2021,17219,74
3/15/2021,17236,17
3/16/2021,17399,163
3/17/2021,18057,658
3/18/2021,18772,715
3/19/2021,19465,693
3/2/2021,20155,690
3/20/2021,20667,512
3/21/2021,21034,367
3/22/2021,21195,161
3/23/2021,21892,697
3/24/2021,22642,750
3/25/2021,23337,695
3/26/2021,24181,844
3/27/2021,24203,22
3/28/2021,24215,12
3/29/2021,24403,188
3/3/2021,25160,757
3/30/2021,25862,702
3/31/2021,26506,644
3/4/2021,27253,747
3/5/2021,27299,46
3/6/2021,27300,1
3/7/2021,27459,159
3/8/2021,28304,845
3/9/2021,29132,828
4/1/2021,29991,859
4/10/2021,30681,690
4/11/2021,30707,26
4/12/2021,30719,12
4/13/2021,31263,544
4/14/2021,31975,712
4/15/2021,32775,800
4/16/2021,33503,728
4/17/2021,34223,720
4/18/2021,34781,558
4/19/2021,34791,10
4/2/2021,35123,332
4/20/2021,35928,805
4/21/2021,36797,869
4/22/2021,37629,832
4/23/2021,38596,967
4/24/2021,38620,24
4/26/2021,38659,39
4/27/2021,38913,254
4/28/2021,39709,796
4/29/2021,40461,752
4/3/2021,41262,801
4/30/2021,42067,805
4/4/2021,42432,365
4/5/2021,42993,561
4/6/2021,43761,768
4/7/2021,44458,697
4/8/2021,45154,696
4/9/2021,45745,591
5/1/2021,45776,31
5/10/2021,45788,12
5/11/2021,46279,491
5/12/2021,46875,596
5/13/2021,47605,730
5/14/2021,48177,572
5/15/2021,48843,666
5/16/2021,48867,24
5/17/2021,48879,12
5/18/2021,49327,448
5/19/2021,49434,107
5/2/2021,49797,363
5/20/2021,50670,873
5/21/2021,51370,700
5/22/2021,51393,23
5/23/2021,51414,21
5/24/2021,52263,849
5/25/2021,52780,517
5/26/2021,53201,421
5/27/2021,53904,703
5/28/2021,54320,416
5/29/2021,54371,51
5/3/2021,54403,32
5/30/2021,54650,247
5/31/2021,55339,689
5/4/2021,55714,375
5/5/2021,55988,274
5/6/2021,56030,42
5/7/2021,56070,40
5/8/2021,56097,27
5/9/2021,56121,24
6/1/2021,56230,109
6/10/2021,57168,938
6/11/2021,57932,764
6/12/2021,58083,151
6/13/2021,58108,25
6/14/2021,58112,4
6/15/2021,58197,85
6/16/2021,58932,735
6/17/2021,59495,563
6/18/2021,59664,169
6/19/2021,60264,600
6/2/2021,60278,14
6/20/2021,60288,10
6/21/2021,60335,47
6/22/2021,60479,144
6/23/2021,60539,60
6/24/2021,61315,776
6/25/2021,61369,54
6/26/2021,61393,24
6/27/2021,61415,22
6/28/2021,61579,164
6/29/2021,62124,545
6/3/2021,62256,132
6/30/2021,62855,599
6/4/2021,63009,154
6/5/2021,63050,41
6/6/2021,63067,17
6/7/2021,63108,41
6/8/2021,63293,185
6/9/2021,63483,190
7/1/2021,63665,182
7/10/2021,63731,66
7/11/2021,63769,38
7/12/2021,63779,10
7/13/2021,63821,42
7/14/2021,64003,182
7/15/2021,64060,57
7/16/2021,64259,199
7/17/2021,64333,74
7/18/2021,64364,31
7/19/2021,64380,16
7/2/2021,64429,49
7/20/2021,64604,175
7/21/2021,64634,30
7/22/2021,64828,194
7/23/2021,64885,57
7/24/2021,64922,37
7/25/2021,64933,11
7/26/2021,64979,46
7/27/2021,65143,164
7/28/2021,65200,57
7/29/2021,65365,165
7/3/2021,65442,77
7/30/2021,65481,39
7/31/2021,65512,31
7/4/2021,65567,55
7/5/2021,65718,151
7/6/2021,65889,171
7/7/2021,66115,226
7/8/2021,66188,73
7/9/2021,66229,41
8/1/2021,66252,23
8/10/2021,66324,72
8/11/2021,66529,205
8/12/2021,66708,179
8/13/2021,67332,624
8/14/2021,67904,572
8/15/2021,67951,47
8/16/2021,67987,36
8/17/2021,68269,282
8/18/2021,68457,188
8/19/2021,68655,198
8/2/2021,68848,193
8/20/2021,68924,76
8/21/2021,68961,37
8/22/2021,68986,25
8/23/2021,69072,86
8/24/2021,69267,195
8/25/2021,69432,165
8/3/2021,69628,196
8/4/2021,69696,68
8/5/2021,69743,47
8/6/2021,69779,36
8/7/2021,69851,72
8/8/2021,70045,194
8/9/2021,70163,118
