date,Graham_cume,Graham
1/1/2021,1,
1/11/2021,63,62
1/12/2021,73,10
1/13/2021,84,11
1/14/2021,146,62
1/15/2021,187,41
1/16/2021,197,10
1/18/2021,202,5
1/19/2021,203,1
1/2/2021,287,84
1/20/2021,352,65
1/21/2021,426,74
1/22/2021,526,100
1/23/2021,718,192
1/25/2021,770,52
1/26/2021,844,74
1/27/2021,950,106
1/28/2021,1123,173
1/29/2021,1402,279
1/4/2021,1456,54
1/5/2021,1511,55
1/6/2021,1567,56
1/7/2021,1728,161
1/8/2021,1846,118
12/18/2020,2092,246
12/23/2020,2307,215
12/26/2020,2362,55
12/28/2020,2468,106
12/29/2020,2583,115
12/30/2020,2686,103
12/31/2020,2938,252
2/1/2021,3051,113
2/10/2021,3200,149
2/11/2021,3385,185
2/12/2021,3604,219
2/13/2021,3913,309
2/15/2021,4113,200
2/16/2021,4226,113
2/17/2021,4375,149
2/18/2021,4519,144
2/19/2021,4792,273
2/2/2021,5156,364
2/20/2021,5386,230
2/22/2021,5457,71
2/23/2021,5595,138
2/24/2021,5758,163
2/25/2021,5976,218
2/26/2021,6335,359
2/28/2021,6558,223
2/3/2021,6663,105
2/4/2021,6813,150
2/5/2021,6988,175
2/6/2021,7157,169
2/8/2021,7436,279
2/9/2021,7449,13
3/1/2021,7598,149
3/10/2021,7814,216
3/11/2021,8014,200
3/12/2021,8220,206
3/13/2021,8407,187
3/15/2021,8619,212
3/16/2021,8620,1
3/17/2021,8759,139
3/18/2021,8954,195
3/19/2021,9157,203
3/2/2021,9390,233
3/20/2021,9524,134
3/22/2021,9778,254
3/23/2021,9978,200
3/24/2021,10131,153
3/25/2021,10337,206
3/26/2021,10581,244
3/27/2021,10734,153
3/29/2021,10750,16
3/3/2021,10917,167
3/30/2021,11139,222
3/31/2021,11359,220
3/4/2021,11556,197
3/5/2021,11713,157
3/6/2021,11798,85
3/7/2021,12027,229
3/8/2021,12180,153
3/9/2021,12515,335
4/1/2021,12707,192
4/10/2021,12785,78
4/11/2021,12809,24
4/12/2021,12814,5
4/13/2021,12933,119
4/14/2021,13085,152
4/15/2021,13447,362
4/16/2021,13781,334
4/17/2021,13885,104
4/19/2021,14022,137
4/2/2021,14027,5
4/20/2021,14081,54
4/21/2021,14212,131
4/22/2021,14447,235
4/23/2021,14570,123
4/24/2021,14720,150
4/26/2021,14736,16
4/27/2021,14805,69
4/28/2021,15009,204
4/29/2021,15277,268
4/3/2021,15524,247
4/30/2021,15647,123
4/4/2021,15753,106
4/5/2021,15899,146
4/6/2021,16013,114
4/7/2021,16123,110
4/8/2021,16401,278
4/9/2021,16433,32
5/1/2021,16444,11
5/10/2021,16445,1
5/11/2021,16489,44
5/12/2021,16578,89
5/13/2021,16835,257
5/14/2021,17057,222
5/15/2021,17090,33
5/16/2021,17137,47
5/17/2021,17138,1
5/18/2021,17164,26
5/19/2021,17220,56
5/2/2021,17375,155
5/20/2021,17496,121
5/21/2021,17529,33
5/22/2021,17543,14
5/23/2021,17546,3
5/24/2021,17609,63
5/25/2021,17672,63
5/26/2021,17824,152
5/27/2021,18024,200
5/28/2021,18102,78
5/29/2021,18143,41
5/3/2021,18144,1
5/30/2021,18204,60
5/31/2021,18249,45
5/4/2021,18274,25
5/5/2021,18362,88
5/6/2021,18413,51
5/7/2021,18419,6
5/8/2021,18420,1
5/9/2021,18423,3
6/1/2021,18474,51
6/10/2021,18533,59
6/11/2021,18584,51
6/12/2021,18634,50
6/13/2021,18645,11
6/14/2021,18650,5
6/15/2021,18680,30
6/16/2021,18700,20
6/17/2021,18722,22
6/18/2021,18841,119
6/19/2021,18855,14
6/2/2021,18870,15
6/20/2021,18872,2
6/21/2021,18914,42
6/22/2021,18949,35
6/23/2021,18988,39
6/24/2021,19039,51
6/25/2021,19097,58
6/26/2021,19108,11
6/27/2021,19113,5
6/28/2021,19140,27
6/29/2021,19160,20
6/3/2021,19177,17
6/30/2021,19204,27
6/4/2021,19254,50
6/5/2021,19262,8
6/6/2021,19263,1
6/7/2021,19296,33
6/8/2021,19321,25
6/9/2021,19380,59
7/1/2021,19421,41
7/10/2021,19452,31
7/11/2021,19461,9
7/12/2021,19481,20
7/13/2021,19498,17
7/14/2021,19544,46
7/15/2021,19591,47
7/16/2021,19622,31
7/17/2021,19629,7
7/18/2021,19630,1
7/19/2021,19657,27
7/2/2021,19670,13
7/20/2021,19726,56
7/21/2021,19773,47
7/22/2021,19820,47
7/23/2021,19832,12
7/24/2021,19834,2
7/25/2021,19868,34
7/26/2021,19897,29
7/27/2021,19955,58
7/28/2021,20027,72
7/29/2021,20107,80
7/3/2021,20152,45
7/30/2021,20157,5
7/31/2021,20236,79
7/5/2021,20275,39
7/6/2021,20351,76
7/7/2021,20410,59
7/8/2021,20457,47
7/9/2021,20484,27
8/1/2021,20490,6
8/10/2021,20542,52
8/11/2021,20559,17
8/12/2021,20626,67
8/13/2021,20711,85
8/14/2021,20775,64
8/15/2021,20799,24
8/16/2021,20807,8
8/17/2021,20866,59
8/18/2021,20892,26
8/19/2021,20953,61
8/2/2021,21056,103
8/20/2021,21176,120
8/21/2021,21193,17
8/22/2021,21202,9
8/23/2021,21278,76
8/24/2021,21334,56
8/25/2021,21420,86
8/3/2021,21555,135
8/4/2021,21673,118
8/5/2021,21721,48
8/6/2021,21725,4
8/7/2021,21785,60
8/8/2021,21821,36
8/9/2021,21852,31
