date,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise
1/1/2021,334,320,274,279,205,3
1/10/2021,456,453,384,388,636,6
1/11/2021,468,467,405,405,834,6
1/12/2021,474,473,410,415,1047,6
1/13/2021,493,506,432,439,1359,6
1/14/2021,498,514,445,450,1607,6
1/15/2021,503,521,455,460,2034,6
1/16/2021,519,526,463,472,2390,6
1/17/2021,522,527,466,473,2403,6
1/18/2021,525,532,473,482,2579,6
1/19/2021,542,544,485,497,2784,6
1/2/2021,335,323,277,282,208,3
1/20/2021,551,559,500,521,3161,6
1/21/2021,557,573,513,542,3540,6
1/22/2021,570,581,521,550,3707,6
1/23/2021,596,618,556,584,4065,6
1/24/2021,606,622,563,604,4137,6
1/25/2021,628,641,599,647,4325,6
1/26/2021,650,684,647,706,4540,8
1/27/2021,679,721,689,753,4923,8
1/28/2021,729,759,744,828,5536,9
1/29/2021,770,803,813,897,5903,10
1/3/2021,347,337,288,296,233,3
1/30/2021,772,808,815,902,5921,10
1/31/2021,777,811,819,910,5948,10
1/4/2021,353,346,293,298,254,3
1/5/2021,372,373,307,313,263,3
1/6/2021,393,392,325,337,280,4
1/7/2021,401,398,335,346,310,4
1/8/2021,431,431,364,369,340,5
1/9/2021,449,451,384,386,633,6
10/1/2021,12514,8494,8102,11058,22621,6132
10/10/2021,12655,8571,8182,11104,22670,6207
10/11/2021,12668,8581,8189,11108,22676,6217
10/12/2021,12688,8586,8193,11112,22679,6229
10/13/2021,12700,8600,8199,11114,22682,6239
10/14/2021,12723,8611,8212,11127,22686,6248
10/2/2021,12522,8495,8106,11061,22622,6139
10/3/2021,12526,8496,8108,11061,22622,6140
10/4/2021,12547,8501,8124,11064,22629,6147
10/5/2021,12575,8512,8134,11070,22632,6156
10/6/2021,12596,8530,8152,11077,22641,6164
10/7/2021,12620,8542,8161,11087,22650,6178
10/8/2021,12635,8560,8175,11101,22666,6199
10/9/2021,12650,8567,8179,11103,22668,6206
12/1/2020,,1,,1,1,
12/10/2020,,1,,1,1,
12/11/2020,,1,,1,1,
12/12/2020,,1,,1,1,
12/13/2020,,1,,1,1,
12/14/2020,,1,,1,1,
12/15/2020,,1,1,1,1,
12/16/2020,,1,2,1,1,
12/17/2020,,1,7,4,4,
12/18/2020,1,3,8,8,4,
12/19/2020,1,5,10,9,5,
12/2/2020,,1,,1,1,
12/20/2020,1,5,10,9,5,
12/21/2020,3,6,11,13,7,
12/22/2020,72,81,62,61,18,
12/23/2020,179,179,153,151,43,1
12/24/2020,209,208,178,166,53,1
12/25/2020,209,208,178,166,53,1
12/26/2020,211,213,180,177,54,1
12/27/2020,211,213,180,177,54,1
12/28/2020,227,228,199,196,66,1
12/29/2020,243,247,212,215,73,1
12/3/2020,,1,,1,1,
12/30/2020,287,284,247,248,128,1
12/31/2020,332,317,272,278,187,3
12/4/2020,,1,,1,1,
12/5/2020,,1,,1,1,
12/6/2020,,1,,1,1,
12/7/2020,,1,,1,1,
12/8/2020,,1,,1,1,
12/9/2020,,1,,1,1,
2/1/2021,785,827,830,929,6108,10
2/10/2021,1046,1066,1073,1226,8019,19
2/11/2021,1163,1179,1207,1385,9048,22
2/12/2021,1233,1238,1271,1463,9722,27
2/13/2021,1257,1253,1295,1494,9907,28
2/14/2021,1257,1254,1295,1494,9919,28
2/15/2021,1260,1265,1309,1509,10073,28
2/16/2021,1267,1271,1317,1533,10305,30
2/17/2021,1273,1279,1331,1557,10482,30
2/18/2021,1278,1291,1347,1580,10671,30
2/19/2021,1282,1296,1359,1595,10854,31
2/2/2021,792,839,841,946,6250,11
2/20/2021,1287,1302,1368,1602,10866,31
2/21/2021,1288,1302,1371,1606,10873,31
2/22/2021,1290,1306,1377,1614,10908,31
2/23/2021,1292,1306,1378,1615,10953,31
2/24/2021,1324,1328,1406,1638,11184,32
2/25/2021,1364,1351,1457,1739,11929,34
2/26/2021,1401,1380,1496,1818,12383,36
2/27/2021,1461,1435,1557,1906,12695,38
2/28/2021,1463,1437,1559,1908,12725,38
2/3/2021,818,868,866,975,6519,12
2/4/2021,838,886,882,1002,6781,13
2/5/2021,873,926,939,1042,6969,14
2/6/2021,876,927,945,1055,7052,14
2/7/2021,877,930,946,1057,7069,14
2/8/2021,887,939,956,1072,7183,15
2/9/2021,922,974,1000,1125,7482,16
3/1/2021,1465,1445,1567,1938,12958,41
3/10/2021,1720,1719,1913,3832,15638,57
3/11/2021,1772,1770,1980,4062,15931,60
3/12/2021,1810,1807,2008,4233,16111,63
3/13/2021,1833,1830,2032,4366,16266,64
3/14/2021,1835,1832,2033,4375,16282,64
3/15/2021,1895,1873,2074,4675,16508,66
3/16/2021,1957,1928,2159,4879,16699,74
3/17/2021,2000,1977,2222,5100,16934,86
3/18/2021,2139,2059,2389,5411,17311,98
3/19/2021,2211,2124,2510,5666,17554,109
3/2/2021,1473,1457,1582,1982,13196,41
3/20/2021,2269,2177,2720,5990,17790,113
3/21/2021,2274,2184,2734,5998,17796,113
3/22/2021,2303,2228,2837,6164,17924,115
3/23/2021,2341,2259,2908,6242,17995,124
3/24/2021,2417,2325,3001,6407,18132,148
3/25/2021,2745,2589,3270,6683,18377,198
3/26/2021,2939,2692,3421,6853,18536,229
3/27/2021,3076,2822,3565,6915,18580,241
3/28/2021,3082,2827,3567,6919,18586,245
3/29/2021,3143,2860,3616,7025,18652,256
3/3/2021,1508,1500,1630,2104,13701,45
3/30/2021,3247,2929,3670,7084,18706,285
3/31/2021,3391,3040,3861,7186,18818,311
3/4/2021,1564,1565,1702,2636,14294,47
3/5/2021,1598,1594,1738,2863,14658,51
3/6/2021,1610,1607,1771,3128,15109,51
3/7/2021,1612,1610,1778,3146,15130,52
3/8/2021,1623,1622,1788,3280,15286,52
3/9/2021,1677,1688,1875,3640,15468,55
4/1/2021,3593,3218,4024,7363,18988,340
4/10/2021,4997,4199,4892,8205,19813,618
4/11/2021,5022,4208,4899,8221,19823,627
4/12/2021,5126,4291,4964,8297,19910,648
4/13/2021,5188,4333,5009,8340,19972,665
4/14/2021,5287,4411,5056,8386,20018,675
4/15/2021,5448,4588,5190,8486,20107,688
4/16/2021,5549,4670,5268,8558,20175,700
4/17/2021,5592,4708,5293,8588,20201,708
4/18/2021,5600,4711,5297,8592,20203,714
4/19/2021,5668,4745,5352,8646,20240,725
4/2/2021,3784,3346,4164,7460,19102,371
4/20/2021,5716,4782,5385,8690,20295,732
4/21/2021,5829,4853,5435,8752,20345,752
4/22/2021,5938,4947,5506,8826,20396,775
4/23/2021,6039,5009,5576,8872,20425,791
4/24/2021,6083,5033,5600,8892,20446,811
4/25/2021,6088,5038,5605,8895,20450,815
4/26/2021,6131,5071,5647,8930,20492,833
4/27/2021,6168,5097,5677,8967,20519,847
4/28/2021,6243,5137,5745,9005,20565,860
4/29/2021,6344,5211,5811,9061,20636,876
4/3/2021,3897,3433,4231,7501,19145,392
4/30/2021,6409,5248,5847,9103,20688,889
4/4/2021,3906,3435,4236,7506,19148,401
4/5/2021,3967,3485,4291,7573,19214,416
4/6/2021,4137,3566,4362,7662,19323,453
4/7/2021,4418,3817,4546,7833,19468,495
4/8/2021,4656,3996,4689,8007,19644,538
4/9/2021,4858,4112,4822,8121,19747,589
5/1/2021,6433,5269,5859,9115,20703,903
5/10/2021,6727,5478,6058,9304,20892,1172
5/11/2021,6756,5491,6077,9312,20912,1206
5/12/2021,6787,5514,6098,9341,20942,1253
5/13/2021,6870,5557,6136,9369,20993,1343
5/14/2021,6910,5587,6156,9405,21019,1443
5/15/2021,6930,5594,6175,9416,21029,1580
5/16/2021,6945,5605,6182,9417,21031,1594
