date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-02-04 00:00:00,49.0,14.0,0.2857142857142857,,,
2021-02-03 00:00:00,56.0,9.0,0.1607142857142857,1.0,0.0,0
2021-02-02 00:00:00,41.0,5.0,0.1219512195121951,1.0,0.0,0
2021-02-01 00:00:00,57.0,9.0,0.1578947368421053,2.0,1.0,0.5
2021-01-31 00:00:00,20.0,1.0,0.05,,,
2021-01-30 00:00:00,21.0,6.0,0.2857142857142857,,,
2021-01-29 00:00:00,60.0,11.0,0.1833333333333333,5.0,1.0,0.2
2021-01-28 00:00:00,46.0,12.0,0.2608695652173913,1.0,1.0,1
2021-01-27 00:00:00,66.0,11.0,0.1666666666666667,2.0,2.0,1
2021-01-26 00:00:00,111.0,23.0,0.2072072072072072,1.0,0.0,0
2021-01-25 00:00:00,44.0,8.0,0.1818181818181818,1.0,0.0,0
2021-01-24 00:00:00,8.0,0.0,0,,,
2021-01-23 00:00:00,12.0,0.0,0,,,
2021-01-22 00:00:00,46.0,16.0,0.3478260869565218,1.0,1.0,1
2021-01-21 00:00:00,66.0,9.0,0.1363636363636364,2.0,2.0,1
2021-01-20 00:00:00,40.0,21.0,0.525,1.0,1.0,1
2021-01-19 00:00:00,72.0,19.0,0.2638888888888889,2.0,1.0,0.5
2021-01-18 00:00:00,106.0,15.0,0.1415094339622642,3.0,0.0,0
2021-01-17 00:00:00,5.0,3.0,0.6,,,
2021-01-16 00:00:00,10.0,3.0,0.3,1.0,1.0,1
2021-01-15 00:00:00,46.0,16.0,0.3478260869565218,,,
2021-01-14 00:00:00,71.0,14.0,0.1971830985915493,2.0,1.0,0.5
2021-01-13 00:00:00,79.0,18.0,0.2278481012658228,3.0,2.0,0.6666666666666666
2021-01-12 00:00:00,68.0,21.0,0.3088235294117647,,,
2021-01-11 00:00:00,79.0,21.0,0.2658227848101266,6.0,1.0,0.1666666666666667
2021-01-10 00:00:00,11.0,1.0,0.0909090909090909,,,
2021-01-09 00:00:00,12.0,3.0,0.25,,,
2021-01-08 00:00:00,52.0,12.0,0.2307692307692308,4.0,2.0,0.5
2021-01-07 00:00:00,57.0,13.0,0.2280701754385965,3.0,1.0,0.3333333333333333
2021-01-06 00:00:00,59.0,18.0,0.3050847457627119,4.0,0.0,0
2021-01-05 00:00:00,89.0,22.0,0.2471910112359551,,,
2021-01-04 00:00:00,90.0,33.0,0.3666666666666667,2.0,0.0,0
2021-01-03 00:00:00,10.0,0.0,0,,,
2021-01-02 00:00:00,24.0,8.0,0.3333333333333333,,,
