date,Arizona,Arizona_cum,StatePODs,StatePODs_cum
2021-02-18 00:00:00,33509,1387118,9208.0,300995.0
2021-02-17 00:00:00,43655,1353609,10492.0,291787.0
2021-02-16 00:00:00,41444,1309954,11077.0,281295.0
2021-02-15 00:00:00,29632,1268510,11029.0,270218.0
2021-02-14 00:00:00,16533,1238878,10226.0,259189.0
2021-02-13 00:00:00,44447,1222345,10478.0,248963.0
2021-02-12 00:00:00,58070,1177898,11055.0,238485.0
2021-02-11 00:00:00,49200,1119828,10848.0,227430.0
2021-02-10 00:00:00,48788,1070628,11076.0,216582.0
2021-02-09 00:00:00,42682,1021840,11036.0,205506.0
2021-02-08 00:00:00,37572,979158,13483.0,194470.0
2021-02-07 00:00:00,15931,941586,11441.0,180987.0
2021-02-06 00:00:00,36881,925655,10992.0,169546.0
2021-02-05 00:00:00,42258,888774,9138.0,158554.0
2021-02-04 00:00:00,44923,846516,9939.0,149416.0
2021-02-03 00:00:00,40979,801593,8972.0,139477.0
2021-02-02 00:00:00,35682,760614,8729.0,130505.0
2021-02-01 00:00:00,28196,724932,8253.0,121776.0
2021-01-31 00:00:00,10119,696736,4835.0,113523.0
2021-01-30 00:00:00,23405,686617,4759.0,108688.0
2021-01-29 00:00:00,36899,663212,4890.0,103929.0
2021-01-28 00:00:00,36491,626313,5335.0,99039.0
2021-01-27 00:00:00,37412,589822,5504.0,93704.0
2021-01-26 00:00:00,35848,552410,6125.0,88200.0
2021-01-25 00:00:00,28188,516562,5020.0,82075.0
2021-01-24 00:00:00,15771,488374,5713.0,77055.0
2021-01-23 00:00:00,27578,472603,5759.0,71342.0
2021-01-22 00:00:00,36471,445025,5558.0,65583.0
2021-01-21 00:00:00,33994,408554,6162.0,60025.0
2021-01-20 00:00:00,30895,374560,5694.0,53863.0
2021-01-19 00:00:00,26120,343665,6002.0,48169.0
2021-01-18 00:00:00,18687,317545,6008.0,42167.0
2021-01-17 00:00:00,9224,298858,5970.0,36159.0
2021-01-16 00:00:00,15620,289634,5663.0,30189.0
2021-01-15 00:00:00,23918,274014,5947.0,24526.0
2021-01-14 00:00:00,24205,250096,5885.0,18579.0
2021-01-13 00:00:00,24681,225891,6323.0,12694.0
2021-01-12 00:00:00,22654,201210,5637.0,6371.0
2021-01-11 00:00:00,15305,178556,734.0,734.0
2021-01-10 00:00:00,3131,163251,,
2021-01-09 00:00:00,7837,160120,,
2021-01-08 00:00:00,11455,152283,,
2021-01-07 00:00:00,12001,140828,,
2021-01-06 00:00:00,11525,128827,,
2021-01-05 00:00:00,8580,117302,,
2021-01-04 00:00:00,8299,108722,,
2021-01-03 00:00:00,3150,100423,,
2021-01-02 00:00:00,7492,97273,,
2021-01-01 00:00:00,351,89781,,
2020-12-31 00:00:00,7627,89430,,
2020-12-30 00:00:00,14564,81803,,
2020-12-29 00:00:00,12493,67239,,
2020-12-28 00:00:00,8957,54746,,
2020-12-27 00:00:00,2620,45789,,
2020-12-26 00:00:00,6487,43169,,
2020-12-25 00:00:00,132,36682,,
2020-12-24 00:00:00,3716,36550,,
2020-12-23 00:00:00,9519,32834,,
2020-12-22 00:00:00,7581,23315,,
2020-12-21 00:00:00,5313,15734,,
2020-12-20 00:00:00,993,10421,,
2020-12-19 00:00:00,2540,9428,,
2020-12-18 00:00:00,3443,6888,,
2020-12-17 00:00:00,2854,3445,,
2020-12-16 00:00:00,532,591,,
2020-12-15 00:00:00,23,59,,
2020-12-14 00:00:00,3,36,,
2020-12-13 00:00:00,1,33,,
2020-12-12 00:00:00,1,32,,
2020-12-11 00:00:00,6,31,,
2020-12-10 00:00:00,1,25,,
2020-12-09 00:00:00,2,24,,
2020-12-07 00:00:00,5,22,,
2020-12-04 00:00:00,1,17,,
2020-12-03 00:00:00,3,16,,
2020-12-02 00:00:00,2,13,,
2020-12-01 00:00:00,11,11,,
