date,Maricopa_cume,Maricopa
2020-12-01,161,
2020-12-02,178,17
2020-12-03,187,9
2020-12-04,192,5
2020-12-05,194,2
2020-12-07,203,9
2020-12-08,210,7
2020-12-09,218,8
2020-12-10,232,14
2020-12-11,240,8
2020-12-12,243,3
2020-12-13,250,7
2020-12-14,263,13
2020-12-15,298,35
2020-12-16,350,52
2020-12-17,1606,1256
2020-12-18,3275,1669
2020-12-19,4932,1657
2020-12-20,5930,998
2020-12-21,9093,3163
2020-12-22,13181,4088
2020-12-23,17880,4699
2020-12-24,19437,1557
2020-12-25,19442,5
2020-12-26,24387,4945
2020-12-27,26621,2234
2020-12-28,31775,5154
2020-12-29,39537,7762
2020-12-30,48073,8536
2020-12-31,52083,4010
2021-01-01,53499,1416
2021-01-02,59540,6041
2021-01-03,62091,2551
2021-01-04,66761,4670
2021-01-05,71087,4326
2021-01-06,75977,4890
2021-01-07,81293,5316
2021-01-08,85864,4571
2021-01-09,90494,4630
2021-01-10,93103,2609
2021-01-11,102632,9529
2021-01-12,118573,15941
2021-01-13,135772,17199
2021-01-14,152381,16609
2021-01-15,167682,15301
2021-01-16,179181,11499
2021-01-17,187541,8360
2021-01-18,200308,12767
2021-01-19,217904,17596
2021-01-20,236682,18778
2021-01-21,256458,19776
2021-01-22,278556,22098
2021-01-23,297477,18921
2021-01-24,309787,12310
2021-01-25,325984,16197
2021-01-26,348164,22180
2021-01-27,368520,20356
2021-01-28,387455,18935
2021-01-29,408916,21461
2021-01-30,424415,15499
2021-01-31,432470,8055
2021-02-01,450640,18170
2021-02-02,472858,22218
2021-02-03,494946,22088
2021-02-04,520165,25219
2021-02-05,542850,22685
2021-02-06,566840,23990
2021-02-07,579745,12905
2021-02-08,603382,23637
2021-02-09,630751,27369
2021-02-10,656839,26088
2021-02-11,683260,26421
2021-02-12,718828,35568
2021-02-13,746778,27950
2021-02-14,760012,13234
2021-02-15,779553,19541
2021-02-16,807215,27662
2021-02-17,835764,28549
2021-02-18,863990,28226
2021-02-19,892643,28653
2021-02-20,918045,25402
2021-02-21,931205,13160
2021-02-22,950103,18898
2021-02-23,978951,28848
2021-02-24,1009934,30983
2021-02-25,1039679,29745
2021-02-26,1076240,36561
2021-02-27,1106735,30495
2021-02-28,1124139,17404
2021-03-01,1150631,26492
2021-03-02,1178443,27812
2021-03-03,1208223,29780
2021-03-04,1238945,30722
2021-03-05,1270938,31993
2021-03-06,1298054,27116
2021-03-07,1315547,17493
2021-03-08,1345008,29461
2021-03-09,1376635,31627
2021-03-10,1411817,35182
2021-03-11,1448354,36537
2021-03-12,1489540,41186
2021-03-13,1520811,31271
2021-03-14,1540637,19826
2021-03-15,1568650,28013
2021-03-16,1599557,30907
2021-03-17,1635530,35973
2021-03-18,1671456,35926
2021-03-19,1705798,34342
2021-03-20,1737316,31518
2021-03-21,1759327,22011
2021-03-22,1785453,26126
2021-03-23,1812215,26762
2021-03-24,1848078,35863
2021-03-25,1888893,40815
2021-03-26,1929247,40354
2021-03-27,1964645,35398
2021-03-28,1991794,27149
2021-03-29,2030761,38967
2021-03-30,2070776,40015
2021-03-31,2115543,44767
2021-04-01,2163100,47557
2021-04-02,2205248,42148
2021-04-03,2236905,31657
2021-04-04,2249257,12352
2021-04-05,2283851,34594
2021-04-06,2322565,38714
2021-04-07,2366486,43921
2021-04-08,2411610,45124
2021-04-09,2452469,40859
2021-04-10,2484105,31636
2021-04-11,2506284,22179
2021-04-12,2537185,30901
2021-04-13,2567613,30428
2021-04-14,2601791,34178
2021-04-15,2638495,36704
2021-04-16,2674762,36267
2021-04-17,2702921,28159
2021-04-18,2724024,21103
2021-04-19,2756417,32393
2021-04-20,2789562,33145
2021-04-21,2826964,37402
2021-04-22,2864625,37661
2021-04-23,2898178,33553
2021-04-24,2922228,24050
2021-04-25,2939681,17453
2021-04-26,2966254,26573
2021-04-27,2993185,26931
2021-04-28,3020850,27665
