date,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo
12/9/2020,1,,1,1,,1
12/9/2021,6478,4853,5348,7625,15498,8550
2/1/2021,1133,1158,1455,2001,5439,251
2/10/2021,1369,1422,1871,2680,7162,447
2/11/2021,1491,1507,1947,2782,7425,486
2/12/2021,1555,1558,1994,2857,7678,501
2/13/2021,1763,1662,2087,2935,7786,533
2/14/2021,1766,1663,2089,2942,7816,535
2/15/2021,1773,1669,2095,2957,7906,536
2/16/2021,1801,1692,2127,2993,8191,558
2/17/2021,1851,1735,2177,3041,8433,641
2/18/2021,1888,1763,2212,3099,8639,660
2/19/2021,1938,1793,2247,3148,8723,675
2/2/2021,1151,1177,1485,2035,5682,258
2/20/2021,1972,1810,2261,3163,8744,695
2/21/2021,1977,1811,2263,3164,8756,698
2/22/2021,2032,1851,2303,3200,8813,709
2/23/2021,2103,1892,2336,3267,8941,743
2/24/2021,2141,1913,2356,3312,9068,752
2/25/2021,2187,1963,2406,3388,9358,882
2/26/2021,2248,2004,2455,3421,9479,964
2/27/2021,2263,2014,2463,3437,9519,966
2/28/2021,2266,2014,2467,3441,9525,968
2/3/2021,1176,1206,1521,2103,5995,261
2/4/2021,1195,1235,1568,2159,6215,281
2/5/2021,1210,1253,1600,2286,6377,288
2/6/2021,1268,1318,1751,2537,6490,388
2/7/2021,1268,1318,1752,2537,6498,389
2/8/2021,1297,1360,1792,2564,6695,402
2/9/2021,1307,1383,1820,2615,6905,413
3/1/2021,2307,2036,2491,3469,9619,977
3/10/2021,2559,2194,2706,3979,10586,1133
3/11/2021,2593,2228,2726,4099,10783,1140
3/12/2021,2623,2239,2743,4173,10886,1144
3/13/2021,2633,2242,2751,4193,10919,1147
3/14/2021,2633,2243,2752,4201,10934,1148
3/15/2021,2659,2267,2804,4357,11101,1159
3/16/2021,2687,2284,2830,4398,11180,1165
3/17/2021,2729,2324,2876,4506,11294,1168
3/18/2021,2776,2356,2913,4646,11508,1194
3/19/2021,2802,2380,2942,4716,11598,1203
3/2/2021,2344,2057,2511,3515,9741,985
3/20/2021,2812,2384,2945,4725,11623,1208
3/21/2021,2814,2384,2949,4728,11640,1212
3/22/2021,2848,2413,2971,4778,11720,1217
3/23/2021,2889,2456,3026,4897,11933,1252
3/24/2021,2942,2516,3080,4993,12054,1285
3/25/2021,2982,2540,3121,5065,12163,1320
3/26/2021,3013,2569,3167,5126,12225,1358
3/27/2021,3053,2590,3185,5143,12240,1364
3/28/2021,3061,2592,3187,5149,12243,1366
3/29/2021,3107,2624,3230,5205,12329,1373
3/3/2021,2365,2076,2547,3583,9906,1027
3/30/2021,3152,2646,3256,5257,12389,1387
3/31/2021,3215,2692,3303,5323,12468,1415
3/4/2021,2387,2087,2563,3654,10131,1075
3/5/2021,2413,2103,2583,3699,10197,1091
3/6/2021,2462,2128,2622,3746,10230,1099
3/7/2021,2463,2130,2627,3758,10240,1101
3/8/2021,2475,2138,2639,3806,10334,1106
3/9/2021,2517,2164,2668,3873,10417,1117
4/1/2021,3258,2724,3358,5381,12552,1429
4/10/2021,3558,2939,3573,5649,12947,1573
4/11/2021,3563,2944,3578,5658,12958,1577
4/12/2021,3598,2991,3621,5689,13011,1585
4/13/2021,3620,3009,3646,5719,13058,1608
4/14/2021,3659,3036,3664,5749,13094,1618
4/15/2021,3703,3061,3696,5778,13126,1633
4/16/2021,3741,3085,3715,5807,13143,1648
4/17/2021,3751,3092,3721,5817,13157,1649
4/18/2021,3754,3095,3724,5820,13165,1649
4/19/2021,3789,3129,3744,5845,13191,1656
4/2/2021,3291,2753,3392,5411,12605,1467
4/20/2021,3832,3174,3764,5868,13219,1666
4/21/2021,3867,3216,3795,5880,13249,1672
4/22/2021,3917,3254,3825,5904,13262,1677
4/23/2021,3945,3277,3839,5922,13282,1689
4/24/2021,3953,3282,3851,5929,13295,1690
4/25/2021,3954,3287,3854,5932,13296,1693
4/26/2021,3969,3296,3868,5949,13322,1699
4/27/2021,3989,3311,3876,5972,13354,1714
4/28/2021,4014,3328,3885,5990,13383,1722
4/29/2021,4040,3342,3907,6009,13413,1737
4/3/2021,3301,2758,3398,5418,12616,1469
4/30/2021,4055,3352,3920,6025,13428,1750
4/4/2021,3302,2760,3400,5422,12617,1469
4/5/2021,3326,2785,3425,5454,12690,1480
4/6/2021,3366,2811,3447,5498,12749,1494
4/7/2021,3420,2846,3473,5531,12790,1513
4/8/2021,3487,2900,3530,5584,12866,1526
4/9/2021,3538,2925,3556,5621,12922,1535
5/1/2021,4059,3354,3924,6033,13433,1751
5/10/2021,4186,3416,3993,6132,13563,1792
5/11/2021,4202,3420,3999,6146,13583,1824
5/12/2021,4220,3425,4010,6158,13593,1846
5/13/2021,4239,3445,4018,6170,13608,1997
5/14/2021,4256,3452,4040,6184,13627,2270
5/15/2021,4262,3460,4046,6191,13632,2288
5/16/2021,4263,3463,4049,6194,13637,2298
5/17/2021,4285,3476,4058,6206,13646,2390
5/18/2021,4310,3493,4070,6219,13658,2541
5/19/2021,4335,3506,4091,6223,13677,2704
5/2/2021,4060,3354,3924,6034,13436,1751
5/20/2021,4350,3515,4100,6237,13690,2812
5/21/2021,4368,3528,4108,6246,13700,2919
5/22/2021,4378,3538,4110,6248,13705,3127
5/23/2021,4383,3541,4116,6255,13713,3134
5/24/2021,4397,3555,4132,6274,13733,3190
5/25/2021,4417,3566,4146,6292,13745,3293
5/26/2021,4435,3570,4154,6304,13760,3371
5/27/2021,4454,3577,4158,6316,13774,3433
5/28/2021,4468,3580,4167,6323,13780,3485
5/29/2021,4471,3580,4171,6328,13785,3491
5/3/2021,4085,3363,3941,6051,13460,1761
5/30/2021,4476,3582,4172,6329,13787,3496
5/31/2021,4478,3584,4174,6332,13789,3498
5/4/2021,4108,3377,3952,6074,13484,1763
5/5/2021,4119,3385,3961,6082,13498,1771
5/6/2021,4146,3397,3976,6100,13527,1777
5/7/2021,4161,3406,3982,6109,13541,1785
5/8/2021,4167,3408,3986,6111,13543,1786
5/9/2021,4168,3410,3987,6114,13545,1787
6/1/2021,4495,3595,4176,6348,13803,3543
6/10/2021,4594,3654,4222,6396,13875,3842
6/11/2021,4605,3660,4230,6406,13881,3884
6/12/2021,4608,3661,4232,6406,13883,3892
6/13/2021,4609,3661,4232,6406,13883,3892
6/14/2021,4620,3671,4240,6413,13895,3920
6/15/2021,4628,3678,4250,6419,13905,3969
6/16/2021,4639,3686,4259,6428,13912,4015
6/17/2021,4648,3695,4263,6433,13917,4036
6/18/2021,4658,3700,4269,6440,13927,4059
6/19/2021,4662,3703,4270,6446,13927,4062
6/2/2021,4511,3603,4180,6354,13812,3581
6/20/2021,4667,3704,4274,6447,13927,4064
6/21/2021,4676,3712,4282,6456,13935,4090
6/22/2021,4688,3717,4289,6457,13943,4155
6/23/2021,4698,3722,4293,6463,13950,4184
6/24/2021,4711,3727,4297,6469,13956,4216
6/25/2021,4720,3736,4298,6474,13963,4249
6/26/2021,4723,3737,4299,6475,13967,4253
6/27/2021,4725,3740,4299,6477,13968,4254
6/28/2021,4735,3747,4308,6483,13974,4284
6/29/2021,4747,3754,4311,6486,13980,4318
6/3/2021,4522,3610,4186,6359,13830,3620
6/30/2021,4765,3761,4314,6495,13994,4356
6/4/2021,4538,3618,4189,6366,13843,3660
6/5/2021,4540,3618,4192,6368,13846,3667
6/6/2021,4540,3620,4193,6369,13848,3675
6/7/2021,4550,3633,4198,6377,13852,3711
6/8/2021,4561,3640,4203,6384,13855,3748
6/9/2021,4578,3649,4212,6390,13864,3798
7/1/2021,4776,3766,4321,6498,14003,4398
7/10/2021,4839,3812,4364,6533,14054,4529
