Category,value
Apache,534
Cochise,440
Coconino,404
Gila,294
Graham,149
Greenlee,24
La Paz,105
Maricopa,"13,343"
Mohave,"1,125"
Navajo,725
Pima,"3,052"
Pinal,"1,259"
Santa Cruz,203
Yavapai,908
Yuma,954
Female,9735
Male,13770
20-44y,1272
45-54y,1822
55-64y,3701
65+,16674
<20y,50
"White, non-Hispanic",12149
Hispanic or Latino,6464
"American Indian or Alaska Native, non-Hispanic",1750
"Black or African American, non-Hispanic",719
"Asian or Pacific Islander, non-Hispanic",290
Other Race,658
Unknown,1489
